from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__3300024516_13	S__3300027997_10	3	0.762441417075331	0.762441417075331	0.762441417075331	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016276965.1	S__IMGVR_UViG_3300027780_000015	3	0.575741760651572	0.575741760651572	0.575741760651572	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCF_012276695.1	S__IMGVR_UViG_3300027780_000015	3	0.685409914219629	0.685409914219629	0.685409914219629	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012960805.1	S__IMGVR_UViG_3300027780_000015	3	0.665960083078609	0.665960083078609	0.665960083078609	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016838825.1	S__3300024058_22	3	0.738090699976719	0.738090699976719	0.738090699976719	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016276965.1	S__3300024058_22	3	0.646997981958339	0.646997981958339	0.646997981958339	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_013215285.1	S__3300024058_22	3	0.571680564573939	0.571680564573939	0.571680564573939	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012960805.1	S__3300024058_22	3	0.661719465445592	0.661719465445592	0.661719465445592	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024516_13	S__3300024058_22	3	0.755844675510336	0.755844675510336	0.755844675510336	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300027997_10	S__3300024058_22	3	0.748010496082363	0.748010496082363	0.748010496082363	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300006311_3	S__3300024058_22	3	0.736670035616263	0.736670035616263	0.736670035616263	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__3300024058_22	3	0.623911060614981	0.623911060614981	0.623911060614981	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024516_38	S__3300020263_16	3	0.566856777407311	0.566856777407311	0.566856777407311	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_013215285.1	S__3300020263_16	3	0.608045085778431	0.608045085778431	0.608045085778431	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012960805.1	S__3300020263_16	3	0.778453249445522	0.778453249445522	0.778453249445522	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024516_13	S__3300020263_16	3	0.597411236527325	0.597411236527325	0.597411236527325	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300027997_10	S__3300020263_16	3	0.592702596116816	0.592702596116816	0.592702596116816	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__3300020263_16	3	0.559130802999936	0.559130802999936	0.559130802999936	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024058_22	S__3300020263_16	3	0.584251849757086	0.584251849757086	0.584251849757086	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_004376075.1	S__3300024353_52	3	0.999867678598283	0.999867678598283	0.999867678598283	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_013215285.1	S__IMGVR_UViG_3300027687_000007	3	0.55759769165718	0.55759769165718	0.55759769165718	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_905612455.1	S__IMGVR_UViG_3300027687_000007	3	0.784771302056485	0.784771302056485	0.784771302056485	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCF_012276695.1	S__IMGVR_UViG_3300027687_000007	3	0.69167446998212	0.69167446998212	0.69167446998212	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012960805.1	S__IMGVR_UViG_3300027687_000007	3	0.676794611705226	0.676794611705226	0.676794611705226	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300027687_000007	3	0.708181319826114	0.708181319826114	0.708181319826114	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300020263_16	S__IMGVR_UViG_3300027687_000007	3	0.562684367281802	0.562684367281802	0.562684367281802	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016276965.1	S__Schulz_GVMAG_M_3300025652_16	3	0.620851596894697	0.620851596894697	0.620851596894697	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_013215285.1	S__Schulz_GVMAG_M_3300025652_16	3	0.569129736277751	0.569129736277751	0.569129736277751	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012960805.1	S__Schulz_GVMAG_M_3300025652_16	3	0.657678721305281	0.657678721305281	0.657678721305281	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_001542995.1	S__Schulz_GVMAG_M_3300025652_16	3	0.567133060033608	0.567133060033608	0.567133060033608	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__Schulz_GVMAG_M_3300025652_16	3	0.716160583158829	0.716160583158829	0.716160583158829	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024058_22	S__Schulz_GVMAG_M_3300025652_16	3	0.721547036832627	0.721547036832627	0.721547036832627	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300020263_16	S__Schulz_GVMAG_M_3300025652_16	3	0.572891995515514	0.572891995515514	0.572891995515514	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016276965.1	S__GCA_017854145.1	3	0.574755053925745	0.574755053925745	0.574755053925745	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCF_012276695.1	S__GCA_017854145.1	3	0.683687910035356	0.683687910035356	0.683687910035356	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012960805.1	S__GCA_017854145.1	3	0.663268161495126	0.663268161495126	0.663268161495126	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__GCA_017854145.1	3	0.998863347128232	0.998863347128232	0.998863347128232	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024058_22	S__GCA_017854145.1	3	0.641008237690788	0.641008237690788	0.641008237690788	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300020263_16	S__GCA_017854145.1	3	0.554614036516562	0.554614036516562	0.554614036516562	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027687_000007	S__GCA_017854145.1	3	0.705214515600376	0.705214515600376	0.705214515600376	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__GCA_017854145.1	3	0.714247792150034	0.714247792150034	0.714247792150034	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_905612455.1	S__3300027847_80	3	0.669882169605176	0.669882169605176	0.669882169605176	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCF_012276695.1	S__3300027847_80	3	0.577851816697221	0.577851816697221	0.577851816697221	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012960805.1	S__3300027847_80	3	0.574876568065498	0.574876568065498	0.574876568065498	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027687_000007	S__3300027847_80	3	0.827508815738092	0.827508815738092	0.827508815738092	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
