node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__IMGVR_UViG_3300030059_000588	taxon	2.0762856	2.2418504	-2.542598	-2.4358196	2.4551206	2.921804	-2.3876681	1.3838832	2.9521391	2.191661	-3.1744413	1.9233007	-2.1095586	1.5949697	-3.1084023	1.6292331	2.3236809	1.6233287	0.21942027	2.131431	1.5722458	-2.634404	-2.2927072	2.3855007	2.4535952	-1.7320082	3.340043	-1.5223628	1.7611045	2.2427645	2.6234913	2.6814692
S__IMGVR_UViG_3300030388_000283	taxon	2.0865855	2.256715	-2.517509	-2.4093773	2.4576876	2.9207525	-2.3806071	1.428596	2.9090667	2.213242	-3.1961627	1.89512	-2.083491	1.5955012	-3.0742455	1.5849864	2.3229904	1.6014714	0.16621912	2.166687	1.6394346	-2.692922	-2.202486	2.3635683	2.3805027	-1.6958417	3.3021743	-1.4962525	1.7250109	2.2116163	2.597725	2.5108516
S__IMGVR_UViG_3300030390_000540	taxon	2.0580268	2.2328768	-2.5268085	-2.4215503	2.4371855	2.9076557	-2.3677583	1.3870971	2.9418666	2.1801167	-3.1644547	1.9040167	-2.1048272	1.5874257	-3.1021886	1.6315768	2.3222573	1.6162359	0.21705383	2.1321096	1.581646	-2.6040134	-2.2954738	2.3857706	2.4368365	-1.7292728	3.3467891	-1.5128314	1.7558519	2.228061	2.6109657	2.6929548
S__IMGVR_UViG_3300030390_001073	taxon	2.1110578	2.2708087	-2.541802	-2.4494505	2.4825912	2.9431503	-2.4260652	1.4070349	2.9584422	2.1800814	-3.1893363	1.9493955	-2.1070633	1.6132693	-3.1143155	1.6126139	2.3316412	1.6257639	0.23209605	2.15283	1.5670551	-2.6699896	-2.2596657	2.3991284	2.4373703	-1.7346662	3.3455634	-1.5479765	1.7883024	2.2730472	2.6591527	2.658823
S__IMGVR_UViG_3300030390_001366	taxon	2.0850964	2.2561636	-2.5331483	-2.4410534	2.447178	2.9254918	-2.4011652	1.400872	2.935677	2.1772346	-3.1712747	1.9062517	-2.1098146	1.6124806	-3.12281	1.6229686	2.3315187	1.6056836	0.22702795	2.1420717	1.5902447	-2.6370661	-2.2650518	2.3955078	2.4302397	-1.7353685	3.3267114	-1.5331695	1.7633716	2.2454288	2.6221998	2.6649466
S__IMGVR_UViG_3300030390_002408	taxon	2.1456006	2.235786	-2.584446	-2.4259036	2.5558715	2.9257636	-2.374155	1.4384638	2.9758348	2.259511	-3.1990585	1.9911926	-2.058011	1.5829492	-2.9844713	1.5791099	2.350623	1.6549954	0.1532945	2.2257671	1.5871527	-2.7710428	-2.2209435	2.3543148	2.3979988	-1.688791	3.2863302	-1.5046523	1.7319112	2.1721892	2.7121153	2.476487
S__IMGVR_UViG_3300031519_000018	taxon	2.2725673	2.4454684	-2.5026069	-2.629731	2.543365	3.0912976	-2.414752	1.7544131	2.7920709	2.0981352	-3.1088014	2.0568912	-2.0938962	1.6304924	-3.0473154	1.2349052	2.357649	1.5236564	0.75053763	2.3679514	1.4640465	-3.0012696	-1.8875844	2.4026446	2.2636638	-1.6524856	3.045804	-1.6947834	1.8782156	2.2490578	2.6686616	2.1972795
S__IMGVR_UViG_3300031519_000025	taxon	2.1022775	2.2596314	-2.5428874	-2.4405756	2.4800725	2.9360976	-2.4129708	1.3976341	2.9643803	2.1849484	-3.1899996	1.9509125	-2.1066704	1.6019452	-3.1076164	1.6162734	2.32963	1.6326102	0.22737537	2.1474469	1.5628667	-2.6596155	-2.2752435	2.3940306	2.4442277	-1.73476	3.3549185	-1.5408673	1.7818907	2.265435	2.656115	2.670185
S__IMGVR_UViG_3300031519_000028	taxon	2.075581	2.2488408	-2.5325613	-2.4371743	2.4423537	2.919681	-2.3897061	1.3959011	2.9361382	2.1799264	-3.1680694	1.9035871	-2.1089535	1.6051306	-3.1178813	1.6260427	2.3286324	1.6074841	0.22574453	2.1382318	1.5879562	-2.6267498	-2.27503	2.391976	2.4337602	-1.7329957	3.3283832	-1.5259656	1.7593699	2.2388127	2.6156607	2.6725068
S__IMGVR_UViG_3300031647_000036	taxon	2.0814686	2.250277	-2.536905	-2.4392715	2.451013	2.9227343	-2.3942795	1.3944643	2.9432082	2.1837606	-3.1733973	1.9139271	-2.1093302	1.604385	-3.1154585	1.6246394	2.3288653	1.6133089	0.22591852	2.1390808	1.5821373	-2.6351905	-2.2771802	2.3916674	2.4388723	-1.7330921	3.3314312	-1.5280855	1.7631123	2.2436461	2.6239624	2.6715364
S__IMGVR_UViG_3300031687_001020	taxon	2.21345	2.288577	-2.6375842	-2.497325	2.6502943	2.9892097	-2.482711	1.37972	3.0887787	2.2997217	-3.3081887	2.17448	-2.1541276	1.592861	-3.0659685	1.5827242	2.3174279	1.7576113	0.22529027	2.163769	1.4521132	-2.8331661	-2.3142567	2.3752153	2.5541513	-1.752656	3.3962693	-1.6201411	1.876259	2.3621552	2.7769618	2.623003
S__IMGVR_UViG_3300031688_001339	taxon	2.1961932	2.286919	-2.6115532	-2.4795337	2.6182587	2.9855866	-2.484764	1.3800625	3.0629058	2.2611089	-3.2784255	2.1241248	-2.1279125	1.5967455	-3.0789368	1.5948663	2.3219957	1.7294316	0.22428411	2.1597948	1.4694563	-2.798946	-2.2916865	2.3828259	2.5245347	-1.7433733	3.388616	-1.5968447	1.8423175	2.3527489	2.7636833	2.6308444
S__IMGVR_UViG_3300031703_000007	taxon	2.139416	2.2598052	-2.5706213	-2.4291773	2.5814767	2.9342718	-2.4089622	1.3990612	2.995655	2.2922368	-3.2772536	2.048132	-2.1046553	1.5693696	-3.0236495	1.5759283	2.3094118	1.7072189	0.14526036	2.179339	1.5608749	-2.7864146	-2.2490118	2.3462863	2.4502404	-1.6965308	3.3478878	-1.5266422	1.782978	2.2668796	2.6889367	2.5014384
S__IMGVR_UViG_3300031801_001562	taxon	2.1019802	2.2438345	-2.56045	-2.4245238	2.5100975	2.9215744	-2.3899367	1.399069	2.9607573	2.2670357	-3.2333946	1.9696345	-2.106507	1.5806501	-3.053337	1.588568	2.3180923	1.6636372	0.15455502	2.1647367	1.5979834	-2.7340674	-2.2486145	2.3472362	2.4384208	-1.6975805	3.3172925	-1.5050753	1.7426193	2.2297835	2.6302283	2.5197415
S__IMGVR_UViG_3300031957_000171	taxon	2.2033525	2.4517498	-2.4559689	-2.4406993	2.5295386	3.023149	-2.4283376	1.5461433	2.950519	2.2096539	-3.0192933	1.9229609	-2.172025	1.6377907	-3.0919228	1.74298	2.2487922	1.7889984	-0.011184394	2.2354155	1.5701132	-2.659637	-2.166985	2.4576826	2.269199	-1.8979049	3.4992402	-1.726053	1.8879428	2.2540383	2.6032925	2.7514257
S__IMGVR_UViG_3300032081_000046	taxon	2.1929698	2.4773753	-2.432103	-2.4530478	2.498416	3.0098872	-2.4464943	1.524926	2.9141917	2.2033305	-3.0435004	1.893684	-2.187979	1.6523821	-3.1483386	1.731656	2.2316325	1.7715844	0.017546132	2.1866937	1.5979178	-2.6401205	-2.1437073	2.4648836	2.300712	-1.9097173	3.494636	-1.7453313	1.8738813	2.3130007	2.545949	2.7531953
S__IMGVR_UViG_3300034380_000005	taxon	2.1966932	2.477979	-2.4380593	-2.45357	2.4998364	3.0199966	-2.454769	1.5219214	2.9146898	2.2027888	-3.04076	1.8959339	-2.1896331	1.657715	-3.1547751	1.7365198	2.2309978	1.7706032	0.017750889	2.1840281	1.5981823	-2.6494737	-2.1438324	2.4650564	2.3105526	-1.9122179	3.4958003	-1.7495556	1.8737533	2.3204985	2.5433755	2.7556043
S__IMGVR_UViG_3300034980_000082	taxon	2.0581224	2.232134	-2.5266452	-2.420537	2.437488	2.906852	-2.3681698	1.3861675	2.942287	2.1800306	-3.1648176	1.9035633	-2.1049418	1.5877199	-3.1018395	1.6319292	2.3223033	1.6163647	0.2151356	2.1315508	1.582339	-2.6039214	-2.2953389	2.385558	2.4367123	-1.7294688	3.3472352	-1.5126503	1.7554952	2.2274852	2.6113882	2.6927524
S__IMGVR_UViG_3300035195_000275	taxon	2.1376429	2.2364717	-2.5832736	-2.4535422	2.5174916	2.9224246	-2.3607552	1.4444761	2.9386034	2.2606874	-3.1792266	1.9555246	-2.0680888	1.5872123	-3.0044332	1.5653622	2.3575678	1.6392312	0.19204274	2.2288406	1.6003673	-2.7592015	-2.2079992	2.3479986	2.3850574	-1.6828911	3.2413375	-1.5069382	1.6944646	2.1511474	2.6704826	2.4595702
S__IMGVR_UViG_3300037191_001144	taxon	2.0791283	2.244029	-2.540938	-2.4378405	2.4560807	2.9199252	-2.3883455	1.386909	2.9508805	2.19077	-3.1762288	1.9228435	-2.1086462	1.5961161	-3.107839	1.6254883	2.326117	1.6222181	0.22189642	2.1348722	1.574178	-2.6350574	-2.2888117	2.3864398	2.4479926	-1.7308279	3.3377986	-1.5235854	1.761852	2.2418926	2.6269975	2.6771555
S__IMGVR_UViG_3300037585_000783	taxon	2.1076922	2.269739	-2.5463204	-2.4551427	2.4669967	2.9458308	-2.426312	1.4050949	2.945691	2.1818962	-3.1823826	1.9291799	-2.113876	1.6211346	-3.1304889	1.61648	2.334573	1.6137648	0.23656909	2.147182	1.5794718	-2.6712084	-2.2569335	2.3992376	2.441787	-1.7408679	3.326415	-1.5495877	1.77474	2.264774	2.6397796	2.6532845
S__IMGVR_UViG_3300037635_001655	taxon	2.0866919	2.2276511	-2.5582547	-2.4262896	2.4831386	2.9158483	-2.3499444	1.4233407	2.9512758	2.1882591	-3.1336207	1.918503	-2.0693047	1.6005489	-3.0524688	1.6442428	2.3479161	1.6017815	0.20542149	2.1877337	1.5864847	-2.6430292	-2.276274	2.3965335	2.4111195	-1.7283276	3.306488	-1.5072172	1.7441497	2.1721568	2.6754012	2.654936
S__IMGVR_UViG_3300038315_000065	taxon	2.1315465	2.2477107	-2.5830388	-2.4291906	2.5767574	2.956129	-2.4144142	1.4596534	2.9841232	2.2920353	-3.202612	1.987137	-2.0998697	1.5642474	-3.053739	1.6140058	2.333519	1.6716614	0.15932025	2.247448	1.5700061	-2.8078403	-2.2462149	2.3234224	2.414369	-1.675192	3.2418408	-1.4948937	1.671013	2.1706133	2.6604803	2.4890044
S__IMGVR_UViG_3300040811_000687	taxon	2.2599187	2.2081223	-2.6500409	-2.4889102	2.4768252	3.0117068	-2.5642684	1.2030625	3.0459409	2.2713833	-3.2171392	2.0955372	-2.1565852	1.6970947	-3.1167438	1.6579804	2.475501	1.8352704	0.20291793	2.0792372	1.5941046	-2.8399897	-2.3368156	2.446291	2.652072	-1.8736743	3.4409926	-1.7507775	1.8606826	2.4211457	2.6190376	2.7499633
S__IMGVR_UViG_3300040985_001906	taxon	2.2249088	2.1900444	-2.629812	-2.4359102	2.4414864	2.9897723	-2.5052032	1.2100557	3.005184	2.3156142	-3.2266269	2.0460317	-2.1300962	1.6614883	-3.0787845	1.6244979	2.4608665	1.8048202	0.14353582	2.0865014	1.654413	-2.846641	-2.310544	2.4061794	2.6137195	-1.8419999	3.3980923	-1.6812704	1.7874207	2.3444023	2.5460768	2.617103
S__IMGVR_UViG_3300046103_001257	taxon	2.0650196	2.2281501	-2.5317464	-2.410345	2.4501615	2.8998747	-2.3589947	1.4085569	2.9270556	2.2313654	-3.1947575	1.9018345	-2.0944307	1.578445	-3.057549	1.5908092	2.3224988	1.6266134	0.1628285	2.1608505	1.6279359	-2.671836	-2.24322	2.3492084	2.4042988	-1.6886971	3.3061824	-1.4802172	1.7164541	2.1918683	2.5906823	2.5375857
S__IMGVR_UViG_3300046163_000031	taxon	2.2405744	2.1978335	-2.650406	-2.4897058	2.4477983	3.0017257	-2.5480537	1.1973429	3.0236669	2.2665079	-3.2053928	2.0664763	-2.1600263	1.6889851	-3.1302392	1.6624323	2.4797206	1.8226341	0.21440865	2.0757384	1.6087868	-2.821764	-2.3359458	2.4398499	2.6446178	-1.8679034	3.424686	-1.746841	1.8441213	2.4047296	2.5873485	2.7533727
S__IMGVR_UViG_3300046167_000375	taxon	2.1928577	2.4762492	-2.4321628	-2.4533045	2.4976974	3.0100484	-2.4466372	1.5244162	2.9140708	2.2030926	-3.0433683	1.892732	-2.1884074	1.6527433	-3.1485395	1.7320137	2.2318718	1.7720304	0.01780741	2.1872382	1.5987324	-2.63989	-2.1440334	2.4648619	2.3004656	-1.9094859	3.4950142	-1.7452087	1.8729792	2.3122663	2.5456064	2.7535996
S__IMGVR_UViG_3300046167_000870	taxon	2.1369429	2.2261095	-2.5888588	-2.4188995	2.5608363	2.9227927	-2.3722067	1.432193	2.98952	2.2617812	-3.2010474	1.9994669	-2.059114	1.5786624	-2.9782887	1.5861393	2.3476357	1.6643931	0.14884454	2.2231445	1.5806677	-2.7665343	-2.2354608	2.352336	2.4092698	-1.6863422	3.2966728	-1.4974802	1.7359738	2.171619	2.7174735	2.4900205
S__IMGVR_UViG_3300046167_000876	taxon	2.0720086	2.2446446	-2.5222542	-2.4238493	2.4477115	2.9133945	-2.3828392	1.3995074	2.9442317	2.1685922	-3.1715593	1.9137688	-2.1017542	1.593771	-3.101255	1.6217887	2.3274248	1.6175435	0.22179934	2.1459234	1.5812843	-2.6132934	-2.2794838	2.392663	2.4219713	-1.7301632	3.3551836	-1.5237031	1.7711153	2.2391374	2.6302848	2.68497
