threshold	method	taxon	consensus_module	mean_assignment_entropy	sites_present
prev_3	bicor	S__GCA_905182865.1	M10	0.0	4
prev_3	bicor	S__GCA_905182885.1	M10	0.0	4
prev_3	bicor	S__GCA_905478185.1	M10	0.0	4
prev_3	bicor	S__GCA_905478445.1	M10	0.7361097	3
prev_3	bicor	S__GCA_905478615.1	M10	0.7361097	3
prev_3	bicor	S__GCA_905479195.1	M10	1.4722193	2
prev_3	bicor	S__GCA_905479565.1	M10	1.4722193	2
prev_3	bicor	S__GCA_905480095.1	M10	0.0	4
prev_3	bicor	S__GCA_905480315.1	M10	0.7361097	3
prev_3	bicor	S__GCA_905612275.1	M10	0.0	4
prev_3	bicor	S__GCA_905612295.1	M10	0.0	4
prev_3	bicor	S__GCA_905612305.1	M10	0.0	4
prev_3	bicor	S__GCA_905612365.1	M10	0.0	4
prev_3	bicor	S__GCA_905612455.1	M10	0.0	4
prev_3	bicor	S__GCA_905612485.1	M10	1.4722193	2
prev_3	bicor	S__GCA_905616395.1	M10	1.4722193	2
prev_3	bicor	S__GCA_905618905.1	M10	1.4722193	2
prev_3	bicor	S__GCA_905618915.1	M10	0.0	4
prev_3	bicor	S__GCA_905620445.1	M10	1.4722193	2
prev_3	bicor	S__GCA_905620495.1	M10	1.4722193	2
prev_3	bicor	S__GCF_001682155.1	M10	1.4722193	2
prev_3	bicor	S__GCF_002836055.1	M10	1.4722193	2
prev_3	bicor	S__GCF_002836475.1	M10	1.4722193	2
prev_3	bicor	S__GCF_003326015.1	M10	1.4722193	2
prev_3	bicor	S__GCF_012276695.1	M10	0.0	4
prev_3	bicor	S__GCF_013407165.1	M10	0.0	4
prev_3	bicor	S__GCF_014279835.1	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300000133_000001	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300006310_000001	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300006467_000165	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300007760_000033	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300009136_000003	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300009436_000049	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300009440_000004	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300009443_000008	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300009526_000022	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300009705_000001	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300020166_000001	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300020166_000015	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300020182_000036	M10	0.0	4
