taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__GCA_002499015.1	prev_3	bicor	M1	1.8756557	2.240384	-1.9039702	-0.61692524	0.0	4	0.5592696666717529	4.166708842839524	0.42993946857430154	3.120315	5.01406	337452.97613712377	4	0.6630767018748295	glacial_like
S__GCA_002499365.1	prev_3	bicor	M3	2.6577513	2.5740163	0.7996776	1.0675335	0.0	4	0.5592696666717529	4.310617979698164	0.4467301204382187	3.203925	5.01406	13441.826086956473	1	0.7478991596638656	glacial_like
S__GCA_002699665.1	prev_3	bicor	M2	2.427267	2.3932352	0.9998293	0.47839832	0.0	4	0.5592696666717529	4.137620538362687	0.42009663265752123	3.120315	5.01406	37501.6564659978	3	0.6461690372273814	glacial_like
S__GCA_002701645.1	prev_3	bicor	M2	2.2903786	2.3498845	1.0659664	0.2408657	0.0	4	0.5592696666717529	4.1570493986181845	0.426747464662001	3.120315	5.01406	44501.939094202855	3	0.6575660199675766	glacial_like
S__GCA_002713705.1	prev_3	bicor	M1	2.259074	2.2649274	-1.5777516	0.3756895	0.0	4	0.5592696666717529	4.195675611501815	0.43562607590018787	3.203925	5.01406	21909.599275362354	2	0.6810780146760501	glacial_like
S__GCA_002816875.1	prev_3	bicor	M3	2.5820806	2.3226943	0.26457977	1.4732342	0.0	4	0.5592696666717529	4.128965422616283	0.4195616512554145	3.120315	4.96297	41506.820833333295	2	0.6395549245570784	glacial_like
S__GCA_003229345.1	prev_3	bicor	M1	2.3131368	2.2693062	-1.4499533	0.6025238	0.0	4	0.5592696666717529	4.146414021290715	0.4287644601333086	3.120315	5.01406	112241.64764214048	4	0.6481357729957579	glacial_like
S__GCA_003230615.1	prev_3	bicor	M3	2.662451	2.5463855	-0.541247	1.5290203	0.0	4	0.5592696666717529	4.179081392791968	0.4375821232999749	3.120315	5.01406	35225.64013377922	2	0.6678208249494154	glacial_like
S__GCA_003331785.1	prev_3	bicor	M3	2.4779913	2.3481097	-1.1209888	1.0186911	0.0	4	0.5592696666717529	4.177221930573594	0.43298778593043963	3.120315	5.01406	132188.61496098113	4	0.6691707048838467	glacial_like
S__GCA_003526595.1	prev_3	bicor	M1	2.3578207	2.3586402	-1.4116887	0.51709366	0.0	4	0.5592696666717529	4.1709401102661365	0.4302874015524756	3.120315	5.01406	185264.7943868447	4	0.6660622353883842	glacial_like
