threshold	method	site	present_taxa	mean_assignment_entropy	mean_site_similarity
prev_3	pearson	ST8	350	0.3111732602119446	0.287390182195495
prev_3	pearson	ST13	337	0.18342465162277222	0.3189399238354387
prev_3	pearson	GeoB25202_R1	167	0.05287737399339676	0.40446943531301
prev_3	pearson	GeoB25202_R2	188	0.06262781471014023	0.40636191462261495
