taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette
S__3300000179_4	prev_3	pearson	M2	-0.11654945	0.69823164	-2.690987	0.45720834	0.0	2	0.643095850944519
S__3300001683_28	prev_3	pearson	M1	-0.06603116	-0.20140187	2.378986	1.2511022	0.0	2	0.643095850944519
S__3300002239_5	prev_3	pearson	M2	-0.49078864	0.53327954	-2.1740055	1.4458457	0.0	2	0.643095850944519
S__3300005253_25	prev_3	pearson	M1	-0.74029565	-0.29956457	1.6557959	2.1359615	0.0	2	0.643095850944519
S__3300006311_3	prev_3	pearson	M1	0.536571	-0.6619763	4.380087	0.35627067	0.0	2	0.643095850944519
S__3300020187_18	prev_3	pearson	M1	-0.035509396	0.17525628	1.4342127	0.83282983	0.0	2	0.643095850944519
S__3300020263_16	prev_3	pearson	M2	-0.63876677	1.2523017	-2.1592846	0.29418588	0.0	2	0.643095850944519
S__3300020300_16	prev_3	pearson	M1	0.7235124	-0.06546451	3.5948925	-0.28776097	0.0	2	0.643095850944519
S__3300020303_2	prev_3	pearson	M2	-0.122669056	0.73001206	-2.8444624	0.29023442	0.0	2	0.643095850944519
S__3300020317_19	prev_3	pearson	M2	-0.105420366	0.652583	-2.4245958	-0.07629055	0.0	2	0.643095850944519
S__3300020330_9	prev_3	pearson	M1	0.59448963	-0.3692621	4.5612226	0.30964306	0.0	2	0.643095850944519
S__3300020364_17	prev_3	pearson	M1	-0.3418572	-0.6429391	2.8528738	2.4992723	0.0	2	0.643095850944519
S__3300020389_47	prev_3	pearson	M2	-0.20102498	0.5595383	-2.2412949	0.35549966	0.0	2	0.643095850944519
S__3300020444_12	prev_3	pearson	M2	-0.20353718	0.53583884	-2.1900196	0.5664811	0.0	2	0.643095850944519
S__3300024058_12	prev_3	pearson	M1	0.5610676	-0.646342	6.719208	-0.6496985	0.0	2	0.643095850944519
S__3300024058_15	prev_3	pearson	M1	0.6616256	-0.08858765	3.9936333	-0.39988387	0.0	2	0.643095850944519
S__3300024058_22	prev_3	pearson	M2	-0.7849963	1.7510337	-3.8134737	-0.4483707	0.0	2	0.643095850944519
S__3300024060_20	prev_3	pearson	M1	0.051869392	-0.40949285	3.0088935	1.3384494	0.0	2	0.643095850944519
S__3300024060_27	prev_3	pearson	M1	0.32028568	-0.3392161	3.9958544	0.8331623	0.0	2	0.643095850944519
S__3300024313_13	prev_3	pearson	M2	-0.7279058	0.46294937	-3.1737957	1.4034314	0.0	2	0.643095850944519
S__3300024353_106	prev_3	pearson	M1	0.28443033	-1.1584148	4.001344	0.85201097	0.0	2	0.643095850944519
S__3300024353_29	prev_3	pearson	M1	-0.15949428	-0.9768595	2.7369924	2.6763365	0.0	2	0.643095850944519
S__3300024353_52	prev_3	pearson	M1	-0.55613816	-0.017540008	1.913246	2.7851288	0.0	2	0.643095850944519
S__3300024429_35	prev_3	pearson	M2	-0.3830936	0.29552338	-1.7153014	1.0758535	0.0	2	0.643095850944519
S__3300024431_33	prev_3	pearson	M2	-0.83251595	1.7761385	-4.045692	-0.42551565	0.0	2	0.643095850944519
S__3300024431_52	prev_3	pearson	M2	-0.21279398	0.5537993	-2.3213944	0.6828873	0.0	2	0.643095850944519
S__3300024516_13	prev_3	pearson	M1	-0.010636121	-0.25836754	3.242858	1.013196	0.0	2	0.643095850944519
S__3300024516_18	prev_3	pearson	M1	0.59787005	-0.19716173	3.6255565	0.39741635	0.0	2	0.643095850944519
S__3300024516_24	prev_3	pearson	M2	-0.07329841	0.7551176	-2.9386592	0.21392715	0.0	2	0.643095850944519
