PC	variance_explained
PC1	0.137464547982029
PC2	0.0950073673358542
PC3	0.0619530134406035
PC4	0.0425836073016289
PC5	0.0347434101018562
PC6	0.0217492911214114
PC7	0.0202867879068583
PC8	0.0167586368078945
PC9	0.0133306041074432
PC10	0.0127463603494359
