from	to	method	weight	edge_jaccard	spectral_similarity
GeoB25202_R1	GeoB25202_R2	spearman	0.495461995395029	0.12463960966955	0.866284381120508
GeoB25202_R1	ST13	spearman	0.167551893518598	0.032135386955695	0.302968400081502
GeoB25202_R1	ST8	spearman	0.1637470387823	0.0380359612724758	0.289458116292125
GeoB25202_R2	ST13	spearman	0.167170104949428	0.027091550757733	0.307248659141124
GeoB25202_R2	ST8	spearman	0.165987717541396	0.0393263712484712	0.29264906383432
ST13	ST8	spearman	0.371300972762299	0.0812994989494101	0.661302446575188
