threshold	method	taxon	consensus_module	mean_assignment_entropy	sites_present
prev_10	pearson	S__IMGVR_UViG_3300021087_000038	M3	0.0	4
prev_10	pearson	S__IMGVR_UViG_3300023238_000017	M3	0.6412373	3
prev_10	pearson	S__IMGVR_UViG_3300023239_000003	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300024520_000070	M3	0.0	4
prev_10	pearson	S__IMGVR_UViG_3300025071_000006	M3	0.0	4
prev_10	pearson	S__IMGVR_UViG_3300025079_000001	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300025296_001443	M3	0.6412373	3
prev_10	pearson	S__IMGVR_UViG_3300025632_000006	M3	0.6412373	3
prev_10	pearson	S__IMGVR_UViG_3300025637_000035	M3	1.9232502	3
prev_10	pearson	S__IMGVR_UViG_3300025653_000044	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300025860_000061	M3	1.923481	2
prev_10	pearson	S__IMGVR_UViG_3300025869_000017	M3	0.0	4
prev_10	pearson	S__IMGVR_UViG_3300027687_000007	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300027780_000015	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300027813_000042	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300027833_000016	M3	0.0	4
prev_10	pearson	S__IMGVR_UViG_3300027833_000046	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300027861_000023	M3	1.2824746	2
prev_10	pearson	S__IMGVR_UViG_3300028198_000003	M3	0.6412373	3
prev_10	pearson	S__IMGVR_UViG_3300028535_000001	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300031519_000018	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300031687_001020	M3	1.923481	2
prev_10	pearson	S__IMGVR_UViG_3300031688_001339	M10	2.5644875	2
prev_10	pearson	S__IMGVR_UViG_3300035195_000275	M3	0.0	4
prev_10	pearson	S__IMGVR_UViG_3300037585_000783	M3	1.2824746	2
prev_10	pearson	S__IMGVR_UViG_3300038315_000065	M3	0.0	4
prev_10	pearson	S__IMGVR_UViG_3300046168_000044	M3	0.0	4
prev_10	pearson	S__IMGVR_UViG_3300046532_001046	M3	0.6412373	3
prev_10	pearson	S__IMGVR_UViG_3300047157_000078	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_3300049783_000307	M3	1.9232502	3
prev_10	pearson	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	M3	0.64100647	4
prev_10	pearson	S__IMGVR_UViG_GVMAG-S-1102114-126_000001	M3	0.0	4
