threshold	method	source_core	relation	edge_type	taxon_from	taxon_to	signed_weight	weight	abs_weight
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__TARA_SOC_NCLDV_00026	S__GCA_905612295.1	0.585084280512387	0.585084280512387	0.585084280512387
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905612295.1	S__GCA_905182815.1	0.640188878333307	0.640188878333307	0.640188878333307
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__TARA_SOC_NCLDV_00026	S__GCA_008974855.1	0.587149780041984	0.587149780041984	0.587149780041984
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_008974855.1	S__GCA_013911135.1	0.764544317231112	0.764544317231112	0.764544317231112
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_008974855.1	S__GCA_011055585.1	0.659003881264229	0.659003881264229	0.659003881264229
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_013911135.1	S__GCA_011055585.1	0.682641109753912	0.682641109753912	0.682641109753912
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCF_012276695.1	S__3300020263_16	0.639269607460512	0.639269607460512	0.639269607460512
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016777225.1	S__TARA_ARC_NCLDV_00188	0.675560713444125	0.675560713444125	0.675560713444125
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__Schulz_GVMAG_M_3300025652_16	S__TARA_ARC_NCLDV_00188	0.564742504944192	0.564742504944192	0.564742504944192
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182865.1	S__GCA_002499015.1	0.585219795312283	0.585219795312283	0.585219795312283
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCF_012276695.1	S__GCA_905181595.1	0.568521645461663	0.568521645461663	0.568521645461663
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__3300020263_16	S__GCA_905181595.1	0.773609578932532	0.773609578932532	0.773609578932532
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_002499015.1	S__GCA_905182235.1	0.644562438015128	0.644562438015128	0.644562438015128
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016777225.1	S__GCA_003672175.1	0.763017171728984	0.763017171728984	0.763017171728984
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_NCLDV_00188	S__GCA_003672175.1	0.563105861910587	0.563105861910587	0.563105861910587
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_002499015.1	S__TARA_ARC_108_MAG_00021	0.589647442640228	0.589647442640228	0.589647442640228
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016777225.1	S__GCA_905478185.1	0.881696018325328	0.881696018325328	0.881696018325328
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_NCLDV_00188	S__GCA_905478185.1	0.693600536952054	0.693600536952054	0.693600536952054
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_003672175.1	S__GCA_905478185.1	0.774832420831981	0.774832420831981	0.774832420831981
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300027687_000007	S__IMGVR_UViG_3300020166_000015	0.553272803705879	0.553272803705879	0.553272803705879
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016777225.1	S__TARA_ARC_NCLDV_00036	0.734999677787675	0.734999677787675	0.734999677787675
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_NCLDV_00188	S__TARA_ARC_NCLDV_00036	0.735679137436723	0.735679137436723	0.735679137436723
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_003672175.1	S__TARA_ARC_NCLDV_00036	0.702569311501973	0.702569311501973	0.702569311501973
10	pearson_abs_threshold	ST8	negative	taxon_taxon__ST8__negative	S__TARA_ARC_108_MAG_00021	S__TARA_ARC_NCLDV_00036	-0.570322708735372	0.570322708735372	0.570322708735372
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905478185.1	S__TARA_ARC_NCLDV_00036	0.736353503782672	0.736353503782672	0.736353503782672
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_NCLDV_00188	S__IMGVR_UViG_3300006467_000165	0.55273929542033	0.55273929542033	0.55273929542033
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_NCLDV_00036	S__IMGVR_UViG_3300006467_000165	0.585218105165015	0.585218105165015	0.585218105165015
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__3300020263_16	S__GCA_012960805.1	0.678255455775718	0.678255455775718	0.678255455775718
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905181595.1	S__GCA_012960805.1	0.580099882165942	0.580099882165942	0.580099882165942
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016777225.1	S__GCA_905182435.1	0.836029537897932	0.836029537897932	0.836029537897932
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_NCLDV_00188	S__GCA_905182435.1	0.744684461177233	0.744684461177233	0.744684461177233
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_003672175.1	S__GCA_905182435.1	0.814298491202233	0.814298491202233	0.814298491202233
10	pearson_abs_threshold	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905478185.1	S__GCA_905182435.1	0.850870088727114	0.850870088727114	0.850870088727114
