threshold	method	core	taxon	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	temporal_var_clr	prevalence	mean_tax_abund_tad	edge_type
10	pearson	ST8	S__3300001683_28	-0.473684116597566	1.55026862960286	1.05462051646943	5.28548036095602	2.40333282393074	0.0695652173913044	209.530434782609	taxon_site_context
10	pearson	ST8	S__3300006311_3	0.0333633099033738	2.1020162034207	1.25957145648404	7.63424300841671	4.41847211944318	0.130434782608696	345.278260869565	taxon_site_context
10	pearson	ST8	S__3300020187_18	-0.422339640296238	1.52785182749814	1.0402147589021	4.91726620760797	2.33433120678939	0.0782608695652174	170.252173913044	taxon_site_context
10	pearson	ST8	S__3300020263_16	1.0277048062077	2.77896283082081	1.7793498696177	7.10858697822457	7.72263441508359	0.243478260869565	795.686956521739	taxon_site_context
10	pearson	ST8	S__3300020300_16	-0.52086604066478	2.24011815803185	1.34387064082679	7.90897557318881	5.018129361944	0.0608695652173913	601.113043478261	taxon_site_context
10	pearson	ST8	S__3300020317_19	-0.416264732118619	2.10588546740107	1.28479266863481	6.20090407290963	4.43475360181104	0.0782608695652174	183.84347826087	taxon_site_context
10	pearson	ST8	S__3300020330_9	-0.998659554751901	1.37404791064521	1.08238592431562	5.76636209430712	1.88800766074848	0.00869565217391304	28.6260869565217	taxon_site_context
10	pearson	ST8	S__3300024058_12	0.747327799571661	3.17313557033608	1.97120939545332	8.43455951732075	10.0687893477321	0.208695652173913	977.286956521739	taxon_site_context
10	pearson	ST8	S__3300024058_22	-0.201483064766768	1.97532033025787	1.20153342984612	6.44131283093717	3.90189040713006	0.104347826086957	285.460869565217	taxon_site_context
10	pearson	ST8	S__3300024060_27	-1.00209665666002	1.3841540534883	1.08683766846356	5.76636209430712	1.91588244378808	0.00869565217391304	19.2782608695652	taxon_site_context
10	pearson	ST8	S__3300024431_33	0.303537129382287	2.5803848454115	1.51478478095051	8.23790569895831	6.65838595042932	0.156521739130435	821.530434782609	taxon_site_context
10	pearson	ST8	S__3300024516_13	-0.344726579157312	2.38787512931662	1.39513042047094	8.30842412128766	5.70194763320884	0.0782608695652174	1342.42608695652	taxon_site_context
10	pearson	ST8	S__3300024516_18	-0.218756270588058	1.72244495464527	1.09845460611624	6.12829198543846	2.96681662178294	0.104347826086957	197.417391304348	taxon_site_context
10	pearson	ST8	S__3300024516_26	-0.854923988447134	1.73205858998637	1.18331932364118	7.37771732955916	3.00002695914558	0.0260869565217391	63.6956521739131	taxon_site_context
10	pearson	ST8	S__3300024516_38	1.53470175640478	3.38830975640891	2.32301454448191	8.2406584920493	11.4806430053758	0.295652173913044	1958.77391304348	taxon_site_context
10	pearson	ST8	S__3300025276_12	-0.717432134602435	1.28024163708704	0.994412088967612	4.01872009933025	1.63901864933131	0.0434782608695652	81.704347826087	taxon_site_context
10	pearson	ST8	S__3300025894_53	-0.411803977452657	1.62976371578479	1.07594209500229	6.06016668025902	2.65612976928866	0.0782608695652174	192.408695652174	taxon_site_context
10	pearson	ST8	S__3300026080_15	-0.435365648240823	1.82935120231862	1.16053636375483	5.85285289588262	3.34652582142458	0.0782608695652174	141.4	taxon_site_context
10	pearson	ST8	S__3300026087_14	-0.630748235688889	1.5316687055032	1.06785574892033	5.5175254986691	2.34600902341785	0.0521739130434783	135.660869565217	taxon_site_context
10	pearson	ST8	S__3300026253_28	0.399204934979064	2.59278007922105	1.51626054192154	8.28861652047697	6.72250853920552	0.165217391304348	1225.2	taxon_site_context
10	pearson	ST8	S__3300026253_8	-0.785449629348342	1.29298735168012	1.01221581525036	4.68861688023481	1.67181629160476	0.0347826086956522	73.0086956521739	taxon_site_context
10	pearson	ST8	S__3300026264_29	-0.788771337425976	1.77301349756611	1.18876542043858	6.99440000889898	3.1435768625516	0.0347826086956522	66.3478260869565	taxon_site_context
10	pearson	ST8	S__3300026264_34	3.28298015712737	4.02616786949776	3.72989718855635	9.98557603869168	16.2100277133761	0.478260869565217	4526.38260869565	taxon_site_context
10	pearson	ST8	S__3300027687_20	0.525974324506472	2.74874481169415	1.69713547751968	7.28620324995752	7.55559803981549	0.191304347826087	498.321739130435	taxon_site_context
10	pearson	ST8	S__3300027752_17	0.163771004943892	2.09836179965989	1.26921749860169	6.16539612001207	4.40312224227188	0.147826086956522	329.834782608696	taxon_site_context
10	pearson	ST8	S__3300027771_26	-1.00539505832306	1.250083988002	1.04455339935239	5.5175254986691	1.56270997705897	0.00869565217391304	13.1913043478261	taxon_site_context
10	pearson	ST8	S__3300027779_22	-0.486318177948049	1.55618541350252	1.05848338919072	5.07105858793548	2.42171304119802	0.0695652173913044	170.904347826087	taxon_site_context
10	pearson	ST8	S__3300027791_27	-0.131028917570457	1.95232124964819	1.20389584652459	6.94511851906017	3.81155826182786	0.11304347826087	254.965217391304	taxon_site_context
10	pearson	ST8	S__3300027827_16	-0.652956231147978	1.71726195075983	1.14413784408152	5.5175254986691	2.94898860752745	0.0521739130434783	86.4086956521739	taxon_site_context
10	pearson	ST8	S__3300027844_79	-0.627209162659493	1.45150362125279	1.03964202920786	5.07477056313415	2.10686276250995	0.0521739130434783	144.026086956522	taxon_site_context
10	pearson	ST8	S__3300027847_80	0.910242896599067	3.06694173721641	1.94963507262473	7.72591571780498	9.40613161947999	0.226086956521739	1150.52173913043	taxon_site_context
10	pearson	ST8	S__3300027997_10	-0.622485999242754	1.92021938347513	1.21789322890707	6.91881071514183	3.68724248067361	0.0521739130434783	234.147826086957	taxon_site_context
10	pearson	ST8	S__GCA_000213395.2	-0.273562170379274	1.66923832360863	1.08349377480746	5.09976010964798	2.78635658100374	0.0956521739130435	217.373913043478	taxon_site_context
10	pearson	ST8	S__GCA_000383355.1	-0.718263461183561	1.59024580671945	1.10345641375408	5.5175254986691	2.52888172578878	0.0434782608695652	81.2	taxon_site_context
10	pearson	ST8	S__GCA_000402075.1	-0.199610867018808	2.05522354909696	1.25188340773433	6.9055875435654	4.2239438367627	0.104347826086957	242.947826086957	taxon_site_context
10	pearson	ST8	S__GCA_001437625.1	0.616592175797979	2.98197326200271	1.8527992499626	7.78601149360798	8.8921645352991	0.2	549.147826086957	taxon_site_context
10	pearson	ST8	S__GCA_001542995.1	-0.264557562161938	2.02086338597173	1.23144236947796	7.66506243668337	4.08388882476114	0.0956521739130435	236.547826086957	taxon_site_context
10	pearson	ST8	S__GCA_001543015.1	2.34075774674519	4.12730645867094	3.22755768870052	10.4169721634766	17.0346586037869	0.373913043478261	4349.61739130435	taxon_site_context
