taxon	threshold	taxon_index	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	mean_abundance	prevalence_samples	prevalence_cores
S__3300024516_13	10	12	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	44	4	3867584	100	TRUE	3300024516_13	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	0.494684445402281	3.08403733710498	1.98346009813065	9.93649725712281	2723.55140186916	0.254335260115607	1
S__3300024516_18	10	13	d__Bacteria	p__Nitrospirota	c__Nitrospiria	27	4	638157	100	TRUE	3300024516_18	Nitrite_oxidation_NOB	Nitrite oxidizers	Nitrifier	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_NOB	""		""	""	""	nxrA/nxrB (K00370/K00371)	Daims et al. 2015 Nature; Koch et al. 2015 PNAS	10.1038/nature16461; 10.1073/pnas.1506533112	""	-0.320027673751461	2.05950383133532	1.40630325048485	7.59859777830753	267.042056074766	0.15606936416185	1
S__3300024516_26	10	14	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	13	4	592234	100	TRUE	3300024516_26	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.847706523397316	2.13725260174864	1.51722598777018	7.85510265857098	191.420560747664	0.0751445086705202	1
S__3300024516_38	10	15	d__Bacteria	p__KSB1	c__UBA2214	95	4	1726337	100	TRUE	3300024516_38	Unknown	Other	Unknown	uncertain	Unknown	Tier3_unknown	0.1	""	""		""	""	""	""	""	""	""	2.61458986976123	3.72147815164758	3.23336102751556	9.95502827036986	3377.11214953271	0.549132947976879	1
S__3300025276_12	10	16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	16	3	901736	100	TRUE	3300025276_12	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.38	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.736409449341041	1.62030177459291	1.27092952055356	5.55251500771195	166.752336448598	0.092485549132948	0.75
S__3300025894_53	10	17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	19	3	985421	100	TRUE	3300025894_53	Particle_heterotroph	Particle-attached	Pelagic_heterotroph	particle_associated	O2	Tier1_taxonomy_conserved	0.85	GTDB_PARTICLE_HET	""		""	""	""	Polysaccharide degradation	Teeling et al. 2012 Science	10.1126/science.1218344	""	-0.604548564965969	1.74129249898992	1.30291742893955	6.06016668025902	244.271028037383	0.109826589595376	0.75
S__3300026080_15	10	18	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	16	3	623749	100	TRUE	3300026080_15	Particle_heterotroph	Particle-attached	Pelagic_heterotroph	particle_associated	O2	Tier1_taxonomy_conserved	0.85	GTDB_PARTICLE_HET	""		""	""	""	Polysaccharide degradation	Teeling et al. 2012 Science	10.1126/science.1218344	""	-0.746053864745167	1.92026664091193	1.40097998442478	5.98186770947972	145.238317757009	0.092485549132948	0.75
S__3300026087_14	10	19	d__Bacteria	p__Marinisomatota	c__Marinisomatia	13	4	526487	100	TRUE	3300026087_14	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.833729350969034	1.67554996419575	1.3164083025108	5.5175254986691	191.014018691589	0.0751445086705202	1
S__3300026253_28	10	20	d__Bacteria	p__Acidobacteriota	c__UBA6911	61	4	2543907	100	TRUE	3300026253_28	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.67;W00010:0;W00011:0.38	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	1.17040434847156	3.33999503301535	2.30514808563661	9.71090132301621	2648.28504672897	0.352601156069364	1
S__3300026253_8	10	21	d__Bacteria	p__Planctomycetota	c__Planctomycetia	12	3	1109178	100	TRUE	3300026253_8	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.894552350502525	1.46226399927718	1.24500875636355	4.68861688023481	119.911214953271	0.069364161849711	0.75
