taxon	threshold	taxon_index	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	mean_abundance	prevalence_samples	prevalence_cores
S__3300001683_28	5	1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	16	4	870635	100	TRUE	3300001683_28	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	-0.302660910316781	1.75622068424385	1.08166141596029	6.64991858918548	239.845794392523	0.0583941605839416	1
S__3300006311_3	5	2	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	45	4	1719488	100	TRUE	3300006311_3	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	0.849911294391786	2.89655085202803	1.75863839205091	8.98640282104277	697.415887850467	0.164233576642336	1
S__3300020187_18	5	3	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	28	4	2607851	100	TRUE	3300020187_18	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	0.135980741775928	2.22199618925611	1.30424291114882	7.43937096937281	285.864485981308	0.102189781021898	1
S__3300020263_16	5	4	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	64	4	904879	100	TRUE	3300020263_16	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	1.64387367030105	3.18063980043969	2.20724235238523	7.50853221182088	1016.22429906542	0.233576642335766	1
S__3300020300_16	5	5	d__Bacteria	p__Planctomycetota	c__Brocadiae	27	4	2388090	100	TRUE	3300020300_16	Anammox	N-loss	Anammox_N_cycle	particle_associated	NO2-/NH4+	Tier1_taxonomy_conserved	0.85	GTDB_ANAMMOX	""		""	""	""	hzsA/hzsB (K20932/K20933)	Strous et al. 1999 Nature; Kartal et al. 2011 Nat Rev Microbiol	10.1038/22749; 10.1038/nrmicro2699	""	0.156769581109824	2.69160101296873	1.52660048324181	9.13649212620649	662.598130841122	0.0985401459854015	1
S__3300020303_2	5	6	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	6	2	308790	100	TRUE	3300020303_2	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	SO4--	Tier1_kegg_present	0.99	KEGG_SRB	present	1	M00596	M00596:1	K11180;K11181	dsrA/dsrB (K11180/K11181)	Müller et al. 2015 ISME J	10.1038/ismej.2014.208	""	-0.721018072265531	1.52245276872265	1.0445408230676	6.30291488511223	57.9485981308411	0.0218978102189781	0.5
S__3300020317_19	5	7	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	12	2	108842	100	TRUE	3300020317_19	Pelagic_heterotroph	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_PELAGIC_HET	""		""	""	""	Core carbon metabolism	Giovannoni 2017 Annu Rev Mar Sci	10.1146/annurev-marine-010814-015934	""	-0.482204057900073	1.88662807474546	1.15595793759635	6.85974828899692	129.775700934579	0.0437956204379562	0.5
S__3300020330_9	5	8	d__Bacteria	p__Nitrospinota	c__UBA9942	12	4	507797	100	TRUE	3300020330_9	Nitrite_oxidation_NOB	Nitrite oxidizers	Nitrifier	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_NOB	""		""	""	""	nxrA/nxrB (K00370/K00371)	Daims et al. 2015 Nature; Koch et al. 2015 PNAS	10.1038/nature16461; 10.1073/pnas.1506533112	""	-0.43518904548585	2.28391708437922	1.30877128471423	9.33434574696527	340.859813084112	0.0437956204379562	1
S__3300020364_17	5	9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	5	3	408849	100	TRUE	3300020364_17	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	SO4--	Tier1_kegg_present	0.99	KEGG_SRB	present	1	M00596	M00596:1	K11180;K11181	dsrA/dsrB (K11180/K11181)	Müller et al. 2015 ISME J	10.1038/ismej.2014.208	""	-0.756274015408623	1.60035351043924	1.07702920276509	8.01346463234745	54.9953271028037	0.0182481751824818	0.75
S__3300020389_47	5	10	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	5	2	171530	100	TRUE	3300020389_47	Pelagic_heterotroph	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_PELAGIC_HET	""		""	""	""	Core carbon metabolism	Giovannoni 2017 Annu Rev Mar Sci	10.1146/annurev-marine-010814-015934	""	-0.7584510875689	1.13369321507338	0.927090392476507	4.12907260582923	49.7102803738318	0.0182481751824818	0.5
S__3300020444_12	5	11	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	5	2	245286	100	TRUE	3300020444_12	Core_heterotrophy	Heterotrophs	Heterotroph_general	uncertain	O2	Tier2_taxonomy_broad	0.7	GTDB_CORE_HET	""		""	""	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.761132642308573	1.12339745081291	0.924408837736834	4.12907260582923	44.2710280373832	0.0182481751824818	0.5
S__3300024058_12	5	12	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	57	4	4111288	100	TRUE	3300024058_12	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.67;W00010:1;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	1.53295537912763	4.21626614746166	2.86050542105794	10.3780372054628	2167.92990654206	0.208029197080292	1
S__3300024058_15	5	13	d__Bacteria	p__Desulfobacterota_D	c__UBA1144	5	4	328878	100	TRUE	3300024058_15	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	SO4--	Tier1_taxonomy_conserved	0.85	GTDB_SRB_DIAG	""		""	""	""	dsrA/dsrB (K11180/K11181)	Müller et al. 2015 ISME J	10.1038/ismej.2014.208	""	-0.763138871656849	1.42912982649293	1.01916234728017	6.54977017071839	42.2289719626168	0.0182481751824818	1
S__3300024058_22	5	14	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	48	4	903779	100	TRUE	3300024058_22	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	0.960994846378679	2.98082155204461	1.83899110216217	9.01247549413298	855.523364485981	0.175182481751825	1
S__3300024060_27	5	15	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	11	4	696487	100	TRUE	3300024060_27	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.529919739607624	2.02497937470002	1.23010970378349	7.90318975289753	99.1495327102804	0.0401459854014599	1
