node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__3300024058_15	taxon	-0.2944772	0.4769621	0.0729014	0.44830573	-0.24206868	-0.6122416	0.733159	-0.5421971	0.48484385	-0.58750945	0.018339723	0.6125996	-0.082282186	-0.536625	0.5391623	-0.28489566	-1.0505054	-0.29407507	-0.07434595	0.13139144	0.68181354	0.28735864	0.11730616	0.09080851	-0.334543	-0.04099457	-0.21379745	0.8355223	0.15421146	-0.13969661	0.16681159	-0.18452117
S__3300024058_22	taxon	-0.23692858	-0.24845761	0.86609274	-1.5208197	1.0231196	1.6192963	0.3992886	0.669945	-0.14254346	0.95718837	-1.9859364	-0.1306566	0.17572445	0.6032052	-0.62696314	-0.17906141	-0.47285193	0.36508095	0.20879635	0.6799307	0.60521966	1.4396678	-1.4077011	0.32828367	0.8147517	-0.11166489	0.8174286	0.5867394	2.215057	0.068350695	-0.10410091	-0.30912605
S__3300024060_27	taxon	-0.3871724	0.7802688	0.28875405	0.48612595	-0.43993598	-0.830862	0.8273859	-0.85777175	0.6747074	-0.88521636	0.21059844	0.5592909	0.17224899	-0.7168777	0.5989549	-0.9688481	-1.3895385	-0.6828104	-0.5043337	-0.11749971	0.98854905	-0.21640605	-0.02078193	-0.05022022	-0.5442927	-0.35364538	-0.14061351	1.3083776	0.08508675	-0.14783545	0.72211814	-0.08698949
S__3300024353_106	taxon	-0.15023428	0.5221528	0.21465406	0.8737085	-0.30593294	-0.47793347	1.0636508	-0.59643155	0.33281705	-0.87387407	0.35671675	0.6783293	0.296414	-0.0090855155	0.6320968	-0.48078203	-1.457988	-0.36372027	-0.004674375	-0.040389508	0.6553984	-0.31211877	0.2886889	0.12808105	-0.33385134	-0.008998513	-0.3653009	1.1530402	-0.044406794	0.028091699	0.6777681	0.24746251
S__3300024353_52	taxon	-0.3180914	0.082196206	-0.30436707	-0.20218259	-0.11997446	-0.7387252	0.87868506	-0.69471705	0.5021966	-0.69044656	0.09062663	0.5423246	1.129161	-0.097139046	0.3774522	-0.22358459	-0.13026425	0.4553709	0.16630295	0.12145263	0.49010223	-0.08514625	-0.38419217	0.27300644	0.1840278	-0.70468587	-0.13654897	0.17829083	-0.52427554	-0.488012	0.21425991	0.5162944
S__3300024429_35	taxon	-0.47196493	-0.74226034	0.24653034	-0.95481753	0.41296676	0.45704436	0.49173006	0.41411442	-1.0298758	0.87876946	-1.3379557	0.068166375	0.6701999	-0.18708223	-0.8347169	0.17942882	0.5546086	1.3978108	0.16625202	0.20776623	0.17404737	1.5223308	-0.2387347	1.0264405	0.6181327	-0.8783734	-0.31435964	0.22339062	1.3709588	0.12763008	-1.0178515	-0.25092405
S__3300024431_33	taxon	-0.34846264	-0.38467968	0.9012389	-1.6458203	1.1901987	1.9003527	0.35128468	0.6532979	-0.33342126	1.0430008	-2.0693114	-0.23371753	0.30029052	0.7145887	-0.73590004	-0.072019935	-0.3540259	0.40626392	0.31872067	0.750934	0.63403505	1.5394979	-1.6378595	0.23353535	0.9308428	-0.15171167	0.83244383	0.4974801	2.428916	0.1420808	-0.037130147	-0.2823803
S__3300024431_52	taxon	-0.24752071	-0.5144725	0.4849263	-1.1421214	0.44451195	0.6719017	0.75510216	0.6950259	-0.76130927	0.7663467	-1.5609467	-0.14363384	0.69131196	-0.13477333	-0.7533399	-0.11312795	0.12463323	1.3889787	0.14177752	0.13998288	0.15454398	1.3426261	-0.40870142	0.9480617	0.6269611	-0.88418746	-0.21267892	0.4323262	1.5510924	0.16207054	-0.89044344	-0.3363768
S__3300024516_13	taxon	-0.042305112	0.3948742	0.23880929	0.5861647	-0.6802112	-0.9365226	0.25542367	-0.5532983	0.5579746	-0.16602677	-0.40372697	1.0951766	-0.25606632	-0.8897848	0.44429076	0.11224055	-0.46690756	-0.21007541	-0.29805297	0.29185295	0.3367864	0.6377403	0.6190847	0.3668849	-0.34973082	-0.21668608	-0.24064724	0.49388984	0.40334105	0.056916267	-0.15369269	-0.43563667
S__3300024516_18	taxon	-0.11591151	0.43555698	0.1489695	0.4364874	-0.57085466	-0.77232414	0.46748018	-0.53769845	0.5336809	-0.43785402	0.0088452995	0.61053693	-0.37328774	-0.75929105	0.46018237	-0.19827294	-0.73302567	-0.6482509	-0.2963635	0.39289594	0.67147815	0.46792835	0.1892359	0.09380978	-0.58889264	0.06740233	-0.21632986	0.90212345	0.17961252	-0.1657889	-0.17380899	-0.5449184
S__3300024516_26	taxon	-0.20073706	0.27284735	0.068320036	0.526735	-0.6232704	-0.6433271	0.14451379	-0.63576055	0.33011937	-0.5613053	-0.06130898	0.66791147	-0.6523092	-0.5654732	0.29670444	0.046801567	-0.86596096	-0.6205713	-0.19954298	0.3250873	0.49661422	0.7543279	0.30964267	0.0779919	-0.37693995	0.040770978	-0.30149114	0.8555205	0.39891824	-0.058118746	-0.17647338	-0.5604986
S__3300024516_38	taxon	-0.34425873	-0.4285108	0.91025853	-1.6434233	1.225799	1.9099059	0.3423621	0.681145	-0.34511718	1.0978019	-2.1251223	-0.22233579	0.2813453	0.7469936	-0.7626914	-0.031293035	-0.2749736	0.42639956	0.34769723	0.7801913	0.6197842	1.5962241	-1.6521792	0.25654507	0.95233345	-0.13382235	0.84464073	0.45823705	2.480545	0.13987963	-0.06585696	-0.30067325
S__3300025232_4	taxon	-0.001879394	0.3837878	0.16527031	0.59056187	-0.16754374	-0.50039995	0.8336437	-0.43000534	0.44161296	-0.44243228	-0.029821992	0.7814212	0.47827485	-0.31950563	0.38502115	-0.5678761	-0.9349263	-0.060308844	0.06542835	0.17776644	0.638474	0.122888386	0.075890034	0.49927664	-0.3684916	-0.1864319	-0.38405627	0.9929963	0.1268959	-0.14305817	0.19958438	0.014040232
S__3300025243_6	taxon	-0.0133183	0.27100343	0.06927171	0.24985686	-0.29803523	-0.6325324	0.5424384	-0.35382852	0.31957525	-0.39671677	-0.050624356	0.72100365	-0.29769725	-0.3672338	0.26546118	-0.13062394	-0.8603591	-0.4787343	-0.08748281	0.23345658	0.57865834	0.5130001	-0.081703514	0.15729022	-0.3510192	-0.1365132	-0.26029402	0.9581455	0.18560147	-0.20050809	-0.05791558	-0.32168323
S__3300025276_12	taxon	-0.19134581	-0.5263177	0.50453913	-1.1190299	0.29109144	0.51780534	0.7863239	0.56233734	-0.68236303	0.6997508	-1.4438742	-0.2203696	0.5295546	-0.13637853	-0.61105716	-0.06943053	0.20924154	1.2316751	-0.032518893	0.22733521	0.19297932	1.4009123	-0.44961435	0.84623337	0.63963556	-0.792398	-0.14288399	0.51173496	1.4770848	0.1392178	-0.8574276	-0.43417504
S__3300025690_38	taxon	-0.021655142	0.4340671	0.20897989	0.50752366	-0.038503706	-0.45905405	0.9006504	-0.31840226	0.42165816	-0.48367324	0.009653091	0.7983049	0.33965862	-0.1843351	0.3741967	-0.41578448	-1.0919007	-0.16917065	0.2077554	0.102015585	0.5739034	-0.049250454	0.010219961	0.22711237	-0.4102773	-0.11091833	-0.23317853	0.8789376	0.016120624	-0.08863002	0.17385587	0.029362679
S__3300025894_53	taxon	-0.25961336	-0.491103	0.48132992	-1.2047613	0.33682153	0.6064229	0.65605414	0.6110856	-0.6661031	0.79486656	-1.5862851	-0.25826904	0.4474613	-0.17480281	-0.7157856	-0.026038408	0.20932734	1.2187108	-0.04964754	0.09881875	0.13027957	1.537846	-0.4948473	0.92429495	0.6327407	-0.9686785	-0.074458316	0.4304651	1.5571449	0.17737645	-0.849309	-0.5219238
S__3300026080_15	taxon	-0.1430133	-0.5774299	0.62495315	-1.397374	0.4883277	0.9595688	0.68402255	0.87896967	-0.6864282	0.8590602	-1.7269878	-0.5160917	0.20498341	-0.08200159	-0.8320968	-0.016388476	-0.053308576	1.3050697	-0.04344511	-0.021019757	0.11656439	1.6478233	-0.6231619	0.77664566	0.7914438	-0.81482494	0.0061389953	0.5412944	1.772191	0.26937538	-0.946082	-0.7504549
S__3300026087_14	taxon	-0.0052387416	0.38588235	0.22043969	-0.043887008	0.042292893	-0.6970817	0.7779082	-0.13374206	0.46188825	-0.09751795	-0.3451028	0.75017464	0.54864514	-0.66361773	0.25242928	-0.32179362	-0.38876307	0.39851156	0.11122528	0.28728572	0.45513928	0.2420839	0.01403445	0.3227126	-0.14469342	-0.35083747	-0.13295248	0.52760196	0.24943374	-0.13806057	-0.232731	-0.2496685
