taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette
S__IMGVR_UViG_GVMAG-S-1102104-120_000001	prev_5	spearman	M1	-1.5096618	-3.3514144	-0.7274444	-1.1474999	0.0	3	0.49387186765670776
S__IMGVR_UViG_GVMAG-S-1102107-84_000001	prev_5	spearman	M1	-1.6776867	-3.5395446	0.091888435	-1.0714052	0.0	3	0.49387186765670776
S__IMGVR_UViG_GVMAG-S-1102114-126_000001	prev_5	spearman	M1	-1.3717201	-3.559216	-1.1781542	-0.84104276	0.0	3	0.49387186765670776
S__IMGVR_UViG_GVMAG-S-ERX556030-34_000001	prev_5	spearman	M1	-1.6491451	-3.417431	-0.59257215	-1.4654624	0.0	3	0.49387186765670776
S__IMGVR_UViG_GVMAG-S-ERX556043-36_000001	prev_5	spearman	M2	-1.7159023	-3.6866937	0.91153735	-0.8587021	0.0	3	0.49387186765670776
S__Moniruzzaman_LP01_SRX672316_10_dc	prev_5	spearman	M1	-1.6118274	-3.1508322	-1.386653	-1.1947569	0.0	3	0.49387186765670776
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	prev_5	spearman	M1	-1.223922	-3.5053465	-1.0384498	-0.5867561	0.0	3	0.49387186765670776
S__Phycodnaviridae_KF481686_Emiliania_huxleyi_virus_145	prev_5	spearman	M1	-1.634195	-3.214291	-1.0130339	-1.244343	0.0	3	0.49387186765670776
S__Schulz_GVMAG_M_3300001718_3	prev_5	spearman	M1	-1.4152637	-3.168818	-1.8896071	-0.39951044	0.0	3	0.49387186765670776
S__Schulz_GVMAG_M_3300025652_16	prev_5	spearman	M3	-0.61650515	-2.8206773	-2.7083004	1.0827488	0.0	3	0.49387186765670776
S__Schulz_GVMAG_S_1024967_63	prev_5	spearman	M1	-1.5791612	-3.3098884	-1.3512692	-1.011356	0.0	3	0.49387186765670776
S__Schulz_GVMAG_S_1102104_120	prev_5	spearman	M1	-1.611359	-3.4168243	-0.8419458	-1.117081	0.0	3	0.49387186765670776
S__Schulz_GVMAG_S_1102114_126	prev_5	spearman	M1	-1.5200245	-3.44841	-1.0164776	-1.1095011	0.0	3	0.49387186765670776
S__TARA_AOS_82_MAG_00110	prev_5	spearman	M2	-1.9308033	-3.5394206	0.8982214	-1.4340106	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00021	prev_5	spearman	M2	-1.8197398	-3.5963085	1.189084	0.6993487	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00033	prev_5	spearman	M2	-1.7809997	-3.5011697	1.6696633	0.71317834	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00037	prev_5	spearman	M2	-2.00977	-3.5921826	2.3170047	-0.27163672	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00066	prev_5	spearman	M2	-1.8006425	-3.5321934	1.2017617	1.4197013	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00082	prev_5	spearman	M2	-2.0156174	-3.7325826	2.1945481	0.032269374	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00099	prev_5	spearman	M2	-1.9812107	-3.7168007	1.9464031	0.35426068	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00146	prev_5	spearman	M2	-1.6788249	-3.3907309	0.7119825	1.6085628	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00181	prev_5	spearman	M2	-1.8503668	-3.60668	1.6085126	-0.93351585	0.0	3	0.49387186765670776
S__TARA_ARC_108_MAG_00198	prev_5	spearman	M2	-1.8428668	-3.4812334	1.8674252	0.53559196	0.0	3	0.49387186765670776
S__TARA_ARC_NCLDV_00033	prev_5	spearman	M2	-1.7941976	-3.6589692	1.22146	-1.0165832	0.0	3	0.49387186765670776
S__TARA_ARC_NCLDV_00036	prev_5	spearman	M1	-1.7190427	-3.462688	-0.18499765	-1.5414721	0.0	3	0.49387186765670776
S__TARA_ARC_NCLDV_00116	prev_5	spearman	M1	-1.3933389	-3.2595842	-1.7199744	-0.37791044	0.0	3	0.49387186765670776
S__TARA_ARC_NCLDV_00117	prev_5	spearman	M1	-1.5866628	-3.3770251	-1.0232415	-1.0360806	0.0	3	0.49387186765670776
S__TARA_ARC_NCLDV_00127	prev_5	spearman	M1	-1.417644	-3.306765	-1.0133748	-1.3292298	0.0	3	0.49387186765670776
S__TARA_ARC_NCLDV_00137	prev_5	spearman	M1	-1.6094611	-3.3201323	-0.8837941	-1.1387389	0.0	3	0.49387186765670776
S__TARA_ARC_NCLDV_00176	prev_5	spearman	M1	-1.533685	-3.2719088	-1.3029296	-1.2204995	0.0	3	0.49387186765670776
S__TARA_ARC_NCLDV_00188	prev_5	spearman	M1	-0.7586125	-3.0304768	-2.3574307	0.35008964	0.0	3	0.49387186765670776
S__TARA_SOC_28_MAG_00007	prev_5	spearman	M2	-1.7311596	-3.4315627	1.1210465	1.3053045	0.0	3	0.49387186765670776
S__TARA_SOC_28_MAG_00016	prev_5	spearman	M2	-1.7721806	-3.4876468	1.0657312	1.4291785	0.0	3	0.49387186765670776
S__TARA_SOC_28_MAG_00024	prev_5	spearman	M2	-2.0080597	-3.7139454	2.1864908	0.119471446	0.0	3	0.49387186765670776
S__TARA_SOC_NCLDV_00026	prev_5	spearman	M3	-1.1333907	-2.1281345	-5.16528	0.05167907	0.0	3	0.49387186765670776
