threshold	method	site	present_taxa	mean_assignment_entropy	mean_site_similarity
prev_5	spearman	ST8	267	0.11663544923067093	0.5382760292738333
prev_5	spearman	ST13	260	0.2069287747144699	0.371565618784814
prev_5	spearman	GeoB25202_R1	151	0.037497490644454956	0.6142948669434333
prev_5	spearman	GeoB25202_R2	173	0.016364511102437973	0.599815358953798
