threshold	method	core	taxon	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	temporal_var_clr	prevalence	mean_tax_abund_tad	edge_type
5	bicor	ST8	S__3300001683_28	-0.165145665897711	1.66258337210851	0.909014270412512	6.29558414116961	2.76418346921169	0.0695652173913044	209.530434782609	taxon_site_context
5	bicor	ST8	S__3300006311_3	0.341901760603229	2.24201078609176	1.18245467885599	7.82064611142158	5.02661236495179	0.130434782608696	345.278260869565	taxon_site_context
5	bicor	ST8	S__3300020187_18	-0.113801189596383	1.62178152479963	0.895466998163651	6.05137626428483	2.63017531418142	0.0782608695652174	170.252173913044	taxon_site_context
5	bicor	ST8	S__3300020263_16	1.33624325690755	3.00109443705487	1.84142509579384	7.4440391211769	9.00656782012171	0.243478260869565	795.686956521739	taxon_site_context
5	bicor	ST8	S__3300020300_16	-0.212327589964925	2.15391399364798	1.10297880549475	8.79306051956922	4.63934549203258	0.0608695652173913	601.113043478261	taxon_site_context
5	bicor	ST8	S__3300020303_2	-0.553607745620414	1.45242780984307	0.868893350614928	6.30291488511223	2.10954654280555	0.0260869565217391	47.4347826086957	taxon_site_context
5	bicor	ST8	S__3300020317_19	-0.107726281418764	2.07184659880537	1.08790956795539	6.85974828899692	4.29254832898138	0.0782608695652174	183.84347826087	taxon_site_context
5	bicor	ST8	S__3300020330_9	-0.690121104052046	1.16535197566447	0.7962070939144	6.09994441708534	1.35804522718509	0.00869565217391304	28.6260869565217	taxon_site_context
5	bicor	ST8	S__3300020364_17	-0.548027467876896	1.59579637331222	0.916581301778604	8.01346463234745	2.54656606507645	0.0260869565217391	57.3304347826087	taxon_site_context
5	bicor	ST8	S__3300020389_47	-0.622473936351062	1.0173643369189	0.748662560371222	3.85528839901707	1.03503019403443	0.0173913043478261	34.495652173913	taxon_site_context
5	bicor	ST8	S__3300020444_12	-0.623704502441862	1.01210205955507	0.747431994280422	3.85528839901707	1.02435057895561	0.0173913043478261	32.2086956521739	taxon_site_context
5	bicor	ST8	S__3300024058_12	1.05586625027152	3.23034731161672	1.90776888311797	8.7661174252879	10.4351437536694	0.208695652173913	977.286956521739	taxon_site_context
5	bicor	ST8	S__3300024058_15	-0.619334396845864	1.29056797124051	0.822538313570286	6.01750098331483	1.66556568839184	0.0173913043478261	41.6869565217391	taxon_site_context
5	bicor	ST8	S__3300024058_22	0.107055385933087	2.04661882787969	1.07053462745127	7.0570899447641	4.18864862663163	0.104347826086957	285.460869565217	taxon_site_context
5	bicor	ST8	S__3300024060_27	-0.693558205960165	1.13001524159395	0.788592934467603	5.46449688917769	1.27693444623464	0.00869565217391304	19.2782608695652	taxon_site_context
5	bicor	ST8	S__3300024353_106	-0.502666570345911	1.6283724964127	0.897377078448643	8.59560212433374	2.65159698707332	0.0260869565217391	342.278260869565	taxon_site_context
5	bicor	ST8	S__3300024429_35	-0.319684195209958	2.30210884648116	1.20916153867364	8.87873740692761	5.29970514104681	0.0521739130434783	140.417391304348	taxon_site_context
5	bicor	ST8	S__3300024431_33	0.612075580082142	2.69660078922422	1.44692276510926	8.65477919266006	7.27165581644471	0.156521739130435	821.530434782609	taxon_site_context
5	bicor	ST8	S__3300024431_52	-0.555281356049624	1.10493982027638	0.76120426852726	4.95347838460056	1.2208920064324	0.0260869565217391	42.9739130434783	taxon_site_context
5	bicor	ST8	S__3300024516_13	-0.0361881284574568	2.39727309502829	1.20724113963703	9.59410228845901	5.74691829214653	0.0782608695652174	1342.42608695652	taxon_site_context
