threshold	method	site	present_taxa	mean_assignment_entropy	mean_site_similarity
prev_5	bicor	ST8	267	0.042424947023391724	0.7676788087501524
prev_5	bicor	ST13	260	0.08713431656360626	0.5946586925601314
prev_5	bicor	GeoB25202_R1	151	0.0	0.7724824923631805
prev_5	bicor	GeoB25202_R2	173	0.032738327980041504	0.735255991746254
