node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__3300024516_18	taxon	-0.81332886	0.19893703	0.078443795	0.541329	0.23469794	-0.16256711	-0.272906	0.8639257	0.11030653	-0.29114705	-0.62902623	0.34053648	0.80176985	-0.62554175	0.2992834	0.030293167	-0.3556205	-0.16246536	-1.1182324	0.020639375	0.08223443	0.47739527	0.4506904	0.78599054	0.6095224	0.2531702	-0.2217797	0.52189547	-0.021175489	0.48722777	0.42584857	-0.50356114
S__3300024516_26	taxon	-0.67558265	0.20529136	0.17845605	0.6887336	0.14479017	-0.26965463	-0.14063948	0.9130506	0.11801267	-0.2886013	-0.5742228	0.3513326	0.66720426	-0.5354334	0.33847332	0.08165857	-0.293429	0.01787202	-0.9689213	0.024685152	0.13907461	0.50572807	0.23587596	0.8901279	0.46628517	0.41895404	-0.31538653	0.3229705	0.10717349	0.5496326	0.35134166	-0.43813393
S__3300024516_38	taxon	0.5421111	0.6559218	-0.31489706	-0.84481835	-0.8891765	0.5618585	2.9832385	-2.3497834	1.9166312	-1.9713008	1.7003335	-0.32065648	-0.99716705	2.0830126	-1.2208916	1.4563444	3.2254796	0.0944854	1.1823932	2.0847614	-3.107139	-0.5599048	0.77774644	-3.1920972	-0.15108943	-0.43037474	0.17555496	-0.27792114	-1.4863131	-0.8021664	-0.2835707	1.1677454
S__3300025276_12	taxon	-0.7836807	0.071011506	0.065661184	0.8862594	0.066942215	-0.30399856	-0.022704363	0.7917043	0.15606585	-0.45010513	-0.21575111	0.2761997	0.7291807	-0.6017908	0.36839885	0.090232134	-0.3211119	0.02841273	-0.98621976	-0.10618478	0.009280503	0.6682906	0.21325932	0.97450835	0.46837622	0.5328503	-0.34497008	0.17723027	0.221116	0.5092552	0.3638542	-0.42391652
S__3300025894_53	taxon	-0.79822624	0.053722262	0.03650308	0.8870943	0.1613074	-0.355282	0.010055184	0.74815327	0.13465555	-0.44140357	-0.2358149	0.34966123	0.7739731	-0.585744	0.2525424	0.0277839	-0.35445097	0.01576285	-1.0025657	-0.15888199	-0.04677187	0.6820729	0.2914706	0.95918584	0.4752648	0.4872617	-0.32870615	0.23290712	0.20403913	0.5004266	0.33176887	-0.46034572
S__3300026080_15	taxon	-0.90557	0.12776892	0.05556406	0.55601496	0.27512413	-0.18433145	-0.25456023	0.957661	0.04356177	-0.1778957	-0.5594485	0.36194977	0.7927056	-0.69867903	0.25932676	-0.035259098	-0.4294855	-0.116759494	-1.1428533	-0.020104438	0.035609096	0.46185526	0.38442302	0.99351436	0.5156944	0.34916875	-0.29327077	0.42630816	-0.058353588	0.4771757	0.47231072	-0.4728388
S__3300026087_14	taxon	-0.64066154	0.17633939	0.27999398	0.7025671	0.15064275	-0.2879774	-0.06601292	0.97685933	0.080554724	-0.22684619	-0.58199894	0.37887043	0.6400057	-0.51894563	0.30768725	0.059906542	-0.33062887	0.08712974	-0.93591416	-0.021026373	0.1762329	0.49028108	0.2190415	1.0016824	0.39615598	0.41466653	-0.34496042	0.33985442	0.11334643	0.604331	0.36788723	-0.4130546
S__3300026253_28	taxon	-0.46831918	0.10261372	0.11396526	0.6357398	0.04983592	-0.109860644	0.54532003	-0.2268593	0.4905956	-1.1100165	0.20383793	0.32171932	0.2626302	-0.022991955	0.07460505	0.2540874	0.63224524	-0.07553888	-0.7815859	0.28866804	-0.76285046	0.76308274	0.60232794	-0.44426408	0.77810353	0.2840834	-0.08958198	0.11808452	-0.028030302	0.17022316	-0.07611178	-0.044772327
S__3300026253_8	taxon	-0.69991755	0.014355652	0.100725874	1.048704	0.049181163	-0.38102984	0.1599949	0.71077585	0.16704229	-0.5134189	-0.07372493	0.29906303	0.7067367	-0.5528889	0.31119853	0.077065766	-0.33347645	0.11728427	-0.9054101	-0.21454857	0.0047640204	0.7765923	0.18705305	1.0334692	0.42496103	0.56248766	-0.36620814	0.10514136	0.35635376	0.55285436	0.3077002	-0.38027257
S__3300026264_29	taxon	-0.6501846	0.30582446	0.32833493	0.46093106	-0.072512984	-0.26690018	-0.5477563	1.1158268	0.0041526854	0.16626939	-0.9938084	0.38872945	0.85941434	-0.6868745	0.51851773	-0.121565014	-0.6427597	0.052127764	-0.86571705	-0.073054686	0.15038393	-0.0026316885	0.42802843	0.7863787	0.38562912	0.2944469	-0.2401357	0.5352682	0.044090837	0.60816944	0.63777006	-0.3322061
