threshold	method	site	taxon	sites_present	assignment_entropy	consensus_module	module_prob_1	module_prob_2	module_prob_3	module_prob_4	module_prob_5	module_prob_6	module_prob_7	module_prob_8	module_prob_9	module_prob_10	module_prob_11	module_prob_12	module_prob_13
prev_10	spearman	ST8	S__3300001683_28	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300006311_3	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300020187_18	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300020263_16	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300020300_16	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300020317_19	2	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300020330_9	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300024058_12	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300024058_22	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300024060_27	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300024431_33	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300024516_13	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300024516_18	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300024516_26	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300024516_38	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__3300025276_12	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300025894_53	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300026080_15	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300026087_14	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300026253_28	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300026253_8	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300026264_29	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300026264_34	4	2.563873529434204	M9	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__3300027687_20	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300027752_17	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300027771_26	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300027779_22	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300027791_27	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300027827_16	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300027844_79	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__3300027847_80	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__3300027997_10	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_000213395.2	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_000383355.1	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_000402075.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_001437625.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_001542995.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_001543015.1	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__GCA_002082295.1	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_002295725.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_002313235.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_002317795.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_002335045.1	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_002499015.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_003229345.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_003331785.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_003526595.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_003545625.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_003672175.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_004195625.1	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__GCA_004356455.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_004356825.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_004356895.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_008974855.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_008975185.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_009392475.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_009937205.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_011055585.1	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__GCA_012960805.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_012964335.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_012964845.1	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_012974305.1	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_012974425.1	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_013203245.1	2	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_013215285.1	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__GCA_013390475.1	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__GCA_013911135.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_014384505.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_015659035.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_015659595.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_016276965.1	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__GCA_016777225.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_016777365.1	2	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_016838795.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_016838825.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_016838845.1	4	2.563873529434204	M5	0.07436148822307587	0.08071974664926529	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.07436148822307587	0.08248274773359299	0.08457436412572861	0.0803193747997284	0.07436148822307587	0.07436148822307587	0.07701189070940018
prev_10	spearman	ST8	S__GCA_017368835.1	3	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_10	spearman	ST8	S__GCA_017854145.1	4	-0.0	M5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
