from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__GCA_012974305.1	S__IMGVR_UViG_3300027780_000015	5	0.555265733593836	0.555265733593836	0.555265733593836	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_004376075.1	S__IMGVR_UViG_3300027780_000015	5	0.674955473604762	0.674955473604762	0.674955473604762	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612295.1	S__IMGVR_UViG_3300027780_000015	5	0.6711773586547	0.6711773586547	0.6711773586547	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024353_52	S__IMGVR_UViG_3300027780_000015	5	0.616492460240684	0.616492460240684	0.616492460240684	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_008974855.1	S__IMGVR_UViG_3300027780_000015	5	-0.635398251174474	0.635398251174474	0.635398251174474	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300020300_16	S__IMGVR_UViG_3300027780_000015	5	0.793271907378538	0.793271907378538	0.793271907378538	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_016777225.1	S__IMGVR_UViG_3300027780_000015	5	0.69479298612224	0.69479298612224	0.69479298612224	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300027847_80	S__IMGVR_UViG_3300027780_000015	5	0.718460763592273	0.718460763592273	0.718460763592273	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_012974305.1	S__GCA_905612455.1	5	0.568772756474646	0.568772756474646	0.568772756474646	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_004376075.1	S__GCA_905612455.1	5	0.574013672236426	0.574013672236426	0.574013672236426	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__TARA_SOC_NCLDV_00026	S__GCA_905612455.1	5	0.607120425937164	0.607120425937164	0.607120425937164	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612295.1	S__GCA_905612455.1	5	0.769401805626403	0.769401805626403	0.769401805626403	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024353_52	S__GCA_905612455.1	5	0.680280672591179	0.680280672591179	0.680280672591179	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_008974855.1	S__GCA_905612455.1	5	-0.624722800689866	0.624722800689866	0.624722800689866	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300020300_16	S__GCA_905612455.1	5	0.87174045237123	0.87174045237123	0.87174045237123	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_016777225.1	S__GCA_905612455.1	5	0.799811022477843	0.799811022477843	0.799811022477843	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300027847_80	S__GCA_905612455.1	5	0.812953946643252	0.812953946643252	0.812953946643252	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__IMGVR_UViG_3300027780_000015	S__GCA_905612455.1	5	0.899979225862691	0.899979225862691	0.899979225862691	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024058_12	S__3300020263_16	5	-0.599961447548146	0.599961447548146	0.599961447548146	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612295.1	S__3300020263_16	5	0.67685735901988	0.67685735901988	0.67685735901988	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024431_33	S__3300020263_16	5	0.575818592966899	0.575818592966899	0.575818592966899	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024516_13	S__3300020263_16	5	0.691339002322297	0.691339002322297	0.691339002322297	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612275.1	S__3300020263_16	5	0.759127752364119	0.759127752364119	0.759127752364119	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300020300_16	S__3300020263_16	5	0.596868145239191	0.596868145239191	0.596868145239191	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_016777225.1	S__3300020263_16	5	0.830222346290579	0.830222346290579	0.830222346290579	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__IMGVR_UViG_3300027780_000015	S__3300020263_16	5	0.576971159410935	0.576971159410935	0.576971159410935	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612455.1	S__3300020263_16	5	0.690751820894211	0.690751820894211	0.690751820894211	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024516_38	S__IMGVR_UViG_3300027813_000042	5	-0.560769208394464	0.560769208394464	0.560769208394464	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_004376075.1	S__IMGVR_UViG_3300027813_000042	5	0.672371489263694	0.672371489263694	0.672371489263694	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612295.1	S__IMGVR_UViG_3300027813_000042	5	0.686315188332927	0.686315188332927	0.686315188332927	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024353_52	S__IMGVR_UViG_3300027813_000042	5	0.765013992899337	0.765013992899337	0.765013992899337	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_008974855.1	S__IMGVR_UViG_3300027813_000042	5	-0.596123785448253	0.596123785448253	0.596123785448253	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612275.1	S__IMGVR_UViG_3300027813_000042	5	0.586961651203878	0.586961651203878	0.586961651203878	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300020300_16	S__IMGVR_UViG_3300027813_000042	5	0.983745834005916	0.983745834005916	0.983745834005916	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_016777225.1	S__IMGVR_UViG_3300027813_000042	5	0.705638299416767	0.705638299416767	0.705638299416767	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300027847_80	S__IMGVR_UViG_3300027813_000042	5	0.779862765362266	0.779862765362266	0.779862765362266	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300027813_000042	5	0.785604916850701	0.785604916850701	0.785604916850701	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612455.1	S__IMGVR_UViG_3300027813_000042	5	0.856333239086488	0.856333239086488	0.856333239086488	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300020263_16	S__IMGVR_UViG_3300027813_000042	5	0.576653040961301	0.576653040961301	0.576653040961301	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_004376075.1	S__GCA_905182815.1	5	0.577559582394276	0.577559582394276	0.577559582394276	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
