from	to	weight	abs_weight	method	estimator	aracne_eps	core
S__3300024058_12	S__3300024516_14	0.435855597383015	0.435855597383015	mi_aracne	spearman	0	GeoB25202_R1
S__3300024058_12	S__GCA_001643535.1	0.259429290481003	0.259429290481003	mi_aracne	spearman	0	GeoB25202_R1
S__3300026119_12	S__3300020364_17	0.363790777282798	0.363790777282798	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_001795235.1	S__3300004632_4	0.773436862800123	0.773436862800123	mi_aracne	spearman	0	GeoB25202_R1
S__3300024516_14	S__GCA_016869675.1	0.351793644069444	0.351793644069444	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_017368835.1	S__GCA_016202695.1	1.02193316092393	1.02193316092393	mi_aracne	spearman	0	GeoB25202_R1
S__3300020300_16	S__3300020330_9	0.140787656467391	0.140787656467391	mi_aracne	spearman	0	GeoB25202_R1
S__3300017441_13	S__GCA_013349685.1	2.01713019571694	2.01713019571694	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_016202695.1	S__GCA_013349685.1	0.988676322061169	0.988676322061169	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_016202695.1	S__GCA_016190405.1	0.490836105875965	0.490836105875965	mi_aracne	spearman	0	GeoB25202_R1
S__3300024060_27	S__GCA_002726085.1	1.03188919772131	1.03188919772131	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_012974305.1	S__3300024431_27	0.740513386147977	0.740513386147977	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_016869675.1	S__GCA_009885795.1	0.735259383021676	0.735259383021676	mi_aracne	spearman	0	GeoB25202_R1
S__3300024431_27	S__GCA_009885795.1	1.35991457063023	1.35991457063023	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_012974305.1	S__3300027706_22	0.73006806905021	0.73006806905021	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_016869675.1	S__3300008212_1	0.784983304169999	0.784983304169999	mi_aracne	spearman	0	GeoB25202_R1
S__3300004632_4	S__GCA_001798595.1	0.492281892424734	0.492281892424734	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_016869675.1	S__GCA_002690215.1	0.837713002201029	0.837713002201029	mi_aracne	spearman	0	GeoB25202_R1
S__3300020364_17	S__GCA_016763915.1	0.309456550249355	0.309456550249355	mi_aracne	spearman	0	GeoB25202_R1
S__GCA_009377375.1	S__GCA_016763915.1	0.316432895280982	0.316432895280982	mi_aracne	spearman	0	GeoB25202_R1
