from	to	signed_weight	weight	abs_weight	method	core
S__GCA_017368835.1	S__GCA_016202695.1	0.932991452991453	0.932991452991453	0.932991452991453	spearman_abs_threshold	GeoB25202_R1
S__GCA_001795235.1	S__GCA_016202695.1	0.823589743589744	0.823589743589744	0.823589743589744	spearman_abs_threshold	GeoB25202_R1
S__3300024060_27	S__GCA_016202695.1	0.56991452991453	0.56991452991453	0.56991452991453	spearman_abs_threshold	GeoB25202_R1
S__3300024516_14	S__GCA_016202695.1	0.606837606837607	0.606837606837607	0.606837606837607	spearman_abs_threshold	GeoB25202_R1
S__GCA_001643535.1	S__GCA_016202695.1	0.568547008547009	0.568547008547009	0.568547008547009	spearman_abs_threshold	GeoB25202_R1
S__3300004632_4	S__GCA_016202695.1	0.744273504273504	0.744273504273504	0.744273504273504	spearman_abs_threshold	GeoB25202_R1
S__GCA_016869675.1	S__GCA_016202695.1	0.774358974358974	0.774358974358974	0.774358974358974	spearman_abs_threshold	GeoB25202_R1
S__3300017441_13	S__GCA_016202695.1	0.922735042735043	0.922735042735043	0.922735042735043	spearman_abs_threshold	GeoB25202_R1
S__3300024058_12	S__GCA_013349685.1	0.63008547008547	0.63008547008547	0.63008547008547	spearman_abs_threshold	GeoB25202_R1
S__GCA_012974305.1	S__GCA_013349685.1	0.597948717948718	0.597948717948718	0.597948717948718	spearman_abs_threshold	GeoB25202_R1
S__GCA_017368835.1	S__GCA_013349685.1	0.876923076923077	0.876923076923077	0.876923076923077	spearman_abs_threshold	GeoB25202_R1
S__GCA_001795235.1	S__GCA_013349685.1	0.767521367521368	0.767521367521368	0.767521367521368	spearman_abs_threshold	GeoB25202_R1
S__3300024060_27	S__GCA_013349685.1	0.63008547008547	0.63008547008547	0.63008547008547	spearman_abs_threshold	GeoB25202_R1
S__3300024516_14	S__GCA_013349685.1	0.615726495726496	0.615726495726496	0.615726495726496	spearman_abs_threshold	GeoB25202_R1
S__3300004632_4	S__GCA_013349685.1	0.829059829059829	0.829059829059829	0.829059829059829	spearman_abs_threshold	GeoB25202_R1
S__GCA_016869675.1	S__GCA_013349685.1	0.813333333333333	0.813333333333333	0.813333333333333	spearman_abs_threshold	GeoB25202_R1
S__3300017441_13	S__GCA_013349685.1	0.991111111111111	0.991111111111111	0.991111111111111	spearman_abs_threshold	GeoB25202_R1
S__GCA_016202695.1	S__GCA_013349685.1	0.928205128205128	0.928205128205128	0.928205128205128	spearman_abs_threshold	GeoB25202_R1
S__GCA_012974305.1	S__GCA_905182465.1	0.692307692307692	0.692307692307692	0.692307692307692	spearman_abs_threshold	GeoB25202_R1
S__3300026119_12	S__GCA_004357475.1	0.61025641025641	0.61025641025641	0.61025641025641	spearman_abs_threshold	GeoB25202_R1
S__GCA_017368835.1	S__GCA_016190405.1	0.724444444444444	0.724444444444444	0.724444444444444	spearman_abs_threshold	GeoB25202_R1
S__GCA_001795235.1	S__GCA_016190405.1	0.785299145299145	0.785299145299145	0.785299145299145	spearman_abs_threshold	GeoB25202_R1
S__3300004632_4	S__GCA_016190405.1	0.667008547008547	0.667008547008547	0.667008547008547	spearman_abs_threshold	GeoB25202_R1
S__GCA_016869675.1	S__GCA_016190405.1	0.701196581196581	0.701196581196581	0.701196581196581	spearman_abs_threshold	GeoB25202_R1
S__3300017441_13	S__GCA_016190405.1	0.721025641025641	0.721025641025641	0.721025641025641	spearman_abs_threshold	GeoB25202_R1
S__GCA_016202695.1	S__GCA_016190405.1	0.790769230769231	0.790769230769231	0.790769230769231	spearman_abs_threshold	GeoB25202_R1
S__GCA_013349685.1	S__GCA_016190405.1	0.69982905982906	0.69982905982906	0.69982905982906	spearman_abs_threshold	GeoB25202_R1
S__3300024060_27	S__GCF_014925385.1	0.633504273504274	0.633504273504274	0.633504273504274	spearman_abs_threshold	GeoB25202_R1
S__GCA_012974305.1	S__GCA_003644175.1	0.794871794871795	0.794871794871795	0.794871794871795	spearman_abs_threshold	GeoB25202_R1
S__3300024060_27	S__GCA_003644175.1	0.602051282051282	0.602051282051282	0.602051282051282	spearman_abs_threshold	GeoB25202_R1
S__GCA_001766965.1	S__GCA_003644175.1	0.569230769230769	0.569230769230769	0.569230769230769	spearman_abs_threshold	GeoB25202_R1
S__3300024058_12	S__GCA_002726085.1	0.828376068376068	0.828376068376068	0.828376068376068	spearman_abs_threshold	GeoB25202_R1
S__GCA_012974305.1	S__GCA_002726085.1	0.655384615384615	0.655384615384615	0.655384615384615	spearman_abs_threshold	GeoB25202_R1
S__3300024060_27	S__GCA_002726085.1	0.934358974358974	0.934358974358974	0.934358974358974	spearman_abs_threshold	GeoB25202_R1
S__3300024516_14	S__GCA_002726085.1	0.645811965811966	0.645811965811966	0.645811965811966	spearman_abs_threshold	GeoB25202_R1
S__3300004632_4	S__GCA_002726085.1	0.647179487179487	0.647179487179487	0.647179487179487	spearman_abs_threshold	GeoB25202_R1
S__GCA_016869675.1	S__GCA_002726085.1	0.602735042735043	0.602735042735043	0.602735042735043	spearman_abs_threshold	GeoB25202_R1
S__3300017441_13	S__GCA_002726085.1	0.557606837606838	0.557606837606838	0.557606837606838	spearman_abs_threshold	GeoB25202_R1
S__GCA_013349685.1	S__GCA_002726085.1	0.563760683760684	0.563760683760684	0.563760683760684	spearman_abs_threshold	GeoB25202_R1
S__GCA_004357475.1	S__GCA_002726085.1	0.561709401709402	0.561709401709402	0.561709401709402	spearman_abs_threshold	GeoB25202_R1
S__3300024058_12	S__GCA_013003675.1	0.672478632478633	0.672478632478633	0.672478632478633	spearman_abs_threshold	GeoB25202_R1
