from	to	weight	abs_weight	method	estimator	aracne_eps	core
S__GCF_000347635.1	S__GCF_000315075.1	0.23744036170336	0.23744036170336	mi_aracne	spearman	0	ST13
S__GCF_000315075.1	S__GCA_011053245.1	0.109717269294327	0.109717269294327	mi_aracne	spearman	0	ST13
S__GCA_012960305.1	S__GCA_015659905.1	0.382688718277803	0.382688718277803	mi_aracne	spearman	0	ST13
S__GCA_013215295.1	S__TARA_SOC_28_MAG_00043	0.198301958942646	0.198301958942646	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	S__Schulz_GVMAG_M_3300025652_16	0.329830766436562	0.329830766436562	mi_aracne	spearman	0	ST13
S__GCA_002816585.1	S__GCA_004356735.1	0.336314881094294	0.336314881094294	mi_aracne	spearman	0	ST13
S__GCA_003228685.1	S__GCA_013215605.1	0.248608683991982	0.248608683991982	mi_aracne	spearman	0	ST13
S__3300024060_20	S__GCA_013215605.1	0.174829198814559	0.174829198814559	mi_aracne	spearman	0	ST13
S__Schulz_GVMAG_M_3300025652_16	S__GCA_013215605.1	0.116015430169088	0.116015430169088	mi_aracne	spearman	0	ST13
S__GCA_002816585.1	S__3300024431_6	0.213825967099341	0.213825967099341	mi_aracne	spearman	0	ST13
S__GCF_000315075.1	S__GCA_018675705.1	0.0916517704722731	0.0916517704722731	mi_aracne	spearman	0	ST13
S__GCA_012964085.1	S__GCA_018675705.1	0.0571296918361124	0.0571296918361124	mi_aracne	spearman	0	ST13
S__3300027685_33	S__GCA_018695965.1	0.107157062712015	0.107157062712015	mi_aracne	spearman	0	ST13
S__GCA_002713705.1	S__GCA_013619155.1	0.271992860058051	0.271992860058051	mi_aracne	spearman	0	ST13
S__GCA_002503285.1	S__GCA_905182695.1	0.348287003332398	0.348287003332398	mi_aracne	spearman	0	ST13
S__GCA_008974985.1	S__GCA_016777505.1	0.0868772032699686	0.0868772032699686	mi_aracne	spearman	0	ST13
S__GCA_905182145.1	S__GCA_016777505.1	0.445012552121193	0.445012552121193	mi_aracne	spearman	0	ST13
S__GCA_018675705.1	S__GCA_018665385.1	0.244505430332033	0.244505430332033	mi_aracne	spearman	0	ST13
S__GCA_017368835.1	S__3300024058_12	0.636930078451974	0.636930078451974	mi_aracne	spearman	0	ST13
S__GCF_000347635.1	S__3300024058_12	0.149343091032576	0.149343091032576	mi_aracne	spearman	0	ST13
S__GCA_002503285.1	S__3300024058_12	0.197196266423237	0.197196266423237	mi_aracne	spearman	0	ST13
S__GCA_018830725.1	S__3300024516_32	0.227845945991207	0.227845945991207	mi_aracne	spearman	0	ST13
S__GCA_004357475.1	S__GCA_016764265.1	0.200994659185763	0.200994659185763	mi_aracne	spearman	0	ST13
