from	to	signed_weight	weight	abs_weight	method	core
S__TARA_ARC_108_MAG_00181	S__GCA_905182775.1	0.701996370235935	0.701996370235935	0.701996370235935	spearman_abs_threshold	ST8
S__GCA_905480315.1	S__GCA_905182775.1	0.572153396985718	0.572153396985718	0.572153396985718	spearman_abs_threshold	ST8
S__GCF_014279835.1	S__GCA_905182775.1	0.758991556853152	0.758991556853152	0.758991556853152	spearman_abs_threshold	ST8
S__GCA_011049715.1	S__3300024060_27	0.627444172650517	0.627444172650517	0.627444172650517	spearman_abs_threshold	ST8
S__3300020262_3	S__3300024060_27	0.551550540519214	0.551550540519214	0.551550540519214	spearman_abs_threshold	ST8
S__GCA_003228685.1	S__3300024060_27	0.5733922512428	0.5733922512428	0.5733922512428	spearman_abs_threshold	ST8
S__GCA_016782865.1	S__GCA_001303465.1	0.930450564191588	0.930450564191588	0.930450564191588	spearman_abs_threshold	ST8
S__GCA_011049715.1	S__GCA_001303465.1	0.836676398642784	0.836676398642784	0.836676398642784	spearman_abs_threshold	ST8
S__GCA_012974305.1	S__GCA_001303465.1	0.676374970409532	0.676374970409532	0.676374970409532	spearman_abs_threshold	ST8
S__GCA_001795235.1	S__GCA_001303465.1	0.931160735421763	0.931160735421763	0.931160735421763	spearman_abs_threshold	ST8
S__GCA_001643535.1	S__GCA_001303465.1	0.553507456797917	0.553507456797917	0.553507456797917	spearman_abs_threshold	ST8
S__3300020262_3	S__GCA_001303465.1	0.874859938451827	0.874859938451827	0.874859938451827	spearman_abs_threshold	ST8
S__GCA_003228685.1	S__GCA_001303465.1	0.63984849680423	0.63984849680423	0.63984849680423	spearman_abs_threshold	ST8
S__GCA_016782865.1	S__3300025823_18	0.62874615323917	0.62874615323917	0.62874615323917	spearman_abs_threshold	ST8
S__GCA_011049715.1	S__3300025823_18	0.740408742996923	0.740408742996923	0.740408742996923	spearman_abs_threshold	ST8
S__GCA_012974305.1	S__3300025823_18	0.576919435019333	0.576919435019333	0.576919435019333	spearman_abs_threshold	ST8
S__GCA_001795235.1	S__3300025823_18	0.62338041505563	0.62338041505563	0.62338041505563	spearman_abs_threshold	ST8
S__3300020262_3	S__3300025823_18	0.678205634025093	0.678205634025093	0.678205634025093	spearman_abs_threshold	ST8
S__GCA_003228685.1	S__3300025823_18	0.649104395170836	0.649104395170836	0.649104395170836	spearman_abs_threshold	ST8
S__3300024060_27	S__3300025823_18	0.564775506983351	0.564775506983351	0.564775506983351	spearman_abs_threshold	ST8
