from	to	weight	abs_weight	method	estimator	aracne_eps	core
S__GCA_015659465.1	S__3300020303_2	0.0777296710272998	0.0777296710272998	mi_aracne	spearman	0	ST8
S__GCA_905182495.1	S__GCA_009937425.1	0.0619758829871387	0.0619758829871387	mi_aracne	spearman	0	ST8
S__GCA_002726245.1	S__GCA_009937425.1	0.113285946457679	0.113285946457679	mi_aracne	spearman	0	ST8
S__GCA_002686855.1	S__GCA_018651215.1	0.0969160900318686	0.0969160900318686	mi_aracne	spearman	0	ST8
S__3300024060_27	S__3300027685_7	0.0802305246718094	0.0802305246718094	mi_aracne	spearman	0	ST8
S__GCA_905182775.1	S__3300020396_14	0.53326937598097	0.53326937598097	mi_aracne	spearman	0	ST8
S__GCA_002725915.1	S__3300027700_11	0.108186395109232	0.108186395109232	mi_aracne	spearman	0	ST8
S__GCA_012974425.1	S__GCA_013619155.1	0.202837816682188	0.202837816682188	mi_aracne	spearman	0	ST8
S__3300020396_14	S__3300027847_15	0.214663665382133	0.214663665382133	mi_aracne	spearman	0	ST8
S__GCA_014523485.1	S__GCF_004137345.1	0.251193169863225	0.251193169863225	mi_aracne	spearman	0	ST8
S__3300020330_9	S__3300025792_6	0.109601272808641	0.109601272808641	mi_aracne	spearman	0	ST8
S__GCA_014523485.1	S__3300025792_6	0.395136190119778	0.395136190119778	mi_aracne	spearman	0	ST8
S__GCA_013813135.1	S__3300025792_6	0.324427714921584	0.324427714921584	mi_aracne	spearman	0	ST8
S__GCA_012974425.1	S__GCA_003545625.1	0.261999769090488	0.261999769090488	mi_aracne	spearman	0	ST8
S__GCA_001543015.1	S__GCA_003545625.1	0.362482414444192	0.362482414444192	mi_aracne	spearman	0	ST8
S__GCA_004357475.1	S__GCA_004357655.1	0.195801163845241	0.195801163845241	mi_aracne	spearman	0	ST8
S__3300027685_7	S__GCA_004357655.1	0.103724251960065	0.103724251960065	mi_aracne	spearman	0	ST8
S__GCA_011049715.1	S__GCA_002726085.1	0.161130119464088	0.161130119464088	mi_aracne	spearman	0	ST8
S__GCA_004357655.1	S__GCA_002726085.1	0.088482937133522	0.088482937133522	mi_aracne	spearman	0	ST8
S__GCF_004137345.1	S__GCA_902806065.1	0.287394421147115	0.287394421147115	mi_aracne	spearman	0	ST8
S__GCA_008974985.1	S__GCA_008975185.1	0.130105442779288	0.130105442779288	mi_aracne	spearman	0	ST8
S__3300020364_17	S__GCA_008975185.1	0.141118991762255	0.141118991762255	mi_aracne	spearman	0	ST8
S__GCA_002731735.1	S__GCA_008975185.1	0.0690564260580835	0.0690564260580835	mi_aracne	spearman	0	ST8
S__3300020444_12	S__GCA_002331465.1	0.321706236852604	0.321706236852604	mi_aracne	spearman	0	ST8
S__GCA_018675705.1	S__GCA_002331465.1	0.0518727780599668	0.0518727780599668	mi_aracne	spearman	0	ST8
S__GCA_014523485.1	S__GCA_009392475.1	0.0913375267127252	0.0913375267127252	mi_aracne	spearman	0	ST8
S__GCA_018675705.1	S__3300027838_10	0.0311284616700274	0.0311284616700274	mi_aracne	spearman	0	ST8
S__3300027847_15	S__3300027838_10	0.272571503315989	0.272571503315989	mi_aracne	spearman	0	ST8
S__GCA_004357655.1	S__3300025232_4	0.144104235643532	0.144104235643532	mi_aracne	spearman	0	ST8
S__GCA_002862205.1	S__GCA_018649285.1	0.099892455631804	0.099892455631804	mi_aracne	spearman	0	ST8
S__GCA_018674955.1	S__GCA_018649285.1	0.138433978151801	0.138433978151801	mi_aracne	spearman	0	ST8
S__GCA_008974985.1	S__GCA_003645435.1	0.314758750724787	0.314758750724787	mi_aracne	spearman	0	ST8
S__3300027685_33	S__GCA_003645435.1	0.175161994073082	0.175161994073082	mi_aracne	spearman	0	ST8
S__GCA_013619155.1	S__GCA_003645435.1	0.305070319125615	0.305070319125615	mi_aracne	spearman	0	ST8
S__GCA_015222795.1	S__3300024060_22	0.094396421707158	0.094396421707158	mi_aracne	spearman	0	ST8
S__GCA_017854145.1	S__GCA_905478445.1	0.0554994591347765	0.0554994591347765	mi_aracne	spearman	0	ST8
S__GCA_015659905.1	S__GCA_012964085.1	0.0260819480011512	0.0260819480011512	mi_aracne	spearman	0	ST8
S__GCA_016777365.1	S__GCA_009887135.1	0.261183935711196	0.261183935711196	mi_aracne	spearman	0	ST8
S__3300020317_19	S__TARA_AOS_82_MAG_00091	0.771754772780172	0.771754772780172	mi_aracne	spearman	0	ST8
S__GCA_015492195.1	S__IMGVR_UViG_GVMAG-S-ERX556043-36_000001	0.128485886242325	0.128485886242325	mi_aracne	spearman	0	ST8
S__TARA_AOS_82_MAG_00110	S__IMGVR_UViG_GVMAG-S-ERX556043-36_000001	0.0989074136382215	0.0989074136382215	mi_aracne	spearman	0	ST8
S__GCA_016178045.1	S__GCA_002816585.1	0.195489057366419	0.195489057366419	mi_aracne	spearman	0	ST8
S__TARA_ARC_108_MAG_00022	S__GCA_002168195.1	0.183671810807885	0.183671810807885	mi_aracne	spearman	0	ST8
S__3300027685_18	S__TARA_ARC_108_MAG_00069	0.0335550427652642	0.0335550427652642	mi_aracne	spearman	0	ST8
S__GCF_014077065.1	S__TARA_ARC_108_MAG_00069	0.195469149193037	0.195469149193037	mi_aracne	spearman	0	ST8
S__GCA_905181955.1	S__3300026087_6	0.0903039953140297	0.0903039953140297	mi_aracne	spearman	0	ST8
S__GCA_003230435.1	S__GCA_002693245.1	0.0669481526245442	0.0669481526245442	mi_aracne	spearman	0	ST8
S__GCA_013215605.1	S__GCA_015659305.1	0.0253528248855026	0.0253528248855026	mi_aracne	spearman	0	ST8
S__3300026087_6	S__GCA_015659305.1	0.153196195058906	0.153196195058906	mi_aracne	spearman	0	ST8
S__TARA_PON_109_MAG_00083	S__GCA_018703065.1	0.111706902470444	0.111706902470444	mi_aracne	spearman	0	ST8
S__GCA_013349685.1	S__GCA_018703065.1	0.0885929793259999	0.0885929793259999	mi_aracne	spearman	0	ST8
S__GCA_008975185.1	S__GCA_018703065.1	0.140885627154186	0.140885627154186	mi_aracne	spearman	0	ST8
S__3300024060_22	S__GCA_018703065.1	0.111129583090752	0.111129583090752	mi_aracne	spearman	0	ST8
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	0.280348435126347	0.280348435126347	mi_aracne	spearman	0	ST8
S__GCA_015659905.1	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	0.0498730642588157	0.0498730642588157	mi_aracne	spearman	0	ST8
S__GCF_000315075.1	S__TARA_ARC_108_MAG_00026	0.221315280767463	0.221315280767463	mi_aracne	spearman	0	ST8
S__3300027685_33	S__TARA_ARC_108_MAG_00026	0.165600350490018	0.165600350490018	mi_aracne	spearman	0	ST8
S__GCF_014077065.1	S__TARA_ARC_108_MAG_00026	0.354162048767833	0.354162048767833	mi_aracne	spearman	0	ST8
S__3300020364_17	S__3300026119_12	0.219361023890866	0.219361023890866	mi_aracne	spearman	0	ST8
S__GCA_004357475.1	S__3300026119_12	0.313103138781681	0.313103138781681	mi_aracne	spearman	0	ST8
S__3300024516_14	S__3300026119_12	0.282465999208332	0.282465999208332	mi_aracne	spearman	0	ST8
S__3300024060_22	S__3300026119_12	0.109492336436005	0.109492336436005	mi_aracne	spearman	0	ST8
S__GCA_012964085.1	S__3300026087_14	0.0431566025124162	0.0431566025124162	mi_aracne	spearman	0	ST8
S__GCA_013215605.1	S__GCA_004356735.1	0.109823726940725	0.109823726940725	mi_aracne	spearman	0	ST8
S__GCA_009937425.1	S__GCA_004356735.1	0.135644166881516	0.135644166881516	mi_aracne	spearman	0	ST8
S__GCA_905181955.1	S__3300026074_4	0.0922811462575106	0.0922811462575106	mi_aracne	spearman	0	ST8
S__GCA_004195625.1	S__GCA_018661385.1	0.298619635854512	0.298619635854512	mi_aracne	spearman	0	ST8
S__GCA_905182665.1	S__GCF_000264055.1	0.281428075780085	0.281428075780085	mi_aracne	spearman	0	ST8
S__GCA_902806065.1	S__GCF_003201655.1	0.351852764535697	0.351852764535697	mi_aracne	spearman	0	ST8
S__GCA_009886055.1	S__GCF_003201655.1	0.329261988268947	0.329261988268947	mi_aracne	spearman	0	ST8
S__GCA_011049715.1	S__3300024058_12	0.257005157109317	0.257005157109317	mi_aracne	spearman	0	ST8
S__GCA_017368835.1	S__3300024058_12	0.171381691296185	0.171381691296185	mi_aracne	spearman	0	ST8
S__3300024060_27	S__3300024058_12	0.4228443096748	0.4228443096748	mi_aracne	spearman	0	ST8
S__3300024516_14	S__3300024058_12	0.324469442606379	0.324469442606379	mi_aracne	spearman	0	ST8
S__GCA_016178045.1	S__GCA_004356405.1	0.0699186744454282	0.0699186744454282	mi_aracne	spearman	0	ST8
S__GCA_905181585.1	S__GCF_003326015.1	0.589696090131537	0.589696090131537	mi_aracne	spearman	0	ST8
S__GCA_003230435.1	S__GCA_905181685.1	0.187891282035811	0.187891282035811	mi_aracne	spearman	0	ST8
S__GCA_011049715.1	S__3300005253_23	0.305197951446718	0.305197951446718	mi_aracne	spearman	0	ST8
S__GCA_018263435.1	S__3300005253_23	0.182223322117405	0.182223322117405	mi_aracne	spearman	0	ST8
S__GCA_013813135.1	S__3300005253_23	0.126928557613069	0.126928557613069	mi_aracne	spearman	0	ST8
S__GCA_013390745.1	S__3300005253_23	0.0608415057832684	0.0608415057832684	mi_aracne	spearman	0	ST8
S__3300020300_16	S__3300027622_6	0.0383286803564461	0.0383286803564461	mi_aracne	spearman	0	ST8
