from	to	weight	abs_weight	method	estimator	aracne_eps	core
S__GCA_009380075.1	S__GCA_016187325.1	0.317205295630494	0.317205295630494	mi_aracne	spearman	0	GeoB25202_R2
S__3300027685_7	S__GCA_002687515.1	0.567724998639806	0.567724998639806	mi_aracne	spearman	0	GeoB25202_R2
S__3300025823_18	S__GCA_002687515.1	0.542866139822627	0.542866139822627	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_017610205.1	S__GCA_002687515.1	0.557980963501611	0.557980963501611	mi_aracne	spearman	0	GeoB25202_R2
S__3300020423_20	S__GCA_004357015.1	0.0990093954042696	0.0990093954042696	mi_aracne	spearman	0	GeoB25202_R2
S__3300011118_20	S__3300025899_14	0.507421720553073	0.507421720553073	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_002725915.1	S__3300025899_14	0.419993684578499	0.419993684578499	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_018661305.1	S__3300027700_13	0.239497229218853	0.239497229218853	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905182465.1	S__GCA_018661385.1	0.329363729704861	0.329363729704861	mi_aracne	spearman	0	GeoB25202_R2
S__3300020444_12	S__GCA_018661385.1	0.21116223965957	0.21116223965957	mi_aracne	spearman	0	GeoB25202_R2
S__3300027685_7	S__GCA_018695965.1	0.0920215188461474	0.0920215188461474	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905478445.1	S__GCA_018695965.1	0.140787656467391	0.140787656467391	mi_aracne	spearman	0	GeoB25202_R2
S__3300020330_9	S__GCA_018670825.1	0.0726271378846132	0.0726271378846132	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_004402895.1	S__GCA_018670825.1	0.155447692634238	0.155447692634238	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_016869675.1	S__GCA_003693905.1	0.732655976689091	0.732655976689091	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_016210855.1	S__GCA_003693905.1	0.805561381475297	0.805561381475297	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_003576685.1	S__GCF_013407185.1	0.531894515857878	0.531894515857878	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_013349685.1	S__3300024431_6	0.205711082652839	0.205711082652839	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_015222795.1	S__3300024431_6	0.0853573112089483	0.0853573112089483	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_011053245.1	S__3300024431_6	0.221705163678722	0.221705163678722	mi_aracne	spearman	0	GeoB25202_R2
S__3300008212_1	S__3300024431_6	0.205711082652839	0.205711082652839	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_001643535.1	S__GCA_003354135.1	0.352900433164252	0.352900433164252	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_016202695.1	S__GCA_003354135.1	0.602720668857376	0.602720668857376	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_001643535.1	S__3300024529_6	0.341994035066118	0.341994035066118	mi_aracne	spearman	0	GeoB25202_R2
S__GCF_000315075.1	S__3300024529_6	0.163746454205614	0.163746454205614	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_002685655.1	S__3300024529_6	0.396594267370086	0.396594267370086	mi_aracne	spearman	0	GeoB25202_R2
S__3300004632_4	S__GCA_016869145.1	0.756665961210382	0.756665961210382	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_018649285.1	S__GCA_016869145.1	0.459674328501492	0.459674328501492	mi_aracne	spearman	0	GeoB25202_R2
S__TARA_ARC_108_MAG_00181	S__3300020303_2	0.285097835232482	0.285097835232482	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_001510275.1	S__GCA_016784665.1	0.168882216046516	0.168882216046516	mi_aracne	spearman	0	GeoB25202_R2
S__3300020423_20	S__GCA_016784665.1	0.244912889312981	0.244912889312981	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_015659465.1	S__GCA_016784665.1	0.0943142522166247	0.0943142522166247	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_009392435.1	S__Schulz_GVMAG_M_3300025652_16	0.0970351519142513	0.0970351519142513	mi_aracne	spearman	0	GeoB25202_R2
S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	S__Schulz_GVMAG_M_3300025652_16	0.426772572372659	0.426772572372659	mi_aracne	spearman	0	GeoB25202_R2
