threshold	method	site	present_taxa	mean_assignment_entropy	mean_site_similarity
prev_5	pearson	ST8	267	0.45602691173553467	0.260143763456744
prev_5	pearson	ST13	260	0.29404953122138977	0.287579427936563
prev_5	pearson	GeoB25202_R1	151	0.07500895112752914	0.35907085095361735
prev_5	pearson	GeoB25202_R2	173	0.08183780312538147	0.35625503289126836
