sample	PC1	PC2	PC3	PC4	PC5	label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV3003047168	4.70778694377055	-0.70417857672413	-2.25518312543488	-1.49133748813674	-6.39215420262645	LV3003047168	ST8		214.5	30497	193.15	3.05670322494356	mgca_jonkers_2013	4.62	56419893	53.7	23672441	55.4	8.31168442315493	30.497	58840	18	230542	73862	149643	153951	10	4.7696800449323	5.36275194022914	4.86842694286257
LV3003061517	19.2054482966419	19.3719605842925	8.07500449010961	5.66004715093008	7.47334130214497	LV3003061517	ST13		81	30678	343.69	6.45738016350526	mgca_jonkers_2013	4.62	166832578	74.7	79298875	86	8.34038156140496	30.678	288794	73	642176	373869	458623	469753	10	5.46058966988373	5.80765474696085	5.5727206179834
LV3003047155	-2.44770179665982	-5.42390435721588	-2.34217523936909	0.429923196534518	-3.23884579583035	LV3003047155	ST8		219.5	30947.5	72.49	3.59259359265224	mgca_jonkers_2013	4.62	58779708	51.8	15672586	53.7	8.38311017332974	30.9475	32359	9	155133	39371	97484	101130	10	4.51000851294023	5.19070699055485	4.59518747643367
LV3003047143	-0.349851971784536	2.06226368213739	-6.30160298043044	1.80277522929597	-5.92414765124518	LV3003047143	ST8		224.5	31398	133.26	4.12848396036092	mgca_jonkers_2013	4.61204	135126726	57.5	24111588	60.5	8.45453592350455	31.398	57754	18	235680	74144	160463	166304	10	4.76158958819036	5.37232457222412	4.87008186951646
LV3003047130	-0.10809641865176	-4.94475712789479	2.14664976838174	3.04455385748648	-7.76623132853687	LV3003047130	ST8		229.5	31936	108.94	4.9756968195377	mgca_jonkers_2013	4.60128	43901456	63.3	16307041	66.4	8.53983459962896	31.936	23292	9	136751	25518	95002	98725	10	4.36722542668583	5.13593368661506	4.40686365190684
LV3003047114	0.554449657745318	-3.22121014218538	3.90050679941412	4.51433495894993	-4.20968047886047	LV3003047114	ST8		234.5	32385.5	41.03	4.80182032251746	mgca_jonkers_2013	4.59229	21045484	64.8	12594552	66.9	8.61110180207863	32.3855	25226	11	130645	27701	92575	95571	10	4.40186560719961	5.11609611743479	4.44251112493479
LV3003061505	9.00757216327539	10.204083024235	-0.684210764669906	4.94784785293141	-6.50178930948972	LV3003061505	ST13		86	32810	188.85	6.23650968574743	mgca_jonkers_2013	4.5838	82717700	80.4	45809256	89.7	8.67840531139984	32.81	93726	29	306370	136372	193549	198928	10	4.97186471641497	5.48624765411973	5.13472839442805
LV3003047097	0.526105560140817	-1.78030477938379	0.854664014301801	5.47767178189158	-6.55157856682872	LV3003047097	ST8		239.5	32835	93.56	4.62794382549722	mgca_jonkers_2013	4.5833	84081411	56.6	17377814	59.5	8.6823690045283	32.835	33146	13	193815	40831	129492	134819	10	4.52044422829424	5.28738962630033	4.61100065270505
LV3003047084	-1.95013467458901	6.67702874705085	2.29652662545412	8.36656271382597	-6.91236221300365	LV3003047084	ST8		244.5	33276	4.13	6.53096294335688	mgca_jonkers_2013	4.58276	390411795	56.1	31074859	58.4	8.75228855131429	33.276	74976	26	309160	78911	229978	237787	10	4.87492805932492	5.49018470337998	4.89714305057962
LV3003047069	1.26615062171728	-1.52886307217366	2.24008515584844	4.25386348044369	-6.432161288314	LV3003047069	ST8		249.5	33743.6870748299	233.37	6.20212176047846	mgca_jonkers_2013	4.5874368707483	66820935	59	22512581	61.8	8.82643927310517	33.7436870748299	28052	11	161505	29568	109801	113203	10	4.44797931171617	5.20818866114693	4.47083663728143
LV3003047167	-3.01407813292387	-9.03834012797484	1.41459143267872	0.481935213025498	-1.3509110260471	LV3003047167	ST8		259.5	34678.12	171.35	5.57495241758692	mgca_jonkers_2013	4.556094	55257624	57.2	14241098	59.7	8.97459148768522	34.67812	11813	5	111011	15395	68890	71993	10	4.07239696652176	5.04536992700376	4.18740790242255
LV3003061488	26.5420913874048	14.3173913054084	3.34526513339371	-2.72070896357642	0.793867681806917	LV3003061488	ST13		91	35041	245.05	6.0156392079896	mgca_jonkers_2013	4.53631	127243231	79.7	66338584	85.6	9.03212528618341	35.041	258460	70	573392	335670	405704	413972	10	5.41239502030189	5.75845238676197	5.52591382237996
LV3003047154	-0.816065695721849	-3.37367482434846	0.220112170687147	3.14060129897464	-6.14211702810639	LV3003047154	ST8		264.5	35130.12	109.23	5.75466161579687	mgca_jonkers_2013	4.5282892	24559061	57.6	12574749	58.9	9.04625505944773	35.13012	21545	9	137947	24604	84661	87402	10	4.33336665550972	5.13971540836533	4.3910233693701
LV3003047142	-0.951208076094504	-7.43249347554726	4.07718085875222	2.38104407754786	-5.78250636510653	LV3003047142	ST8		269.5	35582.3	78.67	5.88471892901571	mgca_jonkers_2013	4.487593	67334598	64.9	15239544	67.1	9.11794716980078	35.5823	12626	6	102752	12838	69035	71227	10	4.10130018046768	5.01179451049386	4.10853119885787
LV3003047129	2.64402118142574	0.975886159728637	-0.130770085867631	2.5163760512138	-13.2914801274537	LV3003047129	ST8		274.5	36037.3	75.83	5.23689671070721	mgca_jonkers_2013	4.450373	33964594	62.9	16307844	64.1	9.19008638473871	36.0373	45676	16	195070	56495	129585	134071	10	4.65969757233432	5.29019271031658	4.75201770021902
LV3003047113	5.67982556464517	9.75740461668342	-3.94773977142893	4.29825127699072	-10.525199549684	LV3003047113	ST8		279.5	36489.27	109.94	4.62053611323564	mgca_jonkers_2013	4.4548927	73296885	60.2	24562830	62.8	9.26174520006947	36.48927	101046	22	335952	120137	230612	237846	10	5.00452342420673	5.52627852361485	5.07968039774457
LV7008886226	-4.78936683268267	-4.95864147601814	-9.45506590978307	2.55225120723578	-1.58568270137868	LV7008886226	GeoB25202_R2		105.5	36607	46.28	9.28041102375	uk37_alkenone	4.45607	193464268	41.2	26190630	42.8	9.28041102375	36.607	115045	13	424739	172903	253424	276382	10	5.06087152341208	5.62812316271249	5.2378050404563
LV7008886776	13.4922104684016	17.6587170963381	1.79115859869969	4.89988500176389	-3.90447981305914	LV7008886776	GeoB25202_R1		105.5	36607	70.05	9.28041102375	uk37_alkenone	4.45607	152962664	56	41404251	58.3	9.28041102375	36.607	167473	47	452604	190454	339370	348537	10	5.22394739326548	5.65571934736598	5.2797923786452
LV3003047096	3.85444455625727	3.56990953810946	-7.92597646698854	6.56828330318662	-10.2751898338071	LV3003047096	ST8		284.5	36893.77	135.25	4.49707424220948	mgca_jonkers_2013	4.4589377	56084885	55.6	20029588	57.5	9.23725876185055	36.89377	115701	22	383776	176195	231970	240193	10	5.06334086613807	5.58407894363449	5.24599604483854
LV3003061476	3.90765864927929	14.6068849899243	-4.34374204966721	3.51673187649765	-4.53044857397438	LV3003061476	ST13		96	37160	137.29	5.79476873023177	mgca_jonkers_2013	4.452	84098583	70.2	34228366	72.2	9.19719729556924	37.16	123122	35	330655	136226	256027	260917	10	5.09033918891872	5.51937640770914	5.13426319266415
LV3003047083	0.858654786313171	-0.190119874665869	2.80340137016805	5.55392463798205	-10.6654710966765	LV3003047083	ST8		289.5	37303.19	129.5	4.36334977083705	mgca_jonkers_2013	4.4448405	66017005	60.6	17923283	63	9.1756505076159	37.30319	33584	12	171282	37524	114495	118732	10	4.52614535263471	5.23371426096571	4.57432070091531
LV3003047068	3.09232005557804	-0.604358666689357	-0.626184004719436	4.98027652321788	-8.3203781172763	LV3003047068	ST8		294.5	37789.69	99.85	4.0688445607065	mgca_jonkers_2013	4.4205155	45243801	64.9	16258007	69	9.10244349358346	37.78969	46444	15	200426	58717	132498	136460	10	4.66693896721471	5.30195622598343	4.76877125460971
LV3003047166	2.31262071347184	3.66844062076141	0.680892527535398	3.42741511464596	-13.2721492016495	LV3003047166	ST8		299.5	38273.43	109.28	3.82073071156393	mgca_jonkers_2013	4.4482802	47667591	67.1	14626855	69.9	9.0296517958074	38.27343	52368	15	227846	65801	154714	160416	10	4.71907428101189	5.3576433147178	4.81823909385352
LV3003047153	3.01660392844458	2.45184035873671	-4.79373203101413	6.85010443397275	-12.578464118631	LV3003047153	ST8		304.5	38713.93	119.12	4.29941485123281	mgca_jonkers_2013	4.5099502	61725484	65.2	21806731	67.7	8.96336671938132	38.71393	71805	19	255933	87216	175693	181786	10	4.85616073474399	5.40812798433007	4.94060114418271
LV3003047141	-3.52262309553254	-14.5921438440498	7.20610933654261	-1.44318073186482	4.76784684651911	LV3003047141	ST8		309.5	39153.47	61.93	4.70233543022987	mgca_jonkers_2013	4.55	956051	61.3	849760	61.8	8.89722610078355	39.15347	0	0	6535	0	3480	3677	10	0	3.81531204352436	0
LV3003047128	5.06866828238402	-0.722403043402873	-1.36986225863612	3.78982725933548	-9.78909891399199	LV3003047128	ST8		314.5	39577.97	73.06	3.9182935587019	mgca_jonkers_2013	4.55	61094930	57.4	16749573	59.4	8.83334865482924	39.57797	50942	17	227665	66292	143629	148677	10	4.70708451669909	5.35729817723385	4.82146767287128
LV3003047112	7.73722761760912	3.93559019270748	2.32927753717454	3.16306739489996	-11.4894369541506	LV3003047112	ST8		319.5	40033.5	82.07	3.21978661089373	mgca_jonkers_2013	4.54866	36464277	69.6	15715775	72.5	8.76480191052874	40.0335	47715	19	195505	59066	133581	137031	10	4.67866402991157	5.29116009025826	4.77134491369625
LV3003061571	1.64468994678042	5.41351418477307	-8.85928414420099	3.02564582254288	-5.77209905424443	LV3003061571	ST13		101	40457	159.84	6.07677656849543	mgca_jonkers_2013	4.53172	90191213	63	44685952	68.8	8.70107494147892	40.457	161423	22	467792	254181	277406	285569	10	5.20796810469022	5.67005371878968	5.40514479256944
LV3003047095	-1.06101332790122	-2.35078721400404	-0.157303853873854	5.30392734378281	-5.02911600638191	LV3003047095	ST8		324.5	40975.1666666667	76.96	3.86132680136238	mgca_jonkers_2013	4.51099333333333	55822169	58.7	15927657	60.6	8.62310282547109	40.9751666666667	56180	10	233192	83257	143387	147241	10	4.74958946520762	5.36771550960756	4.92042597417752
LV3003047082	-0.9126198055238	-4.50637478744835	-0.928599830246011	3.70921618610446	-5.11749439187322	LV3003047082	ST8		329.5	41916.8333333333	61.65	4.50286699183103	mgca_jonkers_2013	4.50083166666667	37053519	59.3	19269518	60.4	8.48140374041344	41.9168333333333	22729	8	137269	31224	82468	85821	10	4.35659943572497	5.13757563368204	4.49450244704617
LV3003061558	18.6600867219536	17.3069129221021	0.470324664634566	2.30253903330678	0.39135777581094	LV3003061558	ST13		106	42626	207.2	6.3587844067591	mgca_jonkers_2013	4.47496	75419217	85.6	38072076	102.9	8.37469053564879	42.626	170541	53	377617	200092	281035	287009	10	5.23183135178596	5.57705268772973	5.30123189565996
LV3003047067	3.60146385863739	0.919785046650401	0.710611000595341	5.39229421572544	-8.25148021994892	LV3003047067	ST8		334.5	42866.02	178.82	5.07611814185932	mgca_jonkers_2013	4.4653592	83694347	60.2	30143452	61.8	8.33857306903406	42.86602	41084	14	218898	57313	136831	140374	10	4.61368329130964	5.34024377757764	4.75826071935125
LV7008886740	-0.88136414635615	-2.01612043859285	0.0709893803380529	6.48234515337006	-1.70537422471205	LV7008886740	GeoB25202_R1		119.5	43105	37.22	8.3026120984	uk37_alkenone	4.4621	126565168	46	28164282	47.8	8.3026120984	43.105	40143	11	222037	46484	148260	152802	10	4.60362064397054	5.34642730678414	4.66731283529497
LV7008886752	-2.16535915195413	0.663764814330263	-9.43137959020464	7.86990610805323	-4.23965112859639	LV7008886752	GeoB25202_R2		119.5	43105	26.14	8.3026120984	uk37_alkenone	4.4621	223261934	57.3	26874573	61.2	8.3026120984	43.105	51512	15	231298	73303	142370	152792	10	4.71191684294031	5.36417375514234	4.86512767355696
LV3003047164	0.309649493931084	0.0754998298984399	0.63697662410809	3.79389726557784	-10.5140727475835	LV3003047164	ST8		339.5	43933.02	61.8	4.579507658322	mgca_jonkers_2013	4.4786604	45835273	73.5	20978998	75.5	8.37946113303367	43.93302	24631	13	118708	26717	78466	81107	10	4.39149967589514	5.07448364652127	4.42680394551487
LV3003047152	1.56292137585945	3.28187820958581	1.26178302907456	5.85163068878774	-9.41266869340696	LV3003047152	ST8		344.5	45000.02	114.81	4.08289717478468	mgca_jonkers_2013	4.3300006	86684643	67.2	27393512	69.9	8.47849004532337	45.00002	38530	16	169598	38310	121150	124944	10	4.58581028045983	5.22942328721455	4.58332348815676
LV3003061544	5.59363351967166	7.73908307181035	1.2010244462669	-2.32241496222324	-10.0033635066549	LV3003061544	ST13		111	45122	154.76	6.64079224502277	mgca_jonkers_2013	4.33366	98492472	76.2	36658491	81.2	8.48981108255027	45.122	71230	30	227444	78183	171923	175986	10	4.85266904137438	5.35687639402912	4.89311788576224
LV3003047140	-2.62154083990036	-13.6343385567415	6.78005283632283	0.315791860363972	2.91819381121027	LV3003047140	ST8		349.5	46094.8	83.7	3.6236552712401	mgca_jonkers_2013	4.361896	2441785	64.6	2055101	65.5	8.58009723613548	46.0948	1235	1	23123	106	15583	16039	10	3.0920184707528	4.36406296070308	2.02938377768521
LV3003061530	2.17937443858442	7.41311257946878	-2.98668241551106	4.03231845737013	-8.48070292676252	LV3003061530	ST13		116	47046	117.63	6.92280008328644	mgca_jonkers_2013	4.38322	92176900	82.1	44841877	91.8	8.66837868071839	47.046	176499	19	515432	292465	288549	296796	10	5.24674470972384	5.71217222030551	5.46607538539035
LV3003047127	-3.37213956998144	-11.9817284100402	5.34476737730711	-0.928440967702187	0.80610035728309	LV3003047127	ST8		354.5	47624.8	56.2	3.74985445424827	mgca_jonkers_2013	4.423736	50491529	60.3	11382703	63	8.72209745713196	47.6248	5817	2	66710	7454	40344	42028	10	3.76477371691104	4.8241974507894	3.87244764778901
LV3003061516	4.5190376025883	6.17417884256452	-4.32056503934098	2.98330977564237	-8.73416107072547	LV3003061516	ST13		121	48537	61.03	7.2048079215501	mgca_jonkers_2013	4.45537	54250107	75.6	26855001	76.7	8.80675928823849	48.537	107354	27	310781	148188	203551	208853	10	5.03082227626962	5.49245585721043	5.17081596736394
LV3003047110	-2.06497518935027	-6.97036567531984	0.171393902380767	4.79240119301435	-1.79867534191518	LV3003047110	ST8		359.5	49154.8	66.07	3.87605363725645	mgca_jonkers_2013	4.441424	47425083	62.5	15940375	65.4	8.86409767812845	49.1548	18402	8	117830	22844	76519	80269	10	4.26488862612062	5.07125956343738	4.35879116239172
LV3003061504	1.93599792150008	10.1058511333361	-7.64132983176705	0.0405566960805913	-5.32989063222541	LV3003061504	ST13		126	50268	187.42	7.48681575981377	mgca_jonkers_2013	4.33732	96239561	74.4	42611651	77.1	8.96741444022863	50.268	91275	26	272570	114717	184173	188538	10	4.9603565996837	5.43547964750032	5.05963156687554
LV7008886221	-3.0106918902442	-2.2400405007235	-8.0402725980851	10.5345655776471	-1.87208622973123	LV7008886221	GeoB25202_R1		129.5	50355.5	94.36	8.9755353679	uk37_alkenone	4.336445	97977738	44.9	30262882	47	8.9755353679	50.3555	92806	13	329680	142734	195479	206108	10	4.96758073426543	5.51809391883582	5.15453047937311
LV7008886728	-2.73454900797515	-2.10384133335096	-5.67973770914971	6.9705486302164	-2.46220664028018	LV7008886728	GeoB25202_R2		129.5	50355.5	42.73	8.9755353679	uk37_alkenone	4.336445	152247351	58.3	27749284	61.8	8.9755353679	50.3555	40878	12	200724	57687	126150	130387	10	4.61150026335479	5.30260146658756	4.76108548255287
LV3003047094	-0.67358556681545	1.3392110675667	-3.93647856679505	10.3986671054836	-1.98048206329353	LV3003047094	ST8		364.5	50684.8	129.24	4.00225282026463	mgca_jonkers_2013	4.333152	80270443	61.2	21674703	64.2	8.71916462667657	50.6848	71371	18	225775	84734	161639	166343	10	4.85352786681149	5.3536777745175	4.92806283379201
LV3003061486	-2.02374671887902	-6.45384141072247	-4.03868692674754	3.67771585363892	1.98583139293971	LV3003061486	ST13		131	52105	128.79	7.76882359807744	mgca_jonkers_2013	4.32365	27685092	68.7	20117935	70.3	7.61349281773178	52.105	43529	12	148017	63216	94687	104289	10	4.6387886671574	5.17031453178237	4.80083388229192
LV3003047081	-0.361750889022213	-5.08180915271105	0.970601969316022	2.55838724519077	-7.03674220371131	LV3003047081	ST8		369.5	52207.18	90.06	4.12845200327281	mgca_jonkers_2013	4.3369334	57423869	57.2	15919889	58.8	7.53394237030326	52.20718	35795	10	163802	28218	129752	133458	10	4.55383449940969	5.21432185146295	4.45054161954672
LV3003047065	-4.57898336890438	-10.6540415696552	1.11748397629216	1.53865209155521	0.970697402667725	LV3003047065	ST8		374.5	53610.18	140.39	4.25465118628098	mgca_jonkers_2013	4.4033892	57784676	58.3	11483201	61.5	6.44166131978254	53.61018	17750	8	93474	19757	69847	72051	10	4.24922282399667	4.97069547382626	4.29574298109555
LV3003061475	-0.832559780263461	4.8632575078808	-3.18642520217208	4.65392037594038	-5.98610289999248	LV3003061475	ST13		136	53844	108.69	8.05083143634111	mgca_jonkers_2013	4.38936	112973110	69.7	29608396	73.6	6.25962485846197	53.844	60205	19	217801	68116	156440	160646	10	4.77963977426521	5.33806186341322	4.83325551257101
LV7008886692	-4.37312115816754	-7.98887570742749	-0.953537785114601	3.60513646859897	1.56435413023213	LV7008886692	GeoB25202_R1		139.5	53875	51.47	6.235490352	uk37_alkenone	4.3875	102859565	52.6	21513038	56	6.235490352	53.875	27265	7	131469	36094	86390	89778	10	4.43562143037486	5.11882666293329	4.55744704614936
LV7008886704	-2.34457235260517	-5.14779595036609	-2.15089588393545	4.02396847621036	0.615864863285313	LV7008886704	GeoB25202_R2		139.5	53875	23.87	6.235490352	uk37_alkenone	4.3875	186672027	56.9	18918645	61.2	6.235490352	53.875	29411	9	150955	34123	102817	105691	10	4.4685245572997	5.17885037946647	4.53305993328412
LV3003047161	-3.52262309553254	-14.5921438440498	7.20610933654261	-1.44318073186482	4.76784684651911	LV3003047161	ST8		379.5	54983.46	31.63	4.38085036928916	mgca_jonkers_2013	4.3111578	1104778	59.1	793502	62	6.47543092855096	54.98346	0	0	5914	0	3831	3936	10	0	3.77195474896395	0
LV3003061570	-1.92455001121754	13.1089042787249	4.58658090987498	11.4377755670671	-1.78554145636093	LV3003061570	ST13		141	55466	127.35	8.04038666688849	mgca_jonkers_2013	4.32864	79639505	71.1	31089341	73.9	6.57988298438419	55.466	109857	30	302666	106208	244480	249602	10	5.04083168828747	5.48096507209905	5.02616131980313
LV3003047160	-3.52262309553254	-14.5921438440498	7.20610933654261	-1.44318073186482	4.76784684651911	LV3003047160	ST8		384.5	55891.1266666667	36.23	4.50704955229734	mgca_jonkers_2013	4.34564506666667	1905989	56.6	991574	66.2	6.67190717786631	55.8911266666667	0	0	4506	0	2747	2898	10	0	3.65388755807098	0
LV3003047159	-1.34291487851795	-4.87906451888221	5.14566297814544	3.02119780858911	-1.660656117912	LV3003047159	ST8		389.5	56798.7933333333	81.65	4.63324873530552	mgca_jonkers_2013	4.41390346666667	39132173	80.8	14300268	84.8	6.86838342718166	56.7987933333333	18321	10	103855	17948	73544	75841	10	4.26297287880537	5.01643159178705	4.25404025756171
LV3003047158	1.38153008410315	-5.82020054173414	3.55307196274082	1.40106245526099	-6.30480873062352	LV3003047158	ST8		394.5	57706.46	70.06	4.75944791831369	mgca_jonkers_2013	4.4723876	44291383	79.6	12643578	86.6	7.06485967649701	57.70646	20368	9	108628	22333	73668	75661	10	4.30896970817825	5.03594578159429	4.34896651180206
LV3003061557	-7.34166158139813	13.2343551702475	9.20898396892319	12.6666555882737	2.33624797837614	LV3003061557	ST13		146	58082	188.06	8.02994189743588	mgca_jonkers_2013	4.48508	59537389	82.9	38572967	90.5	7.14615019137165	58.082	132414	34	292682	119231	255614	260641	10	5.12193718486378	5.4663974979015	5.07639282888013
LV7008886765	-2.94774610285672	-5.31607733691292	-3.29696193200317	8.60037071089645	-2.39472235486798	LV7008886765	GeoB25202_R1		149.5	58181	42.2	7.16758002833333	uk37_alkenone	4.47914	133978185	51.4	29219035	54.5	7.16758002833333	58.181	48936	10	234420	69449	148934	159897	10	4.68963734214327	5.36999651423856	4.84167225007364
LV3003047139	3.11042533827448	-4.69053087207333	5.73988897969548	3.97868632930078	-6.56206077113729	LV3003047139	ST8		399.5	58614.1266666667	44.97	4.88564710132187	mgca_jonkers_2013	4.4531524	15155861	77.9	8529497	83.7	8.62798528680874	58.6141266666667	30262	13	114588	31030	81274	83060	10	4.48091197784664	5.05914292942378	4.49179577131359
LV7008886741	-3.52262309553254	-14.5921438440498	7.20610933654261	-1.44318073186482	4.76784684651911	LV7008886741	GeoB25202_R1		155.5	58997	11.14	9.918947659625	uk37_alkenone	4.43018	84181826	45.8	4319623	50.5	9.918947659625	58.997	0	0	25006	0	15389	16057	10	0	4.3980615941058	0
LV7008886753	-3.23277341181815	-10.5045972119991	3.28098551172985	0.17572779224588	4.40885765355405	LV7008886753	GeoB25202_R2		155.5	58997	24.03	9.918947659625	uk37_alkenone	4.43018	129194349	43.9	9629685	47.9	9.918947659625	58.997	13369	4	111860	17764	68769	70820	10	4.12613140726198	5.04867869745728	4.24956521182535
LV3003047150	11.8021984620265	4.90010198626252	4.88285374056624	4.44876762930191	-12.2934046006904	LV3003047150	ST8		404.5	59521.7933333333	73.51	5.01184628433005	mgca_jonkers_2013	4.51870486666667	67120474	74.5	15427841	80.5	8.44254713374637	59.5217933333333	68708	27	211527	78151	151839	154959	10	4.83701362780678	5.32536786315612	4.89294009659512
LV7008886705	-5.16747113785873	-13.4483686502138	3.51279932500705	-0.797001901495415	5.29537839418534	LV7008886705	GeoB25202_R1		159.5	59738	23.86	7.834293148625	uk37_alkenone	4.55546	95103090	43.4	12531371	45.3	7.834293148625	59.738	5615	2	55591	7237	35639	36968	10	3.74942709912175	4.74501229867139	3.85961857877218
LV7008886717	-5.27347579319179	-10.8292633792818	2.18559902609397	0.87312467305775	3.22652442484948	LV7008886717	GeoB25202_R2		159.5	59738	49.74	7.834293148625	uk37_alkenone	4.55546	128512499	41.9	19897194	43.6	7.834293148625	59.738	17680	5	131737	22490	86926	90427	10	4.24750682414992	5.11971106584941	4.35200876556578
LV3003047149	-1.58003489364655	-5.15023518632039	1.33993668757903	1.69177238058048	-5.55902021065362	LV3003047149	ST8		409.5	60431.7	45.56	5.12335113965152	mgca_jonkers_2013	4.561147	62250597	65.1	9170430	69.9	7.85555370343168	60.4317	17003	7	115132	19380	77749	80728	10	4.23055109629509	5.06119982114319	4.2873761815526
LV3003047148	0.152581508970035	-1.75590801493004	-0.0696258781908611	3.12079613604866	-9.20120854160903	LV3003047148	ST8		414.5	61376.7	47.48	5.00464486121452	mgca_jonkers_2013	4.543903	53529330	65.5	11451620	69.9	7.88451611411687	61.3767	32172	11	149922	37975	104497	107728	10	4.50749155896537	5.17586826398134	4.5795092187103
LV3003061543	7.63514407889931	20.7428298421028	7.54835800099506	9.26461899075602	13.7150444422724	LV3003061543	ST13		151	62293	184.56	8.01949712798326	mgca_jonkers_2013	4.57949	90294874	80.7	44589548	82.9	7.91259892566273	62.293	255813	73	494584	281105	410326	417757	10	5.40792430854126	5.69424094074341	5.4488701154014
LV3003047147	0.946617835156189	-4.3255978926979	2.60961583717806	2.08237167326835	-8.5428135254064	LV3003047147	ST8		419.5	62321.7	48.14	4.88593858277752	mgca_jonkers_2013	4.577481	52440180	63.1	9223523	66.9	7.91347852480206	62.3217	27707	10	137256	26272	101120	104131	10	4.4426051789648	5.13753450236695	4.41950966582214
LV3003047146	7.13245587300233	-0.448082784233543	6.46566831957687	1.33532481594319	-6.99858647527849	LV3003047146	ST8		424.5	63266.7	97.4	4.76723230434052	mgca_jonkers_2013	4.484661	58056720	65	17613674	68	7.94244093548725	63.2667	65624	21	202750	55316	162702	167601	10	4.81706931641401	5.30696300489755	4.74285861903715
LV3003047126	-0.95797359984648	-8.2161162703743	2.9434928831546	1.42000079664209	-3.84536716409619	LV3003047126	ST8		429.5	64210.824	52.91	4.67067279387671	mgca_jonkers_2013	4.38529888	39791476	69.2	8102851	73.6	7.97137649847746	64.210824	12054	6	98880	13603	65434	67432	10	4.08116721471347	4.99511284985928	4.13366662326068
LV3003061529	14.975766546996	18.7178448824322	6.05711226909322	-3.7725647838908	10.4116389862961	LV3003061529	ST13		156	66015	177.08	8.00905235853065	mgca_jonkers_2013	4.56805	91959511	75.1	42965230	98.8	8.02667098129265	66.015	311997	80	620910	370483	475544	484429	10	5.49415181007053	5.79302935383372	5.56876945695299
LV3003047138	-4.4285534751256	-4.92333083558735	3.86034640909054	4.28061370613813	-4.59603974604738	LV3003047138	ST8		439.2	66015.8	67.91	5.15646144484223	mgca_jonkers_2013	4.567946	43852530	62.5	11180916	66.1	8.02669549973556	66.0158	28742	11	142225	25614	108077	111113	10	4.45853209488555	5.15297899600251	4.40849436021236
LV3003047137	-4.35627392747586	-6.10406975575225	-3.31184909589669	-2.19018994492369	1.18856325268334	LV3003047137	ST8		444.2	66946.2	44.94	5.40686796595848	mgca_jonkers_2013	4.446994	57575945	58.1	8645599	61.2	8.05521044883768	66.9462	26457	8	123499	30194	80026	83029	10	4.42255701211936	5.09166695759569	4.47993503394434
LV3003047136	-6.14811650406279	-1.69711310656259	6.50432240812245	6.88743623238958	-5.87460249661373	LV3003047136	ST8		449.2	67876.6	70.92	5.65727448707473	mgca_jonkers_2013	4.422468	48960938	67.8	12594447	74.4	8.08372539793979	67.8766	43958	16	162268	29239	143911	147127	10	4.64304780432876	5.21023555978396	4.46597736828582
LV7008886229	-12.5656947430426	26.1808558711237	-9.50315348123712	11.8503721182635	12.2123762686894	LV7008886229	GeoB25202_R2		167.5	68149	132.24	8.09207392775	uk37_alkenone	4.42745	116981055	44.2	41819821	45.4	8.09207392775	68.149	369755	53	847527	481804	598317	627798	10	5.56791522998671	5.92815405501037	5.68287130263854
LV7008886778	-12.255384965816	29.0137978553045	-2.76003925319796	11.724048600848	13.9088517356592	LV7008886778	GeoB25202_R1		167.5	68149	72.83	8.09207392775	uk37_alkenone	4.42745	72287871	47.2	32290184	48	8.09207392775	68.149	326364	54	699990	381195	539769	552723	10	5.5137035780172	5.84509245619217	5.58114833481245
LV3003047134	-13.4620448745866	-3.37036371196263	7.74184970467505	6.48360470842665	0.134350866230801	LV3003047134	ST8		454.2	68807	41.22	5.90768100819097	mgca_jonkers_2013	4.46035	108020076	64.7	16261207	70.5	8.5256420642359	68.807	47253	18	155365	27954	145758	149391	10	4.67443857695958	5.19135598468401	4.44645949659469
LV3003047133	-3.08958373162688	-6.52315265855617	0.935949428214471	4.46818105065314	-3.15003349245888	LV3003047133	ST8		459.2	70162	57.68	5.78064895406092	mgca_jonkers_2013	4.3038	58661945	62.9	13264329	66	9.41847614468938	70.162	26549	9	163131	29899	112395	116083	10	4.42406452541749	5.21253916067407	4.47567118832443
LV3003061515	-17.0917385964371	26.1359088674338	20.0978976637432	0.595807176817347	12.5539970776116	LV3003061515	ST13		164.8	71001.2	490.61	7.99066956429404	mgca_jonkers_2013	4.219988	98734597	71.1	67640910	73.4	9.97144024824405	71.0012	673201	98	1003146	667159	917249	933998	10	5.82814539754097	6.00136457869439	5.82423000000973
LV3003047107	-2.00618089986491	-1.92063573713286	0.274724646952642	6.88297047777318	-5.48301297399898	LV3003047107	ST8		464.2	71517	80.3	5.65361689993088	mgca_jonkers_2013	4.21483	51573373	66.1	14724119	69.8	10.3113102251429	71.517	34710	13	171542	34628	120923	124479	10	4.54046712557651	5.23437300089176	4.53943995037844
