from	to	threshold	method	weight	edge_jaccard	spectral_similarity
GeoB25202_R1	GeoB25202_R2	10	pearson	0.522849427690995	0.275496688741722	0.770202166640267
GeoB25202_R1	ST13	10	pearson	0.191044685198801	0.0730703259005146	0.309019044497087
GeoB25202_R1	ST8	10	pearson	0.197576443749911	0.0892081523554962	0.305944735144326
GeoB25202_R2	ST13	10	pearson	0.183522326461127	0.0641095890410959	0.302935063881158
GeoB25202_R2	ST8	10	pearson	0.18472937780536	0.0692225772097977	0.300236178400922
ST13	ST8	10	pearson	0.460921824026461	0.153716216216216	0.768127431836706
