threshold	core	samples	taxa	age_min_kyr	age_max_kyr
10	ST8	115	173	1.5215	107.683
10	ST13	48	173	5.659	148.086
10	GeoB25202_R1	26	173	0.692	147.206
10	GeoB25202_R2	25	173	0.692	147.206
