threshold	PC	variance_explained
10	PC1	0.158724022269659
10	PC2	0.112084861581531
10	PC3	0.0669356701847116
10	PC4	0.0526268159829466
10	PC5	0.0439882852113856
10	PC6	0.032602962200326
10	PC7	0.0284371392790689
10	PC8	0.0244996471171403
10	PC9	0.0200656068365364
10	PC10	0.0184509450530898
