label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	sample	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7008886714	GeoB25202_R1		4.5	692	129.27	8.77194686709375	uk37_alkenone	3.23	360661611	64.2	217864971	64.8	8.77194686709375	0.692	1271414	42	2901461	2158512	1530230	1585377	10	LV7008886714	6.1042873308783	6.46261688705	6.3341546686102
LV7008886726	GeoB25202_R2		4.5	692	204.6	8.77194686709375	uk37_alkenone	3.23	210895995	63.5	141214842	64.2	8.77194686709375	0.692	806002	39	1928561	1420507	997567	1030146	10	LV7008886726	5.90633665828278	6.28523360525809	6.15244368392032
LV3003046953	ST8		10	1521.5	82.74			3.203925	268907517	82.4	244179416	82.6	7.82527505425364	1.5215	683506	77	1693973	1232832	868440	885853	10	LV3003046953	5.83474296666654	6.22890674026672	6.09090425089376
LV7008886690	GeoB25202_R1		20.5	2324	49.49	6.90941715213889	uk37_alkenone	3.21564	490228857	43.4	46279822	44.7	6.90941715213889	2.324	136720	14	423735	234081	230876	242581	10	LV7008886690	5.13583522622595	5.62709536260185	5.36936801941543
LV7008886702	GeoB25202_R2		20.5	2324	70.74	6.90941715213889	uk37_alkenone	3.21564	331982111	48.7	72925388	49.9	6.90941715213889	2.324	249532	28	680224	378041	411349	427415	10	LV7008886702	5.39712798791611	5.83265258931756	5.57754005209903
LV3003046939	ST8		15	2420	137.77			3.2262	174832149	79.3	145219212	79.8	6.89400787736814	2.42	528836	69	1080584	749413	701834	718927	10	LV3003046939	5.72332183288774	6.03365893464271	5.87472180200298
LV3003047045	ST8		20	3586.5	111.57			3.295865	151675055	80.4	128523596	81.5	6.70676913757569	3.5865	314193	63	642658	414760	448632	462597	10	LV3003047045	5.49719788728648	5.80798059391734	5.61779791290243
LV3003047028	ST8		25	4753	124.79			3.26988	3059207	78.3	2878411	79.3	6.51953039778323	4.753	1575	1	11220	2256	6581	6728	10	LV3003047028	3.19755621315354	4.0500315623684	3.35353155907776
LV7001898100	ST13		5	5659	187.66			3.30613	172884713	66.3	153315655	67.1	6.37410536713431	5.659	1335278	62	2711818	2147070	1540744	1587540	10	LV7001898100	6.12557201888473	6.43326069923467	6.33184640605636
LV3003047013	ST8		30	5885	131.96	6.21497035449252	mgca_jonkers_2013	3.32195	106947849	79.8	86684502	81.7	6.33782936611152	5.885	191691	36	388085	220026	306338	312682	10	LV3003047013	5.28260398857784	5.58892797607572	5.34247597732913
LV7001898088	ST13		10	6031	202.91			3.33124	117014401	60.1	89334062	61.3	6.31439442739767	6.031	1071475	88	2021336	1501541	1329016	1368771	10	LV7001898088	6.02998244772101	6.30563872570694	6.1765374844625
LV7001898076	ST13		15	6429	184.76			3.34716	115346098	55.3	78619492	56	6.25051014241062	6.429	736908	108	1404593	971175	1013861	1038342	10	LV7001898076	5.86741386067053	6.14755080890979	5.98729794144499
LV7001898064	ST13		20	6808	117.6			3.36232	104626976	54	53467555	54.8	6.18967560972194	6.808	180903	40	526014	281419	316824	328372	10	LV7001898064	5.25744816972727	5.72099812880078	5.4493549587028
LV3003046995	ST8		35	6970.5	117	5.81821372224369	mgca_jonkers_2013	3.36882	178414482	82.8	152189789	85.2	6.16359220190688	6.9705	339851	51	349746	197557	535557	546765	10	LV3003046995	5.53128983005174	5.54375399796291	5.29569462088412
