name	core	method	threshold	leiden_module
ST8	ST8	spearman	5	S1
ST13	ST13	spearman	5	S1
GeoB25202_R1	GeoB25202_R1	spearman	5	S1
GeoB25202_R2	GeoB25202_R2	spearman	5	S1
