label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	sample	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV3003047097	ST8		239.5	32835	93.56	4.62794382549722	mgca_jonkers_2013	4.5833	84081411	56.6	17377814	59.5	8.6823690045283	32.835	33146	13	216090	40831	141594	148149	5	LV3003047097	4.52044422829424	5.33463667927689	4.61100065270505
LV3003047084	ST8		244.5	33276	4.13	6.53096294335688	mgca_jonkers_2013	4.58276	390411795	56.1	31074859	58.4	8.75228855131429	33.276	74976	26	345309	78911	252514	261439	5	LV3003047084	4.87492805932492	5.5382091554764	4.89714305057962
LV3003047069	ST8		249.5	33743.6870748299	233.37	6.20212176047846	mgca_jonkers_2013	4.5874368707483	66820935	59	22512581	61.8	8.82643927310517	33.7436870748299	28052	11	184438	29568	120250	123928	5	LV3003047069	4.44797931171617	5.26585275887561	4.47083663728143
LV3003047167	ST8		259.5	34678.12	171.35	5.57495241758692	mgca_jonkers_2013	4.556094	55257624	57.2	14241098	59.7	8.97459148768522	34.67812	13495	6	132695	17503	81144	84876	5	LV3003047167	4.13020506958107	5.12285783165034	4.24313730465334
LV3003061488	ST13		91	35041	245.05	6.0156392079896	mgca_jonkers_2013	4.53631	127243231	79.7	66338584	85.6	9.03212528618341	35.041	262336	73	627130	337264	439667	449691	5	LV3003061488	5.41885954778669	5.79735826911562	5.52797127419972
LV3003047154	ST8		264.5	35130.12	109.23	5.75466161579687	mgca_jonkers_2013	4.5282892	24559061	57.6	12574749	58.9	9.04625505944773	35.13012	21545	9	154428	24604	92250	95207	5	LV3003047154	4.33336665550972	5.18872885919496	4.3910233693701
LV3003047142	ST8		269.5	35582.3	78.67	5.88471892901571	mgca_jonkers_2013	4.487593	67334598	64.9	15239544	67.1	9.11794716980078	35.5823	12626	6	120956	12838	78038	80858	5	LV3003047142	4.10130018046768	5.08263100683105	4.10853119885787
LV3003047129	ST8		274.5	36037.3	75.83	5.23689671070721	mgca_jonkers_2013	4.450373	33964594	62.9	16307844	64.1	9.19008638473871	36.0373	45676	16	218468	56495	141512	146841	5	LV3003047129	4.65969757233432	5.33938982078434	4.75201770021902
LV3003047113	ST8		279.5	36489.27	109.94	4.62053611323564	mgca_jonkers_2013	4.4548927	73296885	60.2	24562830	62.8	9.26174520006947	36.48927	101046	22	366708	120137	246133	254352	5	LV3003047113	5.00452342420673	5.56432156881627	5.07968039774457
LV7008886226	GeoB25202_R2		105.5	36607	46.28	9.28041102375	uk37_alkenone	4.45607	193464268	41.2	26190630	42.8	9.28041102375	36.607	123720	16	476040	186050	281888	305475	5	LV7008886226	5.0924434216183	5.67764435882752	5.26963200864035
LV7008886776	GeoB25202_R1		105.5	36607	70.05	9.28041102375	uk37_alkenone	4.45607	152962664	56	41404251	58.3	9.28041102375	36.607	189720	50	543620	219598	398583	409643	5	LV7008886776	5.27811540510769	5.73529622511705	5.34163035811198
LV3003047096	ST8		284.5	36893.77	135.25	4.49707424220948	mgca_jonkers_2013	4.4589377	56084885	55.6	20029588	57.5	9.23725876185055	36.89377	125784	23	424047	181883	262244	271533	5	LV3003047096	5.09962885410099	5.62741501922304	5.25979449665923
LV3003061476	ST13		96	37160	137.29	5.79476873023177	mgca_jonkers_2013	4.452	84098583	70.2	34228366	72.2	9.19719729556924	37.16	124822	36	363100	136493	277979	283866	5	LV3003061476	5.09629461621786	5.56002744498528	5.13511356108987
LV3003047083	ST8		289.5	37303.19	129.5	4.36334977083705	mgca_jonkers_2013	4.4448405	66017005	60.6	17923283	63	9.1756505076159	37.30319	33584	12	188794	37524	122565	127031	5	LV3003047083	4.52614535263471	5.2759904883669	4.57432070091531
LV3003047068	ST8		294.5	37789.69	99.85	4.0688445607065	mgca_jonkers_2013	4.4205155	45243801	64.9	16258007	69	9.10244349358346	37.78969	46444	15	220511	58717	141882	146101	5	LV3003047068	4.66693896721471	5.3434322282346	4.76877125460971
LV3003047166	ST8		299.5	38273.43	109.28	3.82073071156393	mgca_jonkers_2013	4.4482802	47667591	67.1	14626855	69.9	9.0296517958074	38.27343	54130	16	252838	66794	172338	179423	5	LV3003047166	4.73344605019231	5.40284406398708	4.8247439541869
LV3003047153	ST8		304.5	38713.93	119.12	4.29941485123281	mgca_jonkers_2013	4.5099502	61725484	65.2	21806731	67.7	8.96336671938132	38.71393	71805	19	284251	87216	192068	199220	5	LV3003047153	4.85616073474399	5.45370352907097	4.94060114418271
LV3003047141	ST8		309.5	39153.47	61.93	4.70233543022987	mgca_jonkers_2013	4.55	956051	61.3	849760	61.8	8.89722610078355	39.15347	0	0	6700	0	3529	3727	5	LV3003047141	0	3.82613961793592	0
LV3003047128	ST8		314.5	39577.97	73.06	3.9182935587019	mgca_jonkers_2013	4.55	61094930	57.4	16749573	59.4	8.83334865482924	39.57797	53506	18	265947	69461	164890	171410	5	LV3003047128	4.72841060188119	5.42479672865837	4.8417472836747
LV3003047112	ST8		319.5	40033.5	82.07	3.21978661089373	mgca_jonkers_2013	4.54866	36464277	69.6	15715775	72.5	8.76480191052874	40.0335	47715	19	223633	59066	148881	153188	5	LV3003047112	4.67866402991157	5.34953783181662	4.77134491369625
LV3003061571	ST13		101	40457	159.84	6.07677656849543	mgca_jonkers_2013	4.53172	90191213	63	44685952	68.8	8.70107494147892	40.457	161423	22	491667	254181	288906	298149	5	LV3003061571	5.20796810469022	5.69167194334067	5.40514479256944
LV3003047095	ST8		324.5	40975.1666666667	76.96	3.86132680136238	mgca_jonkers_2013	4.51099333333333	55822169	58.7	15927657	60.6	8.62310282547109	40.9751666666667	56180	10	250388	83257	151781	155814	5	LV3003047095	4.74958946520762	5.39861524568761	4.92042597417752
LV3003047082	ST8		329.5	41916.8333333333	61.65	4.50286699183103	mgca_jonkers_2013	4.50083166666667	37053519	59.3	19269518	60.4	8.48140374041344	41.9168333333333	22729	8	151525	31224	89095	92715	5	LV3003047082	4.35659943572497	5.18048715882987	4.49450244704617
LV3003061558	ST13		106	42626	207.2	6.3587844067591	mgca_jonkers_2013	4.47496	75419217	85.6	38072076	102.9	8.37469053564879	42.626	171974	54	412186	200175	302904	310103	5	LV3003061558	5.23546531812164	5.61509429040948	5.30141200674782
LV3003047067	ST8		334.5	42866.02	178.82	5.07611814185932	mgca_jonkers_2013	4.4653592	83694347	60.2	30143452	61.8	8.33857306903406	42.86602	41084	14	244932	57313	149474	153318	5	LV3003047067	4.61368329130964	5.38904730187603	4.75826071935125
LV7008886740	GeoB25202_R1		119.5	43105	37.22	8.3026120984	uk37_alkenone	4.4621	126565168	46	28164282	47.8	8.3026120984	43.105	52156	12	277331	65279	180507	186258	5	LV7008886740	4.71731260341184	5.4429999836118	4.81478014574581
LV7008886752	GeoB25202_R2		119.5	43105	26.14	8.3026120984	uk37_alkenone	4.4621	223261934	57.3	26874573	61.2	8.3026120984	43.105	93431	18	325290	115263	217966	229838	5	LV7008886752	4.97049564542977	5.51227204759047	5.06169368680342
LV3003047164	ST8		339.5	43933.02	61.8	4.579507658322	mgca_jonkers_2013	4.4786604	45835273	73.5	20978998	75.5	8.37946113303367	43.93302	24631	13	134603	26717	86065	89678	5	LV3003047164	4.39149967589514	5.12905796592151	4.42680394551487
LV3003047152	ST8		344.5	45000.02	114.81	4.08289717478468	mgca_jonkers_2013	4.3300006	86684643	67.2	27393512	69.9	8.47849004532337	45.00002	38530	16	191089	38310	132438	136848	5	LV3003047152	4.58581028045983	5.28123796042784	4.58332348815676
LV3003061544	ST13		111	45122	154.76	6.64079224502277	mgca_jonkers_2013	4.33366	98492472	76.2	36658491	81.2	8.48981108255027	45.122	71230	30	255510	78183	189196	194401	5	LV3003061544	4.85266904137438	5.40740960167804	4.89311788576224
LV3003047140	ST8		349.5	46094.8	83.7	3.6236552712401	mgca_jonkers_2013	4.361896	2441785	64.6	2055101	65.5	8.58009723613548	46.0948	1235	1	25106	106	16261	16740	5	LV3003047140	3.0920184707528	4.39979482257822	2.02938377768521
LV3003061530	ST13		116	47046	117.63	6.92280008328644	mgca_jonkers_2013	4.38322	92176900	82.1	44841877	91.8	8.66837868071839	47.046	176499	19	535859	292465	300006	309041	5	LV3003061530	5.24674470972384	5.72905133975003	5.46607538539035
LV3003047127	ST8		354.5	47624.8	56.2	3.74985445424827	mgca_jonkers_2013	4.423736	50491529	60.3	11382703	63	8.72209745713196	47.6248	5817	2	74000	7454	43170	44963	5	LV3003047127	3.76477371691104	4.86923758853567	3.87244764778901
LV3003061516	ST13		121	48537	61.03	7.2048079215501	mgca_jonkers_2013	4.45537	54250107	75.6	26855001	76.7	8.80675928823849	48.537	107354	27	336671	148188	217913	223905	5	LV3003061516	5.03082227626962	5.52720699892107	5.17081596736394
LV3003047110	ST8		359.5	49154.8	66.07	3.87605363725645	mgca_jonkers_2013	4.441424	47425083	62.5	15940375	65.4	8.86409767812845	49.1548	18402	8	131201	22844	82739	86720	5	LV3003047110	4.26488862612062	5.11794045533189	4.35879116239172
LV3003061504	ST13		126	50268	187.42	7.48681575981377	mgca_jonkers_2013	4.33732	96239561	74.4	42611651	77.1	8.96741444022863	50.268	92263	27	295004	114874	198820	203998	5	LV3003061504	4.96503227902003	5.46982937683921	5.06022552439417
LV7008886221	GeoB25202_R1		129.5	50355.5	94.36	8.9755353679	uk37_alkenone	4.336445	97977738	44.9	30262882	47	8.9755353679	50.3555	92806	13	346047	142734	204082	215243	5	LV7008886221	4.96758073426543	5.53913634355951	5.15453047937311
LV7008886728	GeoB25202_R2		129.5	50355.5	42.73	8.9755353679	uk37_alkenone	4.336445	152247351	58.3	27749284	61.8	8.9755353679	50.3555	85770	14	302660	112652	197198	203577	5	LV7008886728	4.93334047352583	5.48095646266122	5.05174276167101
LV3003047094	ST8		364.5	50684.8	129.24	4.00225282026463	mgca_jonkers_2013	4.333152	80270443	61.2	21674703	64.2	8.71916462667657	50.6848	71371	18	246080	84734	174703	179985	5	LV3003047094	4.85352786681149	5.39107808296854	4.92806283379201
LV3003061486	ST13		131	52105	128.79	7.76882359807744	mgca_jonkers_2013	4.32365	27685092	68.7	20117935	70.3	7.61349281773178	52.105	43529	12	159627	63216	100934	110746	5	LV3003061486	4.6387886671574	5.20310907234635	4.80083388229192
LV3003047081	ST8		369.5	52207.18	90.06	4.12845200327281	mgca_jonkers_2013	4.3369334	57423869	57.2	15919889	58.8	7.53394237030326	52.20718	39995	12	182730	28387	148386	153382	5	LV3003047081	4.60201655970816	5.26181223091508	4.45313479655685
LV3003047065	ST8		374.5	53610.18	140.39	4.25465118628098	mgca_jonkers_2013	4.4033892	57784676	58.3	11483201	61.5	6.44166131978254	53.61018	17750	8	101297	19757	75630	78376	5	LV3003047065	4.24922282399667	5.00560087085349	4.29574298109555
LV3003061475	ST13		136	53844	108.69	8.05083143634111	mgca_jonkers_2013	4.38936	112973110	69.7	29608396	73.6	6.25962485846197	53.844	60205	19	242173	68116	169469	174304	5	LV3003061475	4.77963977426521	5.38412751509668	4.83325551257101
LV7008886692	GeoB25202_R1		139.5	53875	51.47	6.235490352	uk37_alkenone	4.3875	102859565	52.6	21513038	56	6.235490352	53.875	74232	9	231207	93959	156118	160935	5	LV7008886692	4.87059701217761	5.36400285697923	4.97294300810557
LV7008886704	GeoB25202_R2		139.5	53875	23.87	6.235490352	uk37_alkenone	4.3875	186672027	56.9	18918645	61.2	6.235490352	53.875	75366	11	258931	90333	181839	186539	5	LV7008886704	4.87718122842854	5.41318572584867	4.95585124126824
LV3003047161	ST8		379.5	54983.46	31.63	4.38085036928916	mgca_jonkers_2013	4.3111578	1104778	59.1	793502	62	6.47543092855096	54.98346	0	0	5914	0	3831	3936	5	LV3003047161	0	3.77195474896395	0
LV3003061570	ST13		141	55466	127.35	8.04038666688849	mgca_jonkers_2013	4.32864	79639505	71.1	31089341	73.9	6.57988298438419	55.466	113841	32	336384	106590	269883	276605	5	LV3003061570	5.05630251691929	5.52683662160129	5.02772053662915
LV3003047160	ST8		384.5	55891.1266666667	36.23	4.50704955229734	mgca_jonkers_2013	4.34564506666667	1905989	56.6	991574	66.2	6.67190717786631	55.8911266666667	0	0	4506	0	2747	2898	5	LV3003047160	0	3.65388755807098	0
LV3003047159	ST8		389.5	56798.7933333333	81.65	4.63324873530552	mgca_jonkers_2013	4.41390346666667	39132173	80.8	14300268	84.8	6.86838342718166	56.7987933333333	18321	10	117424	17948	80961	83430	5	LV3003047159	4.26297287880537	5.06976056885529	4.25404025756171
LV3003047158	ST8		394.5	57706.46	70.06	4.75944791831369	mgca_jonkers_2013	4.4723876	44291383	79.6	12643578	86.6	7.06485967649701	57.70646	21430	10	127836	23670	83173	85433	5	LV3003047158	4.33104243629378	5.10665657033402	4.37421660542837
LV3003061557	ST13		146	58082	188.06	8.02994189743588	mgca_jonkers_2013	4.48508	59537389	82.9	38572967	90.5	7.14615019137165	58.082	136907	36	327625	123770	283408	289506	5	LV3003061557	5.13642882617887	5.51537835953671	5.09261889981065
LV7008886765	GeoB25202_R1		149.5	58181	42.2	7.16758002833333	uk37_alkenone	4.47914	133978185	51.4	29219035	54.5	7.16758002833333	58.181	88543	12	336604	117426	217647	230039	5	LV7008886765	4.94715913746086	5.5271205627874	5.06976796576026
LV3003047139	ST8		399.5	58614.1266666667	44.97	4.88564710132187	mgca_jonkers_2013	4.4531524	15155861	77.9	8529497	83.7	8.62798528680874	58.6141266666667	30262	13	132462	31030	89253	91268	5	LV3003047139	4.48091197784664	5.12209458665147	4.49179577131359
LV7008886741	GeoB25202_R1		155.5	58997	11.14	9.918947659625	uk37_alkenone	4.43018	84181826	45.8	4319623	50.5	9.918947659625	58.997	0	0	27693	0	18143	19010	5	LV7008886741	0	4.44238568786787	0
LV7008886753	GeoB25202_R2		155.5	58997	24.03	9.918947659625	uk37_alkenone	4.43018	129194349	43.9	9629685	47.9	9.918947659625	58.997	13369	4	121956	17764	74816	77034	5	LV7008886753	4.12613140726198	5.08620673268686	4.24956521182535
LV3003047150	ST8		404.5	59521.7933333333	73.51	5.01184628433005	mgca_jonkers_2013	4.51870486666667	67120474	74.5	15427841	80.5	8.44254713374637	59.5217933333333	69720	28	244128	80126	169149	173293	5	LV3003047150	4.84336360751666	5.38761937217383	4.90377888281547
