from	to	threshold	method	weight	edge_jaccard	spectral_similarity
GeoB25202_R1	GeoB25202_R2	5	mi_aracne	0.777692802689847	0.677388646725788	0.877996958653906
GeoB25202_R1	ST13	5	mi_aracne	0.228542075057542	0.0408363091809699	0.416247840934113
GeoB25202_R1	ST8	5	mi_aracne	0.214582128246118	0.0323065364387678	0.396857720053469
GeoB25202_R2	ST13	5	mi_aracne	0.229249656979712	0.0418549346016647	0.41664437935776
GeoB25202_R2	ST8	5	mi_aracne	0.215684675712356	0.033546230525876	0.397823120898837
ST13	ST8	5	mi_aracne	0.451500955906349	0.0731570061902082	0.82984490562249
