threshold	core	samples	taxa	age_min_kyr	age_max_kyr
5	ST8	115	274	1.5215	107.683
5	ST13	48	274	5.659	148.086
5	GeoB25202_R1	26	274	0.692	147.206
5	GeoB25202_R2	25	274	0.692	147.206
