threshold	PC	variance_explained
5	PC1	0.161173298726376
5	PC2	0.124174878770644
5	PC3	0.0591038197835874
5	PC4	0.0494308912837564
5	PC5	0.04025712995389
5	PC6	0.0334503430914007
5	PC7	0.0271901745915259
5	PC8	0.022923173257487
5	PC9	0.0184980243327908
5	PC10	0.0173366677722699
