from	to	threshold	method	weight	edge_jaccard	spectral_similarity
GeoB25202_R1	GeoB25202_R2	5	bicor	0.812499953712046	0.910704944767531	0.71429496265656
GeoB25202_R1	ST13	5	bicor	0.588279121388255	0.62093023255814	0.555628010218371
GeoB25202_R1	ST8	5	bicor	0.91666840198924	0.919029419607146	0.914307384371333
GeoB25202_R2	ST13	5	bicor	0.601298476778819	0.628969254032258	0.573627699525379
GeoB25202_R2	ST8	5	bicor	0.791969544747897	0.873259792354885	0.71067929714091
ST13	ST8	5	bicor	0.59439847951332	0.616832154111422	0.571964804915217
