site_from	site_to	threshold	method	weight	edge_jaccard	spectral_similarity	edge_type
GeoB25202_R1	GeoB25202_R2	10	mi_aracne	0.707835347944046	0.52	0.895670695888093	site_similarity
GeoB25202_R1	ST13	10	mi_aracne	0.221728867843997	0.0355184743742551	0.407939261313739	site_similarity
GeoB25202_R1	ST8	10	mi_aracne	0.213694121826481	0.0287838810266251	0.398604362626338	site_similarity
GeoB25202_R2	ST13	10	mi_aracne	0.215113357561524	0.0324561403508772	0.39777057477217	site_similarity
GeoB25202_R2	ST8	10	mi_aracne	0.209624662623448	0.0303365810451727	0.388912744201723	site_similarity
ST13	ST8	10	mi_aracne	0.4674634561895	0.0453752181500873	0.889551694228912	site_similarity
