threshold	method	source_core	relation	edge_type	taxon_from	taxon_to	signed_weight	weight	abs_weight
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300027687_20	S__GCA_905182885.1	0.35828712863384	0.35828712863384	0.35828712863384
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_002499015.1	S__GCA_905182885.1	0.343061359861232	0.343061359861232	0.343061359861232
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_108_MAG_00021	S__GCA_905182885.1	0.40689510316423	0.40689510316423	0.40689510316423
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300020166_000015	S__GCA_905182885.1	0.315523869371443	0.315523869371443	0.315523869371443
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182435.1	S__TARA_ARC_NCLDV_00127	1.31121064371203	1.31121064371203	1.31121064371203
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905480095.1	S__TARA_ARC_NCLDV_00127	4.05543293761926	4.05543293761926	4.05543293761926
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_003672175.1	S__IMGVR_UViG_3300025869_000017	0.400682633908076	0.400682633908076	0.400682633908076
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905480095.1	S__TARA_ARC_108_MAG_00181	1.27247438218312	1.27247438218312	1.27247438218312
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_013215285.1	S__IMGVR_UViG_3300046168_000044	0.07836195293055	0.07836195293055	0.07836195293055
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016777225.1	S__IMGVR_UViG_3300046168_000044	0.714650629270627	0.714650629270627	0.714650629270627
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300006467_000165	S__IMGVR_UViG_3300046168_000044	0.567075411314771	0.567075411314771	0.567075411314771
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300025079_000001	S__IMGVR_UViG_3300046168_000044	1.08139085306926	1.08139085306926	1.08139085306926
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_108_MAG_00181	S__GCF_003326015.1	1.26423270764401	1.26423270764401	1.26423270764401
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182465.1	S__GCA_016777365.1	0.742919312024333	0.742919312024333	0.742919312024333
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300024058_12	S__IMGVR_UViG_3300038315_000065	0.293425881124796	0.293425881124796	0.293425881124796
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182865.1	S__IMGVR_UViG_3300038315_000065	0.215759917061363	0.215759917061363	0.215759917061363
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300020166_000015	S__IMGVR_UViG_3300038315_000065	0.309276067203429	0.309276067203429	0.309276067203429
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_003331785.1	S__GCA_905480315.1	0.888496012521613	0.888496012521613	0.888496012521613
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_108_MAG_00181	S__GCA_905480315.1	1.31257470493954	1.31257470493954	1.31257470493954
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016777365.1	S__GCA_905480315.1	5.18104525142857	5.18104525142857	5.18104525142857
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_NCLDV_00127	S__GCA_905181585.1	1.28273277878944	1.28273277878944	1.28273277878944
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_017854145.1	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	0.194941606311066	0.194941606311066	0.194941606311066
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300025869_000017	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	0.280886119093659	0.280886119093659	0.280886119093659
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016276965.1	S__IMGVR_UViG_3300035195_000275	0.0907432776010708	0.0907432776010708	0.0907432776010708
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300025079_000001	S__IMGVR_UViG_3300035195_000275	0.644374474149738	0.644374474149738	0.644374474149738
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	0.292357836734845	0.292357836734845	0.292357836734845
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_108_MAG_00181	S__GCA_009937205.1	0.726879220627222	0.726879220627222	0.726879220627222
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__TARA_ARC_108_MAG_00181	S__GCA_905182765.1	1.27412045477461	1.27412045477461	1.27412045477461
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905181585.1	S__3300020317_19	1.26423270764401	1.26423270764401	1.26423270764401
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182765.1	S__3300020317_19	4.72290581218382	4.72290581218382	4.72290581218382
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300026253_28	S__3300006311_3	0.440545976721846	0.440545976721846	0.440545976721846
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300024431_33	S__3300006311_3	0.332998733694047	0.332998733694047	0.332998733694047
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300020317_19	S__IMGVR_UViG_GVMAG-S-ERX556030-34_000001	4.28518527271682	4.28518527271682	4.28518527271682
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_003672175.1	S__3300027752_17	0.380642512880427	0.380642512880427	0.380642512880427
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016838795.1	S__GCA_016838825.1	0.330094404591093	0.330094404591093	0.330094404591093
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182765.1	S__GCA_000402075.1	0.249005265761371	0.249005265761371	0.249005265761371
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300027833_000046	S__IMGVR_UViG_3300037585_000783	0.46037604894141	0.46037604894141	0.46037604894141
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300035195_000275	S__IMGVR_UViG_3300037585_000783	0.616664834836506	0.616664834836506	0.616664834836506
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_001543015.1	S__GCA_001542995.1	0.0556942507665955	0.0556942507665955	0.0556942507665955
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300038315_000065	S__IMGVR_UViG_3300028535_000001	0.721554275611042	0.721554275611042	0.721554275611042
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300026253_28	S__3300024058_22	0.284625236087904	0.284625236087904	0.284625236087904
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_003672175.1	S__3300024058_22	0.329828755561775	0.329828755561775	0.329828755561775
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_016838825.1	S__3300024058_22	0.51697776078142	0.51697776078142	0.51697776078142
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300038315_000065	S__IMGVR_UViG_3300024520_000070	0.68841630588669	0.68841630588669	0.68841630588669
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300006311_3	S__IMGVR_UViG_3300024520_000070	0.425097238665903	0.425097238665903	0.425097238665903
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_012960805.1	S__GCA_012964845.1	0.319428929520276	0.319428929520276	0.319428929520276
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300027752_17	S__GCA_012964845.1	0.553156956056929	0.553156956056929	0.553156956056929
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905480315.1	S__3300027997_10	0.742244153837123	0.742244153837123	0.742244153837123
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_014384505.1	S__GCA_905181765.1	0.428612546077598	0.428612546077598	0.428612546077598
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300028535_000001	S__GCA_905181765.1	0.533909202441197	0.533909202441197	0.533909202441197
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300027791_27	S__GCA_905181765.1	0.749791356166212	0.749791356166212	0.749791356166212
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300026264_34	S__GCA_017368835.1	0.0205303725964336	0.0205303725964336	0.0205303725964336
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300037585_000783	S__GCA_017368835.1	0.58623434506561	0.58623434506561	0.58623434506561
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_017368835.1	S__GCA_015659035.1	0.728777830962067	0.728777830962067	0.728777830962067
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182235.1	S__TARA_ARC_108_MAG_00099	0.392271072681409	0.392271072681409	0.392271072681409
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182885.1	S__TARA_ARC_108_MAG_00099	0.386169991383938	0.386169991383938	0.386169991383938
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300027791_27	S__TARA_ARC_108_MAG_00099	0.614978491269244	0.614978491269244	0.614978491269244
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300035195_000275	S__GCA_905182775.1	0.504081464166521	0.504081464166521	0.504081464166521
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300020317_19	S__GCA_905182065.1	0.937784034914112	0.937784034914112	0.937784034914112
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCF_014279835.1	S__GCA_905182065.1	0.794035635378913	0.794035635378913	0.794035635378913
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__3300027997_10	S__GCA_905182065.1	0.744981935678638	0.744981935678638	0.744981935678638
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_905182775.1	S__GCA_905182065.1	0.61361620511556	0.61361620511556	0.61361620511556
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCF_012276695.1	S__IMGVR_UViG_3300025071_000006	0.0383482439346239	0.0383482439346239	0.0383482439346239
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__GCA_009937205.1	S__3300026080_15	0.595066539169531	0.595066539169531	0.595066539169531
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300031519_000018	S__3300026080_15	0.3888783335716	0.3888783335716	0.3888783335716
10	mi_aracne	ST8	positive	taxon_taxon__ST8__positive	S__IMGVR_UViG_3300025637_000035	S__IMGVR_UViG_3300027833_000016	0.368733436607692	0.368733436607692	0.368733436607692
