site_from	site_to	threshold	method	weight	edge_jaccard	spectral_similarity	edge_type
GeoB25202_R1	GeoB25202_R2	3	spearman	0.866335610729302	0.887633713632702	0.845037507825902	site_similarity
GeoB25202_R1	ST13	3	spearman	0.449765790500892	0.458643283869724	0.440888297132059	site_similarity
GeoB25202_R1	ST8	3	spearman	0.706601051586469	0.73646931603136	0.676732787141579	site_similarity
GeoB25202_R2	ST13	3	spearman	0.444582820138564	0.456154796212433	0.433010844064694	site_similarity
GeoB25202_R2	ST8	3	spearman	0.695161296383958	0.699382439810257	0.69094015295766	site_similarity
ST13	ST8	3	spearman	0.489425680156672	0.489976540840265	0.488874819473079	site_similarity
