threshold	method	taxon	consensus_module	mean_assignment_entropy	sites_present
prev_3	spearman	S__3300000179_4	M19	1.4722193	2
prev_3	spearman	S__3300001683_28	M19	0.0	4
prev_3	spearman	S__3300002239_5	M19	1.4722193	2
prev_3	spearman	S__3300005253_25	M19	0.7361097	3
prev_3	spearman	S__3300006311_3	M19	0.0	4
prev_3	spearman	S__3300020187_18	M19	0.7354921	4
prev_3	spearman	S__3300020263_16	M19	0.0	4
prev_3	spearman	S__3300020300_16	M19	0.0	4
prev_3	spearman	S__3300020303_2	M19	1.4722193	2
prev_3	spearman	S__3300020317_19	M19	1.4722193	2
prev_3	spearman	S__3300020330_9	M19	0.0	4
prev_3	spearman	S__3300020364_17	M19	0.7361097	3
prev_3	spearman	S__3300020389_47	M19	1.4722193	2
prev_3	spearman	S__3300020444_12	M19	1.4722193	2
prev_3	spearman	S__3300024058_12	M19	0.0	4
prev_3	spearman	S__3300024058_15	M19	0.0	4
prev_3	spearman	S__3300024058_22	M19	0.0	4
prev_3	spearman	S__3300024060_20	M19	0.0	4
prev_3	spearman	S__3300024060_27	M19	0.0	4
prev_3	spearman	S__3300024313_13	M19	2.208329	1
prev_3	spearman	S__3300024353_106	M19	0.7361097	3
prev_3	spearman	S__3300024353_29	M19	1.4722193	2
prev_3	spearman	S__3300024353_52	M19	1.4722193	2
prev_3	spearman	S__3300024429_35	M19	2.208329	1
prev_3	spearman	S__3300024431_33	M19	0.7354921	4
prev_3	spearman	S__3300024431_52	M19	1.4722193	2
prev_3	spearman	S__3300024516_13	M19	0.0	4
prev_3	spearman	S__3300024516_18	M19	0.0	4
prev_3	spearman	S__3300024516_24	M19	1.4722193	2
prev_3	spearman	S__3300024516_26	M19	0.0	4
prev_3	spearman	S__3300024516_38	M19	1.4709842	4
prev_3	spearman	S__3300025232_4	M19	0.7361097	3
prev_3	spearman	S__3300025243_6	M19	0.0	4
prev_3	spearman	S__3300025276_12	M19	0.7361097	3
prev_3	spearman	S__3300025690_38	M19	0.7361097	3
prev_3	spearman	S__3300025894_53	M19	0.7361097	3
prev_3	spearman	S__3300026080_15	M19	0.7361097	3
prev_3	spearman	S__3300026087_14	M19	0.0	4
prev_3	spearman	S__3300026108_2	M19	0.0	4
prev_3	spearman	S__3300026119_12	M19	0.0	4
prev_3	spearman	S__3300026119_8	M19	0.7361097	3
prev_3	spearman	S__3300026253_28	M19	0.7354921	4
prev_3	spearman	S__3300026253_8	M19	0.7361097	3
prev_3	spearman	S__3300026264_29	M19	0.7361097	3
prev_3	spearman	S__3300026264_34	M19	1.4709842	4
prev_3	spearman	S__3300027668_18	M19	0.0	4
prev_3	spearman	S__3300027685_18	M19	1.4722193	2
prev_3	spearman	S__3300027685_31	M19	2.208329	1
prev_3	spearman	S__3300027685_58	M19	0.7361097	3
prev_3	spearman	S__3300027687_10	M19	1.4722193	2
prev_3	spearman	S__3300027687_20	M19	0.0	4
prev_3	spearman	S__3300027752_17	M19	0.0	4
prev_3	spearman	S__3300027771_26	M19	0.0	4
prev_3	spearman	S__3300027779_22	M19	0.0	4
prev_3	spearman	S__3300027779_26	M19	0.7361097	3
prev_3	spearman	S__3300027779_27	M19	0.7361097	3
prev_3	spearman	S__3300027791_27	M19	0.0	4
prev_3	spearman	S__3300027801_13	M19	1.4722193	2
prev_3	spearman	S__3300027801_51	M19	1.4722193	2
prev_3	spearman	S__3300027801_7	M19	1.4722193	2
prev_3	spearman	S__3300027827_16	M19	0.0	4
