taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette
S__3300000179_4	prev_3	spearman	M1	3.136757	-2.3853183	-2.1285763	0.6592616	0.0	2	0.4913685917854309
S__3300001683_28	prev_3	spearman	M1	3.027875	-2.117138	-1.5373936	1.2406542	0.0	2	0.4913685917854309
S__3300002239_5	prev_3	spearman	M1	3.199678	-2.5893853	-2.1566877	0.22220087	0.0	2	0.4913685917854309
S__3300005253_25	prev_3	spearman	M1	2.8593664	-2.2644577	-1.1371937	1.1118954	0.0	2	0.4913685917854309
S__3300006311_3	prev_3	spearman	M2	2.4674606	-1.3885628	1.055007	1.5106591	0.0	2	0.4913685917854309
S__3300020187_18	prev_3	spearman	M1	2.9078808	-1.9744965	-1.426734	1.651555	0.0	2	0.4913685917854309
S__3300020263_16	prev_3	spearman	M2	1.3149222	-0.53076196	7.1116214	2.2135112	0.0	2	0.4913685917854309
S__3300020300_16	prev_3	spearman	M1	2.7086773	-2.1283092	-1.249177	1.1626318	0.0	2	0.4913685917854309
S__3300020303_2	prev_3	spearman	M1	3.2686381	-2.4748425	-2.3765392	0.39147103	0.0	2	0.4913685917854309
S__3300020317_19	prev_3	spearman	M1	2.9070363	-2.4080002	-0.86475563	-0.7353704	0.0	2	0.4913685917854309
S__3300020330_9	prev_3	spearman	M1	3.07794	-2.2848482	-1.8807983	0.82178926	0.0	2	0.4913685917854309
S__3300020364_17	prev_3	spearman	M1	3.0934973	-2.4952211	-1.9034967	0.46268916	0.0	2	0.4913685917854309
S__3300020389_47	prev_3	spearman	M1	3.3371348	-2.7507854	-2.6181555	-0.48129225	0.0	2	0.4913685917854309
S__3300020444_12	prev_3	spearman	M1	3.3387032	-2.6392055	-2.610423	0.037926435	0.0	2	0.4913685917854309
S__3300024058_12	prev_3	spearman	M2	2.4512923	-2.568712	0.66201687	0.41577172	0.0	2	0.4913685917854309
S__3300024058_15	prev_3	spearman	M1	3.1304016	-2.4564962	-1.9201317	0.44689095	0.0	2	0.4913685917854309
S__3300024058_22	prev_3	spearman	M1	2.547875	-1.5202835	0.35230637	1.2416371	0.0	2	0.4913685917854309
S__3300024060_20	prev_3	spearman	M1	3.1627498	-2.4636333	-2.026803	0.40802085	0.0	2	0.4913685917854309
S__3300024060_27	prev_3	spearman	M1	2.9341102	-2.2775993	-1.5739021	0.95868933	0.0	2	0.4913685917854309
S__3300024313_13	prev_3	spearman	M2	2.5823655	-2.5308037	0.09364128	-1.877985	0.0	2	0.4913685917854309
S__3300024353_106	prev_3	spearman	M1	3.2631469	-2.5856667	-2.2439451	0.12397194	0.0	2	0.4913685917854309
S__3300024353_29	prev_3	spearman	M1	3.2837906	-2.6527102	-2.385498	0.12512708	0.0	2	0.4913685917854309
S__3300024353_52	prev_3	spearman	M1	3.2773185	-2.7965288	-2.3635378	0.11940479	0.0	2	0.4913685917854309
S__3300024429_35	prev_3	spearman	M1	2.7634368	-2.1907148	-0.8511381	1.2220829	0.0	2	0.4913685917854309
S__3300024431_33	prev_3	spearman	M2	1.8022622	-0.98646706	3.577002	1.6415384	0.0	2	0.4913685917854309
S__3300024431_52	prev_3	spearman	M1	3.0212166	-2.1700497	-1.7472916	1.2151897	0.0	2	0.4913685917854309
S__3300024516_13	prev_3	spearman	M1	2.7671528	-2.2385588	-1.5308399	1.0042075	0.0	2	0.4913685917854309
S__3300024516_18	prev_3	spearman	M1	3.261085	-1.7643113	-1.6598749	1.6101162	0.0	2	0.4913685917854309
S__3300024516_24	prev_3	spearman	M1	3.2391996	-2.520959	-2.3437128	0.31475496	0.0	2	0.4913685917854309
S__3300024516_26	prev_3	spearman	M1	3.1600096	-2.085867	-2.0106344	1.1705798	0.0	2	0.4913685917854309
S__3300024516_38	prev_3	spearman	M2	1.55457	-0.82499886	5.6345077	1.8105087	0.0	2	0.4913685917854309
S__3300025232_4	prev_3	spearman	M1	3.09966	-2.415722	-2.041297	0.56461644	0.0	2	0.4913685917854309
S__3300025243_6	prev_3	spearman	M1	3.1060348	-2.5460072	-1.71702	0.1031456	0.0	2	0.4913685917854309
S__3300025276_12	prev_3	spearman	M1	3.056832	-2.0437236	-1.8781195	1.3830041	0.0	2	0.4913685917854309
S__3300025690_38	prev_3	spearman	M1	3.2971492	-2.6702638	-2.4751787	-0.2018907	0.0	2	0.4913685917854309
S__3300025894_53	prev_3	spearman	M1	3.0554984	-2.0137997	-1.7225122	1.4988887	0.0	2	0.4913685917854309
S__3300026080_15	prev_3	spearman	M1	3.1370428	-2.0116634	-1.9235687	1.261118	0.0	2	0.4913685917854309
S__3300026087_14	prev_3	spearman	M1	3.1048355	-2.1813726	-1.6999731	0.95388913	0.0	2	0.4913685917854309
S__3300026108_2	prev_3	spearman	M1	3.0230541	-2.3662958	-1.6983995	0.8166512	0.0	2	0.4913685917854309
S__3300026119_12	prev_3	spearman	M1	2.9787912	-2.3448224	-1.5000839	0.8211793	0.0	2	0.4913685917854309
S__3300026119_8	prev_3	spearman	M1	3.08217	-2.4831686	-1.9376202	0.52509046	0.0	2	0.4913685917854309
S__3300026253_28	prev_3	spearman	M2	2.0195785	-0.8213768	3.6466002	2.1680176	0.0	2	0.4913685917854309
S__3300026253_8	prev_3	spearman	M1	2.9880338	-2.0955672	-1.6544256	1.3679847	0.0	2	0.4913685917854309
S__3300026264_29	prev_3	spearman	M1	3.1107924	-2.2467604	-1.9139309	0.3713386	0.0	2	0.4913685917854309
S__3300026264_34	prev_3	spearman	M2	2.306449	-1.4933816	1.9290247	2.8032758	0.0	2	0.4913685917854309
S__3300027668_18	prev_3	spearman	M1	3.0959883	-2.3696356	-1.7447329	0.6220875	0.0	2	0.4913685917854309
S__3300027685_18	prev_3	spearman	M1	3.2488108	-2.566668	-2.343892	0.32075834	0.0	2	0.4913685917854309
S__3300027685_31	prev_3	spearman	M1	3.465701	-3.0062714	-3.0159435	-0.21908808	0.0	2	0.4913685917854309
S__3300027685_58	prev_3	spearman	M2	2.7304773	-2.3303704	-0.15014744	-1.0336461	0.0	2	0.4913685917854309
S__3300027687_10	prev_3	spearman	M1	3.0972705	-2.3849976	-2.0120897	0.6892545	0.0	2	0.4913685917854309
S__3300027687_20	prev_3	spearman	M2	2.5079186	-1.3084238	1.5629044	1.8866926	0.0	2	0.4913685917854309
S__3300027752_17	prev_3	spearman	M1	3.06749	-1.7365749	-1.2432966	2.0742066	0.0	2	0.4913685917854309
S__3300027771_26	prev_3	spearman	M1	3.1990135	-2.0089722	-1.9525042	0.66523564	0.0	2	0.4913685917854309
S__3300027779_22	prev_3	spearman	M1	3.074977	-2.1040006	-1.6151295	1.2553692	0.0	2	0.4913685917854309
