from	to	threshold	weight	abs_weight	method	method_suffix	estimator	aracne_eps	core
S__GCA_001510275.1	S__GCA_905478185.1	10	0.375830248623743	0.375830248623743	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024516_13	S__3300020263_16	10	0.118874851851786	0.118874851851786	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_001542995.1	S__3300020263_16	10	0.174730899507365	0.174730899507365	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905478185.1	S__3300020263_16	10	0.283309401097584	0.283309401097584	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__TARA_SOC_NCLDV_00026	S__IMGVR_UViG_3300027687_000007	10	0.166014257562582	0.166014257562582	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905182815.1	S__IMGVR_UViG_3300027687_000007	10	0.340922802082922	0.340922802082922	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905612295.1	S__GCF_012276695.1	10	0.289615589161828	0.289615589161828	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905182815.1	S__GCF_012276695.1	10	0.318201132213594	0.318201132213594	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300020263_16	S__GCF_012276695.1	10	0.52121889533365	0.52121889533365	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905612455.1	S__GCA_012960805.1	10	0.596323327724576	0.596323327724576	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905478185.1	S__GCA_012960805.1	10	0.26264484317718	0.26264484317718	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCF_012276695.1	S__GCA_012960805.1	10	0.52121889533365	0.52121889533365	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_001543015.1	S__GCA_003672175.1	10	0.247266518109979	0.247266518109979	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_016777225.1	S__GCA_003672175.1	10	0.164877424436844	0.164877424436844	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300026253_28	S__GCA_015659035.1	10	0.295126568047805	0.295126568047805	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300006311_3	S__GCA_015659035.1	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024058_22	S__GCA_015659035.1	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCF_012276695.1	S__GCA_015659035.1	10	0.06351374165364	0.06351374165364	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024431_33	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	10	0.118874851851786	0.118874851851786	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
