from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300027687_000007	10	0.682735042735043	0.682735042735043	0.682735042735043	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_012960805.1	S__3300020263_16	10	0.637606837606838	0.637606837606838	0.637606837606838	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_015659035.1	S__GCA_017368835.1	10	0.682735042735043	0.682735042735043	0.682735042735043	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__Schulz_GVMAG_M_3300025652_16	10	0.656752136752137	0.656752136752137	0.656752136752137	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__Schulz_GVMAG_M_3300025652_16	10	0.673162393162393	0.673162393162393	0.673162393162393	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCF_012276695.1	S__GCA_017854145.1	10	0.586324786324786	0.586324786324786	0.586324786324786	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__GCA_017854145.1	10	0.997948717948718	0.997948717948718	0.997948717948718	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__GCA_017854145.1	10	0.636923076923077	0.636923076923077	0.636923076923077	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027687_000007	S__GCA_017854145.1	10	0.680683760683761	0.680683760683761	0.680683760683761	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__GCA_017854145.1	10	0.644444444444444	0.644444444444444	0.644444444444444	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300026253_28	S__3300020330_9	10	0.551452991452991	0.551452991452991	0.551452991452991	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_015659035.1	S__3300020330_9	10	0.826324786324786	0.826324786324786	0.826324786324786	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_017368835.1	S__3300020330_9	10	0.845470085470085	0.845470085470085	0.845470085470085	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905612455.1	S__3300027847_80	10	0.629401709401709	0.629401709401709	0.629401709401709	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027687_000007	S__3300027847_80	10	0.806495726495727	0.806495726495727	0.806495726495727	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024516_13	S__GCA_016777225.1	10	0.854358974358974	0.854358974358974	0.854358974358974	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300006311_3	S__GCA_016777225.1	10	0.578119658119658	0.578119658119658	0.578119658119658	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300027997_10	S__GCA_016777225.1	10	0.869401709401709	0.869401709401709	0.869401709401709	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__GCA_016777225.1	10	0.840683760683761	0.840683760683761	0.840683760683761	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300020263_16	S__GCA_016777225.1	10	0.650598290598291	0.650598290598291	0.650598290598291	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300006311_3	S__GCA_905478185.1	10	0.578119658119658	0.578119658119658	0.578119658119658	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300027997_10	S__GCA_905478185.1	10	0.554188034188034	0.554188034188034	0.554188034188034	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__GCA_905478185.1	10	0.827008547008547	0.827008547008547	0.827008547008547	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__GCA_905478185.1	10	0.85025641025641	0.85025641025641	0.85025641025641	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016777225.1	S__GCA_905478185.1	10	0.683418803418803	0.683418803418803	0.683418803418803	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_011055585.1	S__IMGVR_UViG_3300027813_000042	10	-0.565811965811966	0.565811965811966	0.565811965811966	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_002317795.1	S__IMGVR_UViG_3300027813_000042	10	0.55965811965812	0.55965811965812	0.55965811965812	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300027813_000042	10	0.664273504273504	0.664273504273504	0.664273504273504	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_3300027813_000042	10	0.669059829059829	0.669059829059829	0.669059829059829	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_017854145.1	S__IMGVR_UViG_3300027813_000042	10	0.636239316239316	0.636239316239316	0.636239316239316	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_011055585.1	S__GCA_014384505.1	10	-0.645128205128205	0.645128205128205	0.645128205128205	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905182815.1	S__GCA_014384505.1	10	0.717606837606837	0.717606837606837	0.717606837606837	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__GCA_014384505.1	10	0.665641025641026	0.665641025641026	0.665641025641026	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027687_000007	S__GCA_014384505.1	10	0.652649572649573	0.652649572649573	0.652649572649573	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__GCA_014384505.1	10	0.676581196581196	0.676581196581196	0.676581196581196	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_017854145.1	S__GCA_014384505.1	10	0.650598290598291	0.650598290598291	0.650598290598291	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027813_000042	S__GCA_014384505.1	10	0.636923076923077	0.636923076923077	0.636923076923077	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_011055585.1	S__GCA_004195625.1	10	-0.687521367521367	0.687521367521367	0.687521367521367	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905182815.1	S__GCA_004195625.1	10	0.628717948717949	0.628717948717949	0.628717948717949	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_001437625.1	S__GCA_004195625.1	10	0.794188034188034	0.794188034188034	0.794188034188034	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_002317795.1	S__IMGVR_UViG_3300025869_000017	10	0.688205128205128	0.688205128205128	0.688205128205128	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300025869_000017	10	0.822905982905983	0.822905982905983	0.822905982905983	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_3300025869_000017	10	0.839316239316239	0.839316239316239	0.839316239316239	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_017854145.1	S__IMGVR_UViG_3300025869_000017	10	0.809230769230769	0.809230769230769	0.809230769230769	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905478185.1	S__IMGVR_UViG_3300025869_000017	10	0.636239316239316	0.636239316239316	0.636239316239316	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027813_000042	S__IMGVR_UViG_3300025869_000017	10	0.824273504273504	0.824273504273504	0.824273504273504	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_014384505.1	S__IMGVR_UViG_3300025869_000017	10	0.84	0.84	0.84	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_001643535.1	S__GCA_016838845.1	10	0.566495726495726	0.566495726495726	0.566495726495726	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905612295.1	S__GCA_016838845.1	10	-0.558290598290598	0.558290598290598	0.558290598290598	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_011055585.1	S__GCA_016838845.1	10	0.729230769230769	0.729230769230769	0.729230769230769	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905182815.1	S__GCA_016838845.1	10	-0.755897435897436	0.755897435897436	0.755897435897436	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCF_012276695.1	S__GCA_016838845.1	10	-0.722393162393162	0.722393162393162	0.722393162393162	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_014384505.1	S__GCA_016838845.1	10	-0.624615384615385	0.624615384615385	0.624615384615385	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_004195625.1	S__GCA_016838845.1	10	-0.581538461538462	0.581538461538462	0.581538461538462	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_011055585.1	S__GCA_002499015.1	10	-0.621880341880342	0.621880341880342	0.621880341880342	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_001437625.1	S__GCA_002499015.1	10	0.967179487179487	0.967179487179487	0.967179487179487	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_004195625.1	S__GCA_002499015.1	10	0.825641025641026	0.825641025641026	0.825641025641026	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024516_13	S__TARA_ARC_NCLDV_00188	10	0.649230769230769	0.649230769230769	0.649230769230769	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300027997_10	S__TARA_ARC_NCLDV_00188	10	0.664273504273504	0.664273504273504	0.664273504273504	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__TARA_ARC_NCLDV_00188	10	0.651965811965812	0.651965811965812	0.651965811965812	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__TARA_ARC_NCLDV_00188	10	0.635555555555555	0.635555555555555	0.635555555555555	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_017854145.1	S__TARA_ARC_NCLDV_00188	10	0.667692307692308	0.667692307692308	0.667692307692308	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016777225.1	S__TARA_ARC_NCLDV_00188	10	0.794871794871795	0.794871794871795	0.794871794871795	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027813_000042	S__TARA_ARC_NCLDV_00188	10	0.696410256410256	0.696410256410256	0.696410256410256	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_002317795.1	S__3300020300_16	10	0.576752136752137	0.576752136752137	0.576752136752137	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__3300020300_16	10	0.638290598290598	0.638290598290598	0.638290598290598	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__3300020300_16	10	0.621880341880342	0.621880341880342	0.621880341880342	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__3300020300_16	10	0.696410256410256	0.696410256410256	0.696410256410256	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_017854145.1	S__3300020300_16	10	0.654700854700855	0.654700854700855	0.654700854700855	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905478185.1	S__3300020300_16	10	0.794871794871795	0.794871794871795	0.794871794871795	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027813_000042	S__3300020300_16	10	0.667008547008547	0.667008547008547	0.667008547008547	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_014384505.1	S__3300020300_16	10	0.655384615384615	0.655384615384615	0.655384615384615	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300025869_000017	S__3300020300_16	10	0.841367521367521	0.841367521367521	0.841367521367521	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__TARA_ARC_NCLDV_00188	S__3300020300_16	10	0.683418803418803	0.683418803418803	0.683418803418803	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_002317795.1	S__IMGVR_UViG_3300035195_000275	10	0.561709401709402	0.561709401709402	0.561709401709402	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300035195_000275	10	0.637606837606838	0.637606837606838	0.637606837606838	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__IMGVR_UViG_3300035195_000275	10	0.621196581196581	0.621196581196581	0.621196581196581	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_3300035195_000275	10	0.697777777777778	0.697777777777778	0.697777777777778	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_017854145.1	S__IMGVR_UViG_3300035195_000275	10	0.653333333333333	0.653333333333333	0.653333333333333	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
