threshold	method	site	present_taxa	mean_assignment_entropy	mean_site_similarity
prev_3	mi_aracne	ST8	350	0.06672720611095428	0.306700127146123
prev_3	mi_aracne	ST13	337	0.04714561253786087	0.324248555149708
prev_3	mi_aracne	GeoB25202_R1	167	0.0176220815628767	0.44194063339474704
prev_3	mi_aracne	GeoB25202_R2	188	0.01565365679562092	0.441287496724176
