site_from	site_to	threshold	method	weight	edge_jaccard	spectral_similarity	edge_type
GeoB25202_R1	GeoB25202_R2	3	mi_aracne	0.824583592323841	0.768225921310308	0.880941263337374	site_similarity
GeoB25202_R1	ST13	3	mi_aracne	0.26375341173958	0.0792292795332533	0.448277543945907	site_similarity
GeoB25202_R1	ST8	3	mi_aracne	0.23748489612082	0.0550469943215195	0.41992279792012	site_similarity
GeoB25202_R2	ST13	3	mi_aracne	0.262827833120341	0.0792887553218132	0.446366910918869	site_similarity
GeoB25202_R2	ST8	3	mi_aracne	0.236451064728346	0.0545581837275591	0.418343945729132	site_similarity
ST13	ST8	3	mi_aracne	0.446164420589203	0.0679334916864608	0.824395349491944	site_similarity
