threshold	method	site	taxon	sites_present	assignment_entropy	consensus_module	module_prob_1	module_prob_2	module_prob_3	module_prob_4	module_prob_5	module_prob_6	module_prob_7	module_prob_8	module_prob_9	module_prob_10	module_prob_11	module_prob_12	module_prob_13	module_prob_14	module_prob_15	module_prob_16	module_prob_17	module_prob_18	module_prob_19
prev_3	mi_aracne	ST8	S__3300000179_4	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300001683_28	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300002239_5	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300006311_3	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020187_18	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020263_16	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020300_16	4	7.183252797230223e-22	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.5997057859686815e-23	1.3593702129737542e-39	3.6433760072445244e-44	0.0	0.0	1.8821820583271645e-40	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020303_2	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020317_19	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020330_9	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020364_17	3	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020389_47	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300020444_12	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024058_12	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024058_15	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024058_22	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024060_20	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024060_27	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024313_13	1	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024353_106	3	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024353_29	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024429_35	1	2.942887544631958	M15	0.05876791849732399	0.051067497581243515	0.05323047563433647	0.05783941224217415	0.05070304498076439	0.054910726845264435	0.05070304498076439	0.05070304498076439	0.05070304498076439	0.05070304498076439	0.05070304498076439	0.05489397794008255	0.05070304498076439	0.05111109837889671	0.05962582677602768	0.05070304498076439	0.05070304498076439	0.05105069279670715	0.051174964755773544
prev_3	mi_aracne	ST8	S__3300024431_33	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024431_52	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024516_13	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024516_18	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300024516_24	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
