taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__3300027801_7	prev_3	mi_aracne	M1	0.7497324	-0.34303048	1.3133141	-2.2131782	0.0	2	0.7468155026435852	4.195181283727147	0.43551220165336896	3.203925	5.01406	24380.584782608694	2	0.6807906398079228	glacial_like
S__3300027827_16	prev_3	mi_aracne	M2	-1.9189101	-0.82596123	-10.386693	0.6247817	0.0	2	0.7468155026435852	4.140697551335528	0.4222550248352842	3.120315	5.01406	168507.43221850618	4	0.6473850922647227	glacial_like
S__3300027833_15	prev_3	mi_aracne	M1	0.65007377	-0.49023202	5.5352116	-0.64884275	0.0	2	0.7468155026435852	4.310617979698163	0.4467301204382185	3.203925	5.01406	5677.852173913049	1	0.7478991596638653	glacial_like
S__3300027844_60	prev_3	mi_aracne	M1	0.042387623	-0.85197115	2.1862526	0.15605104	0.0	2	0.7468155026435852	4.153516875697196	0.42373726597375766	3.203925	5.01406	15591.787681159378	2	0.656569253964845	glacial_like
S__3300027844_72	prev_3	mi_aracne	M1	0.14671463	-0.7067985	1.1691091	-0.39299667	0.0	2	0.7468155026435852	4.1597667756123204	0.427613926391423	3.120315	5.01406	40583.99239130435	3	0.6591499598805729	glacial_like
S__3300027844_79	prev_3	mi_aracne	M1	0.32032594	-0.38126636	0.73792917	-0.9081883	0.0	2	0.7468155026435852	4.158937385676986	0.4274446716368698	3.120315	5.01406	107076.29986064666	4	0.6586085501899548	glacial_like
S__3300027847_80	prev_3	mi_aracne	M2	-1.8237089	-0.842343	-10.886259	0.123559654	0.0	2	0.7468155026435852	4.172998144593435	0.43212891649711915	3.120315	5.01406	571981.5109949828	4	0.6665267793967855	glacial_like
S__3300027883_17	prev_3	mi_aracne	M1	0.58480453	-0.5473361	1.288047	-1.7495193	0.0	2	0.7468155026435852	4.182606762957329	0.43241545551350247	3.203925	5.01406	19541.709601449318	2	0.6734805078809645	glacial_like
S__3300027997_10	prev_3	mi_aracne	M2	-2.0505695	-0.8355961	-11.340621	0.51283824	0.0	2	0.7468155026435852	4.140914844149111	0.42556730483979976	3.120315	5.01406	399749.4479069124	4	0.6456510492947584	glacial_like
S__GCA_000213395.2	prev_3	mi_aracne	M1	0.24713017	-0.38283694	0.775436	-0.747461	0.0	2	0.7468155026435852	4.177915389301309	0.4332903612561288	3.120315	5.01406	97148.34513935333	4	0.6695072705127049	glacial_like
S__GCA_000383355.1	prev_3	mi_aracne	M1	0.8329023	-0.27224776	1.4895422	-2.0554883	0.0	2	0.7468155026435852	4.171892325415531	0.4313077133255635	3.120315	5.01406	41636.457500000004	3	0.6661845571276086	glacial_like
S__GCA_000402075.1	prev_3	mi_aracne	M1	0.3623457	-0.36167085	0.82800734	-0.953141	0.0	2	0.7468155026435852	4.17432360427442	0.43175894378578733	3.120315	5.01406	118007.10226588632	4	0.6677341057728304	glacial_like
S__GCA_001437625.1	prev_3	mi_aracne	M2	-1.9825784	-0.83647496	-10.151334	0.44446075	0.0	2	0.7468155026435852	4.167045575502603	0.43035594432380375	3.120315	5.01406	317028.87175306544	4	0.6630874054849448	glacial_like
S__GCA_001510275.1	prev_3	mi_aracne	M2	-1.9263816	-0.4300489	-6.268631	1.0166296	0.0	2	0.7468155026435852	4.128208101384402	0.42115102297400103	3.120315	4.96297	151185.1432051282	3	0.6380266334625269	glacial_like
S__GCA_001542995.1	prev_3	mi_aracne	M2	-1.8252399	-0.7641664	-10.539815	0.25691295	0.0	2	0.7468155026435852	4.144209552634636	0.4234904072894953	3.120315	5.01406	349746.0042530654	4	0.6494483547271824	glacial_like
S__GCA_001543015.1	prev_3	mi_aracne	M2	-1.4294999	-0.94434774	-9.204907	-0.73852074	0.0	2	0.7468155026435852	4.153769998838619	0.42620794463432826	3.120315	5.01406	3911099.062257525	4	0.6553429100370466	glacial_like
S__GCA_001643535.1	prev_3	mi_aracne	M2	-1.6172216	-0.5721015	-6.8427663	0.16764009	0.0	2	0.7468155026435852	4.127650596405473	0.4222819524407818	3.120315	4.96297	794964.2863461537	3	0.6369275767917789	glacial_like
S__GCA_002082295.1	prev_3	mi_aracne	M1	0.87480795	-0.21699244	1.5338659	-2.2312012	0.0	2	0.7468155026435852	4.2141465975530945	0.4404630083777136	3.120315	5.01406	76549.35942028977	3	0.6912219449275298	glacial_like
S__GCA_002168195.1	prev_3	mi_aracne	M1	0.8691979	-0.24343503	3.106771	-2.1747973	0.0	2	0.7468155026435852	4.310617979698163	0.4467301204382186	3.203925	5.01406	7108.956521739134	1	0.7478991596638654	glacial_like
S__GCA_002295725.1	prev_3	mi_aracne	M1	0.66021013	-0.24608481	0.9618885	-1.7293161	0.0	2	0.7468155026435852	4.1352519590948065	0.4247363904083251	3.120315	5.01406	149804.5752954292	4	0.6416293267096971	glacial_like
S__GCA_002313235.1	prev_3	mi_aracne	M1	0.44458568	-0.34259582	0.70367926	-1.1336257	0.0	2	0.7468155026435852	4.157447360782668	0.42815549792140833	3.120315	5.01406	75272.7662012263	4	0.6570491335685509	glacial_like
S__GCA_002317795.1	prev_3	mi_aracne	M2	-1.9228063	-0.84508616	-10.809006	0.348112	0.0	2	0.7468155026435852	4.157147879470559	0.42782988745814304	3.120315	5.01406	417628.0613350051	4	0.6570141167962185	glacial_like
S__GCA_002335045.1	prev_3	mi_aracne	M1	-0.20490743	-0.62080085	0.994434	0.29684818	0.0	2	0.7468155026435852	4.207179661711148	0.4398254898872567	3.120315	5.01406	44339.86598383503	3	0.6867411312873275	glacial_like
S__GCA_002457605.1	prev_3	mi_aracne	M1	0.15801689	-0.750862	3.5678232	0.2617973	0.0	2	0.7468155026435852	4.25528271834043	0.445139731765931	3.203925	5.01406	14060.69275362319	2	0.7157302946913987	glacial_like
S__GCA_002499015.1	prev_3	mi_aracne	M2	-1.6098869	-0.874306	-8.630827	0.31085503	0.0	2	0.7468155026435852	4.166708842839524	0.42993946857430154	3.120315	5.01406	337452.97613712377	4	0.6630767018748295	glacial_like
S__GCA_002499365.1	prev_3	mi_aracne	M1	0.69823515	-0.47463956	5.059995	-0.9765013	0.0	2	0.7468155026435852	4.310617979698164	0.4467301204382187	3.203925	5.01406	13441.826086956473	1	0.7478991596638656	glacial_like
S__GCA_002699665.1	prev_3	mi_aracne	M1	-0.12817611	-0.6500045	1.8729146	0.72784626	0.0	2	0.7468155026435852	4.137620538362687	0.42009663265752123	3.120315	5.01406	37501.6564659978	3	0.6461690372273814	glacial_like
S__GCA_002701645.1	prev_3	mi_aracne	M1	-0.105340354	-0.6619798	1.9653239	0.94744205	0.0	2	0.7468155026435852	4.1570493986181845	0.426747464662001	3.120315	5.01406	44501.939094202855	3	0.6575660199675766	glacial_like
S__GCA_002713705.1	prev_3	mi_aracne	M1	0.8250477	-0.4736536	2.0495713	-1.837479	0.0	2	0.7468155026435852	4.195675611501815	0.43562607590018787	3.203925	5.01406	21909.599275362354	2	0.6810780146760501	glacial_like
S__GCA_002816875.1	prev_3	mi_aracne	M1	-0.14839686	-0.38872644	1.5129474	-0.1423018	0.0	2	0.7468155026435852	4.128965422616283	0.4195616512554145	3.120315	4.96297	41506.820833333295	2	0.6395549245570784	glacial_like
