node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__IMGVR_UViG_3300030390_001366	taxon	-0.05101888	-0.75295144	-0.89690727	0.13473107	1.4070957	0.23598897	-0.47678983	0.26783967	0.8792139	0.87506264	0.91241753	-0.2271724	0.8797632	-1.3373584	0.46133286	0.9273896	0.8265838	0.8169452	0.22837946	-0.10598718	-0.5031818	0.39792928	-1.3633907	-0.13055764	-0.4109508	-0.06841779	1.0815697	-0.9312899	-0.6294492	-1.1706328	-0.44008678	0.46455425
S__IMGVR_UViG_3300030390_002408	taxon	-0.46079838	-0.37540397	-0.21209072	0.7515508	0.33907896	-0.42949137	-0.7020298	-0.20126992	-0.41762245	0.26810336	0.20714003	0.18857619	0.3959459	-0.12667575	0.70975715	0.20877466	0.30391383	0.16849747	-0.43071523	-0.27853265	-0.24298364	-0.45950264	-0.89707434	-0.13572262	0.12684357	-1.064857	0.33591965	-0.34366733	-0.007441163	-0.563875	0.13499641	0.92799675
S__IMGVR_UViG_3300031519_000018	taxon	-1.3781813	-0.4641077	1.4208612	1.8245993	-1.7636583	-1.1978254	-0.97337884	-0.34668928	-2.832693	-0.94241226	-1.5670807	2.0511658	-0.99757564	2.0525537	1.015611	-1.3752313	-0.23393175	-1.8943028	-1.9512832	-1.360048	0.50196075	-2.0681238	0.37446538	-0.7824385	1.4772437	-1.9863517	-1.56423	0.5755546	1.2781593	0.51752126	1.1228304	1.4279401
S__IMGVR_UViG_3300031519_000025	taxon	0.07327327	-0.6902194	-0.96341133	-0.1379942	1.543121	0.30383042	-0.42122024	0.017926514	1.3265098	0.9004424	1.0305548	-0.25426632	1.0083468	-1.4550573	0.21990103	0.8394722	0.6675447	1.0568788	0.26927802	0.107119605	-0.58917576	0.57047987	-1.4445739	-0.039853763	-0.6305955	0.2871542	1.2850721	-0.7391465	-0.8959434	-0.9537431	-0.6340971	0.2007549
S__IMGVR_UViG_3300031519_000028	taxon	-0.0074165016	-0.72689724	-0.94403833	0.08265479	1.4260286	0.28253567	-0.41004938	0.1921466	0.97427857	0.78801954	0.89044213	-0.2575205	0.88355696	-1.3471428	0.3610755	0.8788971	0.7707726	0.876302	0.24171266	-0.003218338	-0.57406723	0.41051516	-1.377663	-0.12630606	-0.40516844	-0.0016446114	1.1746037	-0.89367896	-0.69250435	-1.1780388	-0.52039856	0.4549284
S__IMGVR_UViG_3300031647_000036	taxon	-0.13491023	-0.8028232	-0.88840896	0.22574906	1.3501852	0.20142907	-0.5184859	0.29568106	0.88549083	0.9839949	0.8951979	-0.14066713	0.88961565	-1.3192661	0.49082217	0.82712805	0.73439586	0.80130124	0.1388314	-0.19664674	-0.45215532	0.34841552	-1.3416094	-0.12217305	-0.4997056	-0.070720136	0.9765947	-0.84498525	-0.62655425	-1.1062169	-0.4328925	0.42760888
S__IMGVR_UViG_3300031687_001020	taxon	0.19969548	-0.69608504	-0.9027378	-0.050612316	1.3376565	0.26143157	-0.36780047	0.070133865	1.119107	0.65170646	0.9047981	-0.33169413	0.869722	-1.3908952	0.27363688	0.8666004	0.7515095	0.87496316	0.33136246	0.1594423	-0.55468255	0.5636791	-1.4416908	-0.060934104	-0.37404552	0.18745357	1.1241629	-0.9379999	-0.70735115	-1.189432	-0.508612	0.40569144
S__IMGVR_UViG_3300031688_001339	taxon	0.18501881	-0.6645193	-0.9205184	-0.023790255	1.351443	0.27278164	-0.36392295	0.14994323	1.0095804	0.6167631	0.9113069	-0.37512797	0.87825716	-1.3750441	0.33335924	0.94780505	0.8432789	0.84491044	0.34498876	0.14259002	-0.56229514	0.5644252	-1.4303114	-0.10799599	-0.2898203	0.086604595	1.1800095	-0.99940157	-0.6387562	-1.2717583	-0.49656922	0.4884364
S__IMGVR_UViG_3300031703_000007	taxon	0.04424025	-0.550763	-0.7178085	0.29565418	1.0437208	0.1132316	-0.52380794	-0.06665313	0.62609875	0.43039054	0.67437685	-0.12174049	0.7245423	-1.0299966	0.56021625	0.75754124	0.7342065	0.6909027	-0.03655508	-0.14503826	-0.5146345	0.22793701	-1.349274	-0.019591883	-0.3648805	-0.27879447	0.9791874	-0.93225247	-0.45579636	-1.1817449	-0.46012872	0.6537156
S__IMGVR_UViG_3300031801_001562	taxon	-0.070157364	-0.6338477	-0.70039153	0.36352366	1.0415841	0.085638545	-0.50130963	-0.120862186	0.6493908	0.49264187	0.61254144	-0.0028533563	0.76265305	-0.9635637	0.5484699	0.641612	0.6191224	0.69292796	-0.15322304	-0.23941231	-0.46119773	0.1314669	-1.3675466	0.06237226	-0.46312523	-0.33880782	0.91977817	-0.8042693	-0.5623461	-1.0803225	-0.49583167	0.5650552
