taxon	threshold	taxon_index	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	mean_abundance	prevalence_samples	prevalence_cores
S__3300020364_17	3	12	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	5	3	408849	100	TRUE	3300020364_17	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	SO4--	Tier1_kegg_present	0.99	KEGG_SRB	present	1	M00596	M00596:1	K11180;K11181	dsrA/dsrB (K11180/K11181)	Müller et al. 2015 ISME J	10.1038/ismej.2014.208	""	-0.538085031138598	1.47051053077479	0.871988276972129	8.09826623341307	54.9953271028037	0.0133689839572193	0.75
S__3300020389_47	3	13	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	5	2	171530	100	TRUE	3300020389_47	Pelagic_heterotroph	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_PELAGIC_HET	""		""	""	""	Core carbon metabolism	Giovannoni 2017 Annu Rev Mar Sci	10.1146/annurev-marine-010814-015934	""	-0.540262103298875	1.0613303813113	0.750766599900384	4.7449531346388	49.7102803738318	0.0133689839572193	0.5
S__3300020444_12	3	14	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	5	2	245286	100	TRUE	3300020444_12	Core_heterotrophy	Heterotrophs	Heterotroph_general	uncertain	O2	Tier2_taxonomy_broad	0.7	GTDB_CORE_HET	""		""	""	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.542943658038549	1.04860431461923	0.74808504516071	4.61551365263223	44.2710280373832	0.0133689839572193	0.5
S__3300024058_12	3	15	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	57	4	4111288	100	TRUE	3300024058_12	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.67;W00010:1;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	1.75114436339766	4.18137159155171	2.77290459311418	10.4486009561434	2167.92990654206	0.152406417112299	1
S__3300024058_15	3	16	d__Bacteria	p__Desulfobacterota_D	c__UBA1144	5	4	328878	100	TRUE	3300024058_15	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	SO4--	Tier1_taxonomy_conserved	0.85	GTDB_SRB_DIAG	""		""	""	""	dsrA/dsrB (K11180/K11181)	Müller et al. 2015 ISME J	10.1038/ismej.2014.208	""	-0.544949887386824	1.30234873874919	0.820895249155415	6.83976862676718	42.2289719626168	0.0133689839572193	1
S__3300024058_22	3	17	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	48	4	903779	100	TRUE	3300024058_22	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	1.1791838306487	3.08524484786133	1.84250480391847	9.31879452228401	855.523364485981	0.128342245989305	1
S__3300024060_20	3	18	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	4	4	319868	100	TRUE	3300024060_20	Pelagic_heterotroph	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_PELAGIC_HET	""		""	""	""	Core carbon metabolism	Giovannoni 2017 Annu Rev Mar Sci	10.1146/annurev-marine-010814-015934	""	-0.578989662135041	1.3255484618617	0.830212846707491	7.61332364211794	43.392523364486	0.0106951871657754	1
S__3300024060_27	3	19	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	11	4	696487	100	TRUE	3300024060_27	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.3117307553376	1.93259118473915	1.04166376543468	7.99150884042065	99.1495327102804	0.0294117647058824	1
S__3300024313_13	3	20	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	4	1	24692	100	TRUE	3300024313_13	Particle_heterotroph	Particle-attached	Pelagic_heterotroph	particle_associated	O2	Tier1_taxonomy_conserved	0.85	GTDB_PARTICLE_HET	""		""	""	""	Polysaccharide degradation	Teeling et al. 2012 Science	10.1126/science.1218344	""	-0.580560645053184	1.32596192441687	0.83232402468116	6.94550874376471	38.1588785046729	0.0106951871657754	0.25
S__3300024353_106	3	21	d__Bacteria	p__Aerophobota	c__Aerophobia	6	3	245631	100	TRUE	3300024353_106	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.47500981729858	1.63911150858939	0.911403324769616	8.62264818676339	217.130841121495	0.0160427807486631	0.75
S__3300024353_29	3	22	d__Bacteria	p__Aerophobota	c__Aerophobia	3	2	313366	100	TRUE	3300024353_29	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.617433939948958	1.19054131092693	0.795733567285898	7.87445384661699	32.6495327102804	0.00802139037433155	0.5
S__3300024353_52	3	23	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	8	2	324011	100	TRUE	3300024353_52	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	-0.38048904068361	2.0455574768514	1.04833093226465	10.0890138566302	343.995327102804	0.0213903743315508	0.5
S__3300024429_35	3	24	d__Archaea	p__Hadarchaeota	c__Hadarchaeia	6	1	3623968	100	TRUE	3300024429_35	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.495289526263719	1.76029792904141	0.973899025973151	8.88743335549564	75.4579439252337	0.0160427807486631	0.25
S__3300024431_33	3	25	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	51	4	1621598	100	TRUE	3300024431_33	Core_heterotrophy	Heterotrophs	Heterotroph_general	uncertain	O2	Tier2_taxonomy_broad	0.7	GTDB_CORE_HET	""		""	""	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	1.41908305056963	3.47928930333953	2.13858371689604	9.84469492229151	1377.20560747664	0.136363636363636	1
S__3300024431_52	3	26	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	9	2	905480	100	TRUE	3300024431_52	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	-0.393755020982609	1.31998402673872	0.808876072084495	7.13217074646488	72.5327102803738	0.0240641711229947	0.5
S__3300024516_13	3	27	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	44	4	3867584	100	TRUE	3300024516_13	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	1.12156470038268	3.31465258305875	1.91963853944146	11.0107306570496	2723.55140186916	0.117647058823529	1
S__3300024516_18	3	28	d__Bacteria	p__Nitrospirota	c__Nitrospiria	27	4	638157	100	TRUE	3300024516_18	Nitrite_oxidation_NOB	Nitrite oxidizers	Nitrifier	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_NOB	""		""	""	""	nxrA/nxrB (K00370/K00371)	Daims et al. 2015 Nature; Koch et al. 2015 PNAS	10.1038/nature16461; 10.1073/pnas.1506533112	""	0.306852581228939	2.24721156890689	1.19593617353782	8.3399283082583	267.042056074766	0.072192513368984	1
S__3300024516_24	3	29	d__Bacteria	p__Nitrospinota	c__Nitrospinia	4	2	301040	100	TRUE	3300024516_24	Nitrite_oxidation_NOB	Nitrite oxidizers	Nitrifier	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_NOB	""		""	""	""	nxrA/nxrB (K00370/K00371)	Daims et al. 2015 Nature; Koch et al. 2015 PNAS	10.1038/nature16461; 10.1073/pnas.1506533112	""	-0.571563926651683	1.27107585035309	0.806742643149583	8.32148072327106	91.3598130841122	0.0106951871657754	0.5
S__3300024516_26	3	30	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	13	4	592234	100	TRUE	3300024516_26	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.220826268416917	1.97352434877997	1.04387107268012	8.93613098479436	191.420560747664	0.0347593582887701	1
S__3300024516_38	3	31	d__Bacteria	p__KSB1	c__UBA2214	95	4	1726337	100	TRUE	3300024516_38	Unknown	Other	Unknown	uncertain	Unknown	Tier3_unknown	0.1	""	""		""	""	""	""	""	""	""	3.24147012474163	4.0252127155013	3.55512923425329	11.0360565965932	3377.11214953271	0.254010695187166	1
S__3300025232_4	3	32	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	6	3	387632	100	TRUE	3300025232_4	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	-0.500962385726509	1.48082685553836	0.872183254674443	8.15938488569688	61.0186915887851	0.0160427807486631	0.75
S__3300025243_6	3	33	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	7	4	257232	100	TRUE	3300025243_6	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:0.67;W00008:0.33;W00010:1;W00011:0.88	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.461778701772335	1.32588786957359	0.816923610393639	6.7505725393154	71.7196261682243	0.018716577540107	1
S__3300025276_12	3	34	d__Bacteria	p__Bacteroidota	c__Bacteroidia	16	3	901736	100	TRUE	3300025276_12	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.38	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.109529194360641	1.7196143026157	0.934174597522743	7.14765553116444	166.752336448598	0.0427807486631016	0.75
S__3300025690_38	3	35	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	6	3	203310	100	TRUE	3300025690_38	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	-0.505683232436551	1.41181170825456	0.851904169605166	6.89213903646857	50.9205607476636	0.0160427807486631	0.75
