name	core	method	threshold	leiden_module
ST8	ST8	pearson	3	S1
ST13	ST13	pearson	3	S1
GeoB25202_R1	GeoB25202_R1	pearson	3	S1
GeoB25202_R2	GeoB25202_R2	pearson	3	S1
