threshold	core	samples	taxa	age_min_kyr	age_max_kyr
3	ST8	115	374	1.5215	107.683
3	ST13	48	374	5.659	148.086
3	GeoB25202_R1	26	374	0.692	147.206
3	GeoB25202_R2	25	374	0.692	147.206
