threshold	PC	variance_explained
3	PC1	0.171978495600228
3	PC2	0.11931969405194
3	PC3	0.0561599096568905
3	PC4	0.0477358067494446
3	PC5	0.0383939974870516
3	PC6	0.0351060848997696
3	PC7	0.027150100748905
3	PC8	0.0219351173371883
3	PC9	0.0175750373304559
3	PC10	0.0174754111684887
