label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	sample	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7008886714	GeoB25202_R1		4.5	692	129.27	8.77194686709375	uk37_alkenone	3.23	360661611	64.2	217864971	64.8	8.77194686709375	0.692	1311180	52	3239599	2305998	1637019	1695480	3	LV7008886714	6.11766264735398	6.51049139029397	6.36285911462625
LV7008886726	GeoB25202_R2		4.5	692	204.6	8.77194686709375	uk37_alkenone	3.23	210895995	63.5	141214842	64.2	8.77194686709375	0.692	835367	48	2168865	1510652	1084464	1119332	3	LV7008886726	5.92187783495879	6.33623272063646	6.17916471748796
LV3003046953	ST8		10	1521.5	82.74			3.203925	268907517	82.4	244179416	82.6	7.82527505425364	1.5215	714928	90	1881879	1297675	957496	976333	3	LV3003046953	5.85426291391398	6.274591926743	6.11316627260543
LV7008886690	GeoB25202_R1		20.5	2324	49.49	6.90941715213889	uk37_alkenone	3.21564	490228857	43.4	46279822	44.7	6.90941715213889	2.324	146638	18	509429	255316	266002	278950	3	LV7008886690	5.16624949030684	5.70708451669909	5.40707973278464
LV7008886702	GeoB25202_R2		20.5	2324	70.74	6.90941715213889	uk37_alkenone	3.21564	331982111	48.7	72925388	49.9	6.90941715213889	2.324	256119	31	798865	392937	465891	484563	3	LV7008886702	5.40844349315213	5.90247393783578	5.59432403031931
LV3003046939	ST8		15	2420	137.77			3.2262	174832149	79.3	145219212	79.8	6.89400787736814	2.42	630440	87	1234811	822684	850516	875161	3	LV3003046939	5.79964444923839	6.09160084133845	5.91523357889533
LV3003047045	ST8		20	3586.5	111.57			3.295865	151675055	80.4	128523596	81.5	6.70676913757569	3.5865	343450	77	739725	444783	516683	532376	3	LV3003047045	5.53586478521631	5.86907088361753	5.64814915618936
LV3003047028	ST8		25	4753	124.79			3.26988	3059207	78.3	2878411	79.3	6.51953039778323	4.753	1575	1	11503	2256	6679	6826	3	LV3003047028	3.19755621315354	4.06084887303881	3.35353155907776
LV7001898100	ST13		5	5659	187.66			3.30613	172884713	66.3	153315655	67.1	6.37410536713431	5.659	1386433	76	2957937	2249750	1657664	1706893	3	LV7001898100	6.14189920019008	6.47098906670615	6.35213445352908
LV3003047013	ST8		30	5885	131.96	6.21497035449252	mgca_jonkers_2013	3.32195	106947849	79.8	86684502	81.7	6.33782936611152	5.885	211893	44	460712	236726	363554	371245	3	LV3003047013	5.32611865938289	5.66343046697074	5.37424779439838
