from	to	threshold	method	weight	edge_jaccard	spectral_similarity
GeoB25202_R1	GeoB25202_R2	3	bicor	0.898838941717667	0.922492235176601	0.875185648258733
GeoB25202_R1	ST13	3	bicor	0.703690967976375	0.772711511789182	0.634670424163569
GeoB25202_R1	ST8	3	bicor	0.929036192528277	0.939872686077159	0.918199698979394
GeoB25202_R2	ST13	3	bicor	0.722677633607409	0.766358847423204	0.678996419791614
GeoB25202_R2	ST8	3	bicor	0.919977608658414	0.898530867016823	0.941424350300004
ST13	ST8	3	bicor	0.713742559135004	0.771018455228982	0.656466663041026
