taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette
S__GCA_905612365.1	prev_10	bicor	M1	2.7270865	-3.9969656	1.0322084	-0.9427543	0.0	3	0.5429225564002991
S__GCA_905612455.1	prev_10	bicor	M1	1.8871697	-3.3451195	0.5562442	0.68019223	0.0	3	0.5429225564002991
S__GCA_905616395.1	prev_10	bicor	M1	2.8510096	-3.984934	1.4329545	-0.55038	0.0	3	0.5429225564002991
S__GCA_905618915.1	prev_10	bicor	M1	2.8431723	-3.790102	1.4287354	-0.02605699	0.0	3	0.5429225564002991
S__GCA_905620445.1	prev_10	bicor	M1	2.7140682	-4.0699854	0.87532765	-0.84795153	0.0	3	0.5429225564002991
S__GCF_002836475.1	prev_10	bicor	M1	2.911952	-3.5774355	1.3650744	0.42648983	0.0	3	0.5429225564002991
S__GCF_003326015.1	prev_10	bicor	M1	2.9583354	-3.917244	1.4759927	-0.4496065	0.0	3	0.5429225564002991
S__GCF_012276695.1	prev_10	bicor	M3	1.9837506	-3.1646059	-0.66606104	0.8806707	0.0	3	0.5429225564002991
S__GCF_013407165.1	prev_10	bicor	M1	2.8115594	-3.7722673	1.5394499	-0.16656755	0.0	3	0.5429225564002991
S__GCF_014279835.1	prev_10	bicor	M1	2.9179783	-3.9042335	1.3135784	-0.65353906	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300006310_000001	prev_10	bicor	M2	2.2236476	-3.8470082	-1.1648724	-1.0042675	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300006467_000165	prev_10	bicor	M2	2.0590837	-3.8207293	-1.7049708	-1.0763117	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300009440_000004	prev_10	bicor	M2	2.0137882	-3.8536944	-1.7193369	-1.1220549	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300009443_000008	prev_10	bicor	M2	2.0728192	-4.004474	-1.4993229	-1.148965	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300020166_000001	prev_10	bicor	M2	2.0828748	-3.965662	-1.5063511	-1.0497128	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300020166_000015	prev_10	bicor	M2	2.154965	-3.9874682	-1.0322005	-1.1770972	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300020182_000036	prev_10	bicor	M2	2.0676885	-3.8741434	-1.5122584	-1.1389713	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300020185_000065	prev_10	bicor	M2	2.051788	-3.8288245	-1.5988019	-1.0484049	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300021087_000038	prev_10	bicor	M2	2.0208297	-3.7849836	-1.9242775	-1.032079	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300023238_000017	prev_10	bicor	M2	2.0627286	-3.8199983	-1.6116985	-1.0246874	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300023239_000003	prev_10	bicor	M2	2.0310278	-3.8070164	-1.7879125	-1.0573244	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300024520_000070	prev_10	bicor	M2	2.0842938	-3.8289206	-1.655749	-1.0530077	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300025071_000006	prev_10	bicor	M2	2.0380564	-3.8417163	-1.6853416	-1.1090008	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300025079_000001	prev_10	bicor	M2	1.9882278	-3.8328319	-1.7936294	-1.1237775	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300025296_001443	prev_10	bicor	M2	2.0798328	-3.8242612	-1.5360668	-1.0344226	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300025632_000006	prev_10	bicor	M2	2.0400202	-3.8582556	-1.5428054	-1.0815774	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300025637_000035	prev_10	bicor	M2	2.094943	-3.873632	-1.3684602	-1.0861495	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300025653_000044	prev_10	bicor	M2	2.0191827	-3.8682663	-1.6159992	-1.1434219	0.0	3	0.5429225564002991
